,c1,c2,jac,cos
1364,KEN,ZWE,0.31237183868762813,0.9472546952560728
124,AUS,CAN,0.27236580516898606,0.9366556270360656
1598,NGA,ZWE,0.2631578947368421,0.9297536879818982
1,ARG,AUS,0.2614980289093298,0.9220730237857131
472,CAN,KEN,0.25572269457161545,0.9145303741712315
1251,IND,PAK,0.23870967741935484,0.9337534474894996
542,CHE,SWE,0.2268370607028754,0.9236206563429493
1693,PAK,ZWE,0.21518987341772153,0.9083904796368221
1129,IDN,IND,0.20150187734668334,0.9201914542743438
619,CHN,IND,0.19925046845721425,0.927736484886131
62,AUT,BEL,0.1650485436893204,0.8492715040018635
1027,GHA,NGA,0.158021712907117,0.8318986121705841
1669,PHL,THA,0.1566265060240964,0.8684162425702071
1074,GRC,ROU,0.1524609843937575,0.8521773484106155
1179,IRL,NOR,0.1510791366906475,0.8325624068081077
1112,HUN,ROU,0.1490125673249551,0.8419242324453663
1496,MAR,SEN,0.14421930870083433,0.8471487271771095
1757,SWE,TUR,0.14149821640903687,0.8367084598799881
1632,NOR,THA,0.1387900355871886,0.8321963697529137
269,BEL,NOR,0.13811499703615887,0.8362869457813608
1599,NLD,NOR,0.13676731793960922,0.8380872555544029
843,EGY,GHA,0.12941176470588237,0.8392922301527957
1281,ITA,NOR,0.12609970674486803,0.8111085732511047
1801,SEN,ZWE,0.12412177985948478,0.780510332971486
1569,NAM,THA,0.12215078901227353,0.8312818228054387
1730,ROU,SEN,0.12018669778296383,0.8202645181643827
411,BWA,GHA,0.114335461404527,0.8340963964051443
334,BGR,SVN,0.1117544875506659,0.8345495966122809
1415,LBN,SEN,0.10982658959537572,0.8014571990310628
1802,THA,TUR,0.10918544194107452,0.8295306355837765
1767,SGP,THA,0.10790536641661858,0.8242738459258826
1472,LVA,TUR,0.10790536641661858,0.8200194867101841
1777,SVN,THA,0.09090909090909091,0.7887197215564705
784,CZE,SVN,0.08597285067873303,0.8027964149476443
1389,KOR,TWN,0.07623318385650224,0.8420831446920778
1814,TUR,ZWE,0.054945054945054944,0.7213640746094332
1822,TZA,VEN,0.05090311986863711,0.8107157920321735
1815,TWN,TZA,0.04008667388949079,0.7919065571131441
796,DEU,ETH,0.03170338527673294,0.9200855169691265
1829,VEN,ZWE,0.025093432995194873,0.7641765846286495
190,BGD,ETH,0.02454642475987193,0.9172458494048165
705,CUB,ETH,0.022364217252396165,0.8846269406954913
556,CHL,COL,0.022364217252396165,0.8640438234504286
351,BRA,CUB,0.02127659574468085,0.8783070019504416
1506,MEX,NAM,0.01856763925729443,0.769903116255389
902,ETH,MYS,0.01641079936474325,0.9203145256479978
1642,PER,POL,0.013727560718057022,0.9445701017093221
1792,SVK,VEN,0.011058451816745656,0.7214580812607955
676,COL,MEX,0.010526315789473684,0.82198114301648
965,FRA,UKR,0.00946372239747634,0.7791970259190862
1318,JPN,PRT,0.00946372239747634,0.8413123386449357
1537,MYS,POL,0.008933263268523384,0.931969578578293
1233,ISR,VEN,0.0068169900367068695,0.7359783506365939
1744,SRB,THA,0.006289308176100629,0.7053524385650045
1448,LTU,UKR,0.006289308176100629,0.793508193295101
1720,PRT,TZA,0.005762179151388162,0.6839667919380149
1007,GBR,UGA,0.005235602094240838,0.8043795984664258
1706,POL,UKR,0.005235602094240838,0.8316304405200164
1825,UKR,VEN,0.0041841004184100415,0.6900514671477087
1827,UGA,VEN,0.0041841004184100415,0.7004556166972791
