,c1,c2,jac,cos
124,AUS,CAN,0.2260536398467433,0.9446664888502398
1,ARG,AUS,0.20075046904315197,0.928993011890781
542,CHE,SWE,0.18445404071560764,0.9015159536134734
60,AUT,AUS,0.170018281535649,0.9120749821045498
467,CAN,IRL,0.15942028985507245,0.9178410304334201
1018,GHA,KEN,0.1497005988023952,0.865998538900459
1165,IRL,IND,0.14626865671641792,0.8982233898241094
1055,GRC,ITA,0.1449016100178891,0.8573139197132243
1341,KEN,NAM,0.14285714285714285,0.8686366704092137
1397,LBN,MAR,0.1394658753709199,0.8614091820542729
857,EGY,MAR,0.1314083677077195,0.8526274853471125
1669,PHL,THA,0.13007651559741024,0.8772601796262663
1568,NAM,SEN,0.12808460634547592,0.8717878689435428
1496,MAR,SEN,0.12609970674486803,0.8587395555325658
1287,ITA,ROU,0.119533527696793,0.8675946542203528
1627,NOR,SWE,0.11822947000582411,0.8518318809396397
238,BEL,CHE,0.11822947000582411,0.8595864379539258
1093,HUN,ITA,0.1169284467713787,0.8690762597317897
619,CHN,IND,0.11304347826086956,0.8685154175100175
1686,PAK,THA,0.10790536641661858,0.8502468417852572
1590,NGA,SEN,0.1047180667433832,0.8521105350490228
1757,SWE,TUR,0.1047180667433832,0.8313236038180064
428,BWA,NAM,0.10344827586206896,0.8442706045619965
1251,IND,PAK,0.10091743119266056,0.8351337769489295
1731,ROU,THA,0.10028653295128939,0.8238608175233472
1464,LVA,ROU,0.09777015437392796,0.8344510291613262
1794,SEN,THA,0.09651627641347801,0.8113177525319595
1130,IDN,ITA,0.09339407744874716,0.8323266337400402
1802,THA,TUR,0.09277177006260671,0.8170771635379105
782,CZE,SWE,0.08781869688385269,0.8249515648320296
305,BGR,GRC,0.08108108108108109,0.7978729229601228
1607,NLD,SWE,0.07925801011804384,0.8023188486623433
1778,SVN,TUR,0.064891846921797,0.7766801109715912
1767,SGP,THA,0.06253458771444383,0.7979950630870528
1814,TUR,ZWE,0.04918032786885246,0.7575496486945102
1389,KOR,TWN,0.04121475054229935,0.8369399285268909
1829,VEN,ZWE,0.026189203634420097,0.7717363562066492
1822,TZA,VEN,0.023454157782515993,0.8020997009492487
1818,TWN,VEN,0.01856763925729443,0.7772233224553579
585,CHL,PER,0.011058451816745656,0.8796797486405826
220,BGD,SRB,0.010526315789473684,0.9035856913218228
732,CUB,POL,0.00946372239747634,0.9393948864368492
796,DEU,ETH,0.008403361344537815,0.8964081863406057
1642,PER,POL,0.007874015748031496,0.9419619739322159
1790,SVK,UKR,0.007345225603357817,0.7137483614944143
383,BRA,PRT,0.0068169900367068695,0.8357627117889738
675,COL,MAR,0.006289308176100629,0.6831506198654433
913,ETH,SRB,0.005762179151388162,0.8812145263910507
1442,LTU,SVK,0.005235602094240838,0.8140378517846879
1540,MYS,SRB,0.005235602094240838,0.8921235516122258
1000,GBR,SVK,0.005235602094240838,0.7333083524883577
1225,ISR,SVK,0.004709576138147566,0.7758128092104027
1320,JPN,SRB,0.004709576138147566,0.8317968809036157
1514,MEX,PRT,0.004709576138147566,0.8504266948902394
965,FRA,UKR,0.004709576138147566,0.75174386554767
1826,UKR,ZWE,0.0036591740721380033,0.6031521345162756
1696,POL,SRB,0.0036591740721380033,0.9039336098841895
1712,PRT,SWE,0.003134796238244514,0.6506608527873806
1748,SRB,UKR,0.0026109660574412533,0.7903377285466221
1827,UGA,VEN,0.0020876826722338203,0.6949721463632834
