,c1,c2,jac,cos
970,DEU,FRA,0.3568904593639576,0.9479931342285276
1751,LTU,LVA,0.3314840499306519,0.9529320681128367
538,BWA,KEN,0.3232253618194349,0.9398158902660724
1130,FRA,ITA,0.3034623217922607,0.9381392841352098
643,CHE,FRA,0.3016949152542373,0.9270377514863156
1666,KEN,SVN,0.29554655870445345,0.9356911451204702
730,CHL,ROU,0.29119031607262946,0.9170576889369211
1804,LVA,SVN,0.28859060402684567,0.9349211669639962
1347,HKG,TWN,0.2842809364548495,0.9272940015838657
2173,ROU,ZAF,0.28256513026052105,0.9011468794401556
585,CAN,FRA,0.2757475083056478,0.91238642020964
458,BRA,CHL,0.27236580516898606,0.9183329065185588
1585,ITA,ROU,0.26732673267326734,0.9136663741475998
1968,NLD,NOR,0.2631578947368421,0.9996908691923386
2183,SRB,TUR,0.25,0.9172749762170339
2308,TUR,ZAF,0.2483745123537061,0.9065858262419245
2105,PAK,TUR,0.24594419208306295,0.9250230749966655
2200,RUS,TUR,0.245136186770428,0.9202736713934108
2231,SWE,TUR,0.24111182934712347,0.9102724499745142
797,CHN,TWN,0.2229299363057325,0.8927271391680298
2316,TWN,ZAF,0.19626168224299065,0.8676568176658528
2258,SVN,TUR,0.1895910780669145,0.8851529520666838
1113,ETH,TZA,0.043478260869565216,0.9300281674647877
2013,NOR,TZA,0.026189203634420097,0.8564008955592699
240,AUS,NZL,0.009994739610731194,0.6824420619476368
2241,SGP,SVN,0.00946372239747634,0.678479790201887
373,BEL,ROU,0.008933263268523384,0.6045048010261104
931,CZE,KOR,0.008933263268523384,0.7197864728257972
2285,SEN,UGA,0.008403361344537815,0.8123197818060387
1285,GRC,NZL,0.008403361344537815,0.6344316914296532
315,BGD,SGP,0.007345225603357817,0.7351286202486069
1606,JPN,KOR,0.007345225603357817,0.6562134979281409
1045,EGY,NZL,0.007345225603357817,0.5970769292142815
908,CUB,UKR,0.0068169900367068695,0.7868855741664904
63,ARE,USA,0.0068169900367068695,0.7552922380127403
2323,TZA,ZAF,0.0068169900367068695,0.6391041352301694
1242,GHA,PAK,0.0068169900367068695,0.5479448800759132
1690,KOR,NZL,0.006289308176100629,0.5629220846711096
1963,NGA,USA,0.006289308176100629,0.719880400218843
1435,IDN,TZA,0.006289308176100629,0.619148562171022
2092,PHL,ZWE,0.005762179151388162,0.7267854398205564
2022,NZL,PHL,0.005762179151388162,0.7564186871284856
2153,PRT,VNM,0.005762179151388162,0.7166760514070856
2328,UKR,VNM,0.005235602094240838,0.7759196065421489
2334,UGA,ZAF,0.005235602094240838,0.68959970368104
2212,SAU,SVN,0.004709576138147566,0.631491400878795
2135,POL,ZWE,0.004709576138147566,0.7734768204911947
2338,USA,ZAF,0.0036591740721380033,0.54751468202254
2345,ZAF,ZWE,0.003134796238244514,0.5859257312116092
2343,VNM,ZAF,0.001564945226917058,0.667393420347194
1731,LBN,ROU,0.0,0.0
2276,SVK,VEN,0.0,0.0
2340,VEN,VNM,0.0,0.0
2291,THA,TUR,0.0,0.0
2069,PER,ZWE,0.0,0.0
1864,MEX,SAU,0.0,0.0
1905,MYS,UGA,0.0,0.0
1839,MAR,THA,0.0,0.0
1935,NAM,USA,0.0,0.0
444,BGR,THA,0.0,0.0
836,COL,PER,0.0,0.0
109,ARG,NZL,0.0,0.0
142,AUT,CHE,0.0,0.0
1449,IRL,LBN,0.0,0.0
1399,HUN,ZWE,0.0,0.0
1536,IND,NAM,0.0,0.0
1524,ISR,ZAF,0.0,0.0
1215,GBR,VNM,0.0,0.0
