,c1,c2,jac,cos
0,ARE,ARG,0.0,0.0
1,ARE,AUT,0.0,0.0
2,ARE,AUS,0.001564945226917058,0.781865185129556
3,ARE,BGD,0.0026109660574412533,0.7694406737216496
4,ARE,BEL,0.0010427528675703858,0.7495700432486478
5,ARE,BGR,0.0,0.0
6,ARE,BRA,0.0036591740721380033,0.6841524881289304
7,ARE,BWA,0.0010427528675703858,0.6914371905910875
8,ARE,CAN,0.0010427528675703858,0.6621742265874028
9,ARE,CHE,0.0010427528675703858,0.6655165097639579
10,ARE,CHL,0.001564945226917058,0.6859567625559441
11,ARE,CHN,0.0005211047420531526,0.6837227490834917
12,ARE,COL,0.0,0.0
13,ARE,CUB,0.0010427528675703858,0.7905089602217864
14,ARE,CZE,0.001564945226917058,0.7858668681852929
15,ARE,DEU,0.0020876826722338203,0.6742781499130646
16,ARE,EGY,0.0,0.0
17,ARE,ETH,0.0026109660574412533,0.6858778097344873
18,ARE,FRA,0.0020876826722338203,0.6683351522739657
19,ARE,GBR,0.0,0.0
20,ARE,GHA,0.0020876826722338203,0.7002924121220968
21,ARE,GRC,0.001564945226917058,0.7337088562470361
22,ARE,HKG,0.0010427528675703858,0.6611969326471218
23,ARE,HUN,0.0,0.0
24,ARE,IDN,0.0010427528675703858,0.664537306986602
25,ARE,IRL,0.0,0.0
26,ARE,ISR,0.0,0.0
27,ARE,IND,0.0,0.0
28,ARE,ITA,0.0020876826722338203,0.6962851999141151
29,ARE,JPN,0.001564945226917058,0.7645278843296835
30,ARE,KEN,0.0005211047420531526,0.6917429680267259
31,ARE,KOR,0.001564945226917058,0.7212087056572982
32,ARE,LBN,0.0,0.0
33,ARE,LTU,0.0005211047420531526,0.6942613425592085
34,ARE,LVA,0.0026109660574412533,0.7028861077378276
35,ARE,MAR,0.0,0.0
36,ARE,MEX,0.0,0.0
37,ARE,MYS,0.0,0.0
38,ARE,NAM,0.0,0.0
39,ARE,NGA,0.0020876826722338203,0.7767765124940964
40,ARE,NLD,0.0,0.0
41,ARE,NOR,0.0,0.0
42,ARE,NZL,0.0010427528675703858,0.7104287654840061
43,ARE,PER,0.0,0.0
44,ARE,PHL,0.0005211047420531526,0.8446631961568991
45,ARE,PAK,0.0026109660574412533,0.6870755168756918
46,ARE,POL,0.0,0.0
47,ARE,PRT,0.0005211047420531526,0.7535340797359595
48,ARE,ROU,0.0,0.6772061427657664
49,ARE,SRB,0.0010427528675703858,0.673045185464806
50,ARE,RUS,0.001564945226917058,0.6879732872765814
51,ARE,SAU,0.0,0.0
52,ARE,SWE,0.001564945226917058,0.6808435715703136
53,ARE,SGP,0.0010427528675703858,0.7174564856418894
54,ARE,SVN,0.0010427528675703858,0.6898415330362555
55,ARE,SVK,0.0,0.0
56,ARE,SEN,0.0026109660574412533,0.8017577110938859
57,ARE,THA,0.0,0.0
58,ARE,TUR,0.001564945226917058,0.659428728912305
59,ARE,TWN,0.003134796238244514,0.6929298370819784
60,ARE,TZA,0.0,0.0
61,ARE,UKR,0.001564945226917058,0.8023807980356975
62,ARE,UGA,0.0020876826722338203,0.7976545360304641
63,ARE,USA,0.0,0.0
64,ARE,VEN,0.0,0.0
65,ARE,VNM,0.001564945226917058,0.8225370894464499
66,ARE,ZAF,0.001564945226917058,0.6811110806902728
67,ARE,ZWE,0.0005211047420531526,0.7271984624402218
68,ARG,AUT,0.0,0.0
69,ARG,AUS,0.0,0.0
70,ARG,BGD,0.0,0.0
71,ARG,BEL,0.0,0.0
72,ARG,BGR,0.0,0.0
73,ARG,BRA,0.0,0.0
74,ARG,BWA,0.0,0.0
75,ARG,CAN,0.0,0.0
76,ARG,CHE,0.0,0.0
77,ARG,CHL,0.0,0.0
78,ARG,CHN,0.0,0.0
79,ARG,COL,0.0,0.0
80,ARG,CUB,0.0,0.0
81,ARG,CZE,0.0,0.0
82,ARG,DEU,0.0,0.0
83,ARG,EGY,0.0,0.0
84,ARG,ETH,0.0,0.0
85,ARG,FRA,0.0,0.0
86,ARG,GBR,0.0,0.0
87,ARG,GHA,0.0,0.0
88,ARG,GRC,0.0,0.0
89,ARG,HKG,0.0,0.0
90,ARG,HUN,0.0,0.0
91,ARG,IDN,0.0,0.0
92,ARG,IRL,0.0,0.0
93,ARG,ISR,0.0,0.0
94,ARG,IND,0.0,0.0
95,ARG,ITA,0.0,0.0
96,ARG,JPN,0.0,0.0
97,ARG,KEN,0.0,0.0
98,ARG,KOR,0.0,0.0
99,ARG,LBN,0.0,0.0
100,ARG,LTU,0.0,0.0
101,ARG,LVA,0.0,0.0
102,ARG,MAR,0.0,0.0
103,ARG,MEX,0.0,0.0
104,ARG,MYS,0.0,0.0
105,ARG,NAM,0.0,0.0
106,ARG,NGA,0.0,0.0
107,ARG,NLD,0.0,0.0
108,ARG,NOR,0.0,0.0
109,ARG,NZL,0.0,0.0
110,ARG,PER,0.0,0.0
111,ARG,PHL,0.0,0.0
112,ARG,PAK,0.0,0.0
113,ARG,POL,0.0,0.0
114,ARG,PRT,0.0,0.0
115,ARG,ROU,0.0,0.0
116,ARG,SRB,0.0,0.0
117,ARG,RUS,0.0,0.0
118,ARG,SAU,0.0,0.0
119,ARG,SWE,0.0,0.0
120,ARG,SGP,0.0,0.0
121,ARG,SVN,0.0,0.0
122,ARG,SVK,0.0,0.0
123,ARG,SEN,0.0,0.0
124,ARG,THA,0.0,0.0
125,ARG,TUR,0.0,0.0
126,ARG,TWN,0.0,0.0
127,ARG,TZA,0.0,0.0
128,ARG,UKR,0.0,0.0
129,ARG,UGA,0.0,0.0
130,ARG,USA,0.0,0.0
131,ARG,VEN,0.0,0.0
132,ARG,VNM,0.0,0.0
133,ARG,ZAF,0.0,0.0
134,ARG,ZWE,0.0,0.0
135,AUT,AUS,0.0,0.0
136,AUT,BGD,0.0,0.0
137,AUT,BEL,0.0,0.0
138,AUT,BGR,0.0,0.0
139,AUT,BRA,0.0,0.0
140,AUT,BWA,0.0,0.0
141,AUT,CAN,0.0,0.0
142,AUT,CHE,0.0,0.0
143,AUT,CHL,0.0,0.0
144,AUT,CHN,0.0,0.0
145,AUT,COL,0.0,0.0
146,AUT,CUB,0.0,0.0
147,AUT,CZE,0.0,0.0
148,AUT,DEU,0.0,0.0
149,AUT,EGY,0.0,0.0
150,AUT,ETH,0.0,0.0
151,AUT,FRA,0.0,0.0
152,AUT,GBR,0.0,0.0
153,AUT,GHA,0.0,0.0
154,AUT,GRC,0.0,0.0
155,AUT,HKG,0.0,0.0
156,AUT,HUN,0.0,0.0
157,AUT,IDN,0.0,0.0
158,AUT,IRL,0.0,0.0
159,AUT,ISR,0.0,0.0
160,AUT,IND,0.0,0.0
161,AUT,ITA,0.0,0.0
162,AUT,JPN,0.0,0.0
163,AUT,KEN,0.0,0.0
164,AUT,KOR,0.0,0.0
165,AUT,LBN,0.0,0.0
166,AUT,LTU,0.0,0.0
167,AUT,LVA,0.0,0.0
168,AUT,MAR,0.0,0.0
169,AUT,MEX,0.0,0.0
170,AUT,MYS,0.0,0.0
171,AUT,NAM,0.0,0.0
172,AUT,NGA,0.0,0.0
173,AUT,NLD,0.0,0.0
174,AUT,NOR,0.0,0.0
175,AUT,NZL,0.0,0.0
176,AUT,PER,0.0,0.0
177,AUT,PHL,0.0,0.0
178,AUT,PAK,0.0,0.0
179,AUT,POL,0.0,0.0
180,AUT,PRT,0.0,0.0
181,AUT,ROU,0.0,0.0
182,AUT,SRB,0.0,0.0
183,AUT,RUS,0.0,0.0
184,AUT,SAU,0.0,0.0
185,AUT,SWE,0.0,0.0
186,AUT,SGP,0.0,0.0
187,AUT,SVN,0.0,0.0
188,AUT,SVK,0.0,0.0
189,AUT,SEN,0.0,0.0
190,AUT,THA,0.0,0.0
191,AUT,TUR,0.0,0.0
192,AUT,TWN,0.0,0.0
193,AUT,TZA,0.0,0.0
194,AUT,UKR,0.0,0.0
195,AUT,UGA,0.0,0.0
196,AUT,USA,0.0,0.0
197,AUT,VEN,0.0,0.0
198,AUT,VNM,0.0,0.0
199,AUT,ZAF,0.0,0.0
200,AUT,ZWE,0.0,0.0
201,AUS,BGD,0.0010427528675703858,0.7292942433679455
202,AUS,BEL,0.001564945226917058,0.720396822164301
203,AUS,BGR,0.0,0.0
204,AUS,BRA,0.003134796238244514,0.6366238429996741
205,AUS,BWA,0.001564945226917058,0.6525513134102555
206,AUS,CAN,0.001564945226917058,0.6369271017953131
207,AUS,CHE,0.0010427528675703858,0.6146357188562985
208,AUS,CHL,0.0036591740721380033,0.6349726128492065
209,AUS,CHN,0.0026109660574412533,0.6395227126894963
210,AUS,COL,0.0,0.0
211,AUS,CUB,0.004709576138147566,0.8019756051268037
212,AUS,CZE,0.001564945226917058,0.7768377953979018
213,AUS,DEU,0.003134796238244514,0.6266443425645553
214,AUS,EGY,0.0,0.0
215,AUS,ETH,0.0010427528675703858,0.6201453084717164
216,AUS,FRA,0.001564945226917058,0.6263831890437601
217,AUS,GBR,0.0,0.0
218,AUS,GHA,0.003134796238244514,0.6699676065729157
219,AUS,GRC,0.0005211047420531526,0.7003484039600735
220,AUS,HKG,0.0026109660574412533,0.6330772069854902
221,AUS,HUN,0.0,0.0
222,AUS,IDN,0.0005211047420531526,0.6517797736421832
223,AUS,IRL,0.0,0.0
224,AUS,ISR,0.0,0.0
225,AUS,IND,0.0,0.0
226,AUS,ITA,0.0010427528675703858,0.6472947098638239
227,AUS,JPN,0.0,0.725293030944038
228,AUS,KEN,0.0020876826722338203,0.6456409435456715
229,AUS,KOR,0.003134796238244514,0.7036640742774692
230,AUS,LBN,0.0,0.0
231,AUS,LTU,0.001564945226917058,0.6562372403210243
232,AUS,LVA,0.001564945226917058,0.6588635044366253
233,AUS,MAR,0.0,0.0
234,AUS,MEX,0.0,0.0
235,AUS,MYS,0.0,0.0
236,AUS,NAM,0.0,0.0
237,AUS,NGA,0.0026109660574412533,0.7279568261520086
238,AUS,NLD,0.0,0.0
239,AUS,NOR,0.0,0.0
240,AUS,NZL,0.001564945226917058,0.6816697751093821
241,AUS,PER,0.0,0.0
242,AUS,PHL,0.0,0.8192231017890453
243,AUS,PAK,0.0026109660574412533,0.6244434497451727
244,AUS,POL,0.0,0.0
245,AUS,PRT,0.0026109660574412533,0.66862498117752
246,AUS,ROU,0.003134796238244514,0.6352730142325764
247,AUS,SRB,0.001564945226917058,0.6197411761864382
248,AUS,RUS,0.0020876826722338203,0.6488245193482
249,AUS,SAU,0.0,0.0
250,AUS,SWE,0.0041841004184100415,0.6439579167650995
251,AUS,SGP,0.0026109660574412533,0.7120838426821603
252,AUS,SVN,0.0,0.6270511174298824
253,AUS,SVK,0.0,0.0
254,AUS,SEN,0.0,0.735691122385723
255,AUS,THA,0.0,0.0
256,AUS,TUR,0.0020876826722338203,0.6049532291624191
257,AUS,TWN,0.0026109660574412533,0.6494522248683383
258,AUS,TZA,0.0,0.0
259,AUS,UKR,0.0,0.7740180232867061
260,AUS,UGA,0.0020876826722338203,0.7510074920034585
261,AUS,USA,0.0,0.0
262,AUS,VEN,0.0,0.0
263,AUS,VNM,0.0020876826722338203,0.7784173665308838
264,AUS,ZAF,0.0041841004184100415,0.6544502047992963
265,AUS,ZWE,0.0026109660574412533,0.6854010465440281
266,BGD,BEL,0.001564945226917058,0.713425369312581
267,BGD,BGR,0.0,0.0
268,BGD,BRA,0.0,0.6246423805045495
269,BGD,BWA,0.0026109660574412533,0.6588542825817029
270,BGD,CAN,0.0026109660574412533,0.6227993903804574
271,BGD,CHE,0.0020876826722338203,0.605553193191036
272,BGD,CHL,0.001564945226917058,0.622736583329238
273,BGD,CHN,0.0010427528675703858,0.6158511174387197
274,BGD,COL,0.0,0.0
275,BGD,CUB,0.0005211047420531526,0.7831434265389923
276,BGD,CZE,0.0005211047420531526,0.7174020780009494
277,BGD,DEU,0.001564945226917058,0.6019093166316547
278,BGD,EGY,0.0,0.0
279,BGD,ETH,0.0010427528675703858,0.6566834202585372
280,BGD,FRA,0.0010427528675703858,0.5976016266736709
281,BGD,GBR,0.0,0.0
282,BGD,GHA,0.0026109660574412533,0.6670748102495855
283,BGD,GRC,0.001564945226917058,0.7171575890302855
284,BGD,HKG,0.0005211047420531526,0.6079440848495156
285,BGD,HUN,0.0,0.0
286,BGD,IDN,0.0010427528675703858,0.5939750724706253
287,BGD,IRL,0.0,0.0
288,BGD,ISR,0.0,0.0
289,BGD,IND,0.0,0.0
290,BGD,ITA,0.0020876826722338203,0.6394951660091848
291,BGD,JPN,0.0005211047420531526,0.6747798984336696
292,BGD,KEN,0.0010427528675703858,0.6418703767885613
293,BGD,KOR,0.0010427528675703858,0.6637554220382132
294,BGD,LBN,0.0,0.0
295,BGD,LTU,0.0005211047420531526,0.6531436525178813
296,BGD,LVA,0.001564945226917058,0.6685897986050713
297,BGD,MAR,0.0,0.0
298,BGD,MEX,0.0,0.0
299,BGD,MYS,0.0,0.0
300,BGD,NAM,0.0,0.0
301,BGD,NGA,0.0010427528675703858,0.7018399718711439
302,BGD,NLD,0.0,0.0
303,BGD,NOR,0.0,0.0
304,BGD,NZL,0.0005211047420531526,0.6365360761481567
305,BGD,PER,0.0,0.0
306,BGD,PHL,0.001564945226917058,0.8166019785996473
307,BGD,PAK,0.003134796238244514,0.6605426628137985
308,BGD,POL,0.0,0.0
309,BGD,PRT,0.0005211047420531526,0.648300476468669
310,BGD,ROU,0.0010427528675703858,0.6309015922767343
311,BGD,SRB,0.0010427528675703858,0.6357179779548395
312,BGD,RUS,0.0026109660574412533,0.6356765601475733
313,BGD,SAU,0.0,0.0
314,BGD,SWE,0.0010427528675703858,0.6252444287206123
315,BGD,SGP,0.001564945226917058,0.6824332862924514
316,BGD,SVN,0.001564945226917058,0.6508887709422522
317,BGD,SVK,0.0,0.0
318,BGD,SEN,0.004709576138147566,0.7927148994740164
319,BGD,THA,0.0,0.0
320,BGD,TUR,0.0010427528675703858,0.5915335718875077
321,BGD,TWN,0.0005211047420531526,0.635318626619597
322,BGD,TZA,0.0,0.0
