group,concept
sense,CN_zh_AE
sense,CN_zh_AR
sense,CN_zh_AT
sense,CN_zh_AU
sense,CN_zh_BD
sense,CN_zh_BE
sense,CN_zh_BG
sense,CN_zh_BR
sense,CN_zh_BW
sense,CN_zh_CA
sense,CN_zh_CH
sense,CN_zh_CL
sense,CN_zh_CN
sense,CN_zh_CO
sense,CN_zh_CU
sense,CN_zh_CZ
sense,CN_zh_DE
sense,CN_zh_EG
sense,CN_zh_ET
sense,CN_zh_FR
sense,CN_zh_GB
sense,CN_zh_GH
sense,CN_zh_GR
sense,CN_zh_HK
sense,CN_zh_HU
sense,CN_zh_ID
sense,CN_zh_IE
sense,CN_zh_IL
sense,CN_zh_IN
sense,CN_zh_IT
sense,CN_zh_JP
sense,CN_zh_KE
sense,CN_zh_KR
sense,CN_zh_LB
sense,CN_zh_LT
sense,CN_zh_LV
sense,CN_zh_MA
sense,CN_zh_MX
sense,CN_zh_MY
sense,CN_zh_NA
sense,CN_zh_NG
sense,CN_zh_NL
sense,CN_zh_NO
sense,CN_zh_NZ
sense,CN_zh_PE
sense,CN_zh_PH
sense,CN_zh_PK
sense,CN_zh_PL
sense,CN_zh_PT
sense,CN_zh_RO
sense,CN_zh_RS
sense,CN_zh_RU
sense,CN_zh_SA
sense,CN_zh_SE
sense,CN_zh_SG
sense,CN_zh_SI
sense,CN_zh_SK
sense,CN_zh_SN
sense,CN_zh_TH
sense,CN_zh_TR
sense,CN_zh_TW
sense,CN_zh_TZ
sense,CN_zh_UA
sense,CN_zh_UG
sense,CN_zh_US
sense,CN_zh_VE
sense,CN_zh_VN
sense,CN_zh_ZA
sense,CN_zh_ZW
