group,concept
sense,GR_el_AE
sense,GR_el_AR
sense,GR_el_AT
sense,GR_el_AU
sense,GR_el_BD
sense,GR_el_BE
sense,GR_el_BG
sense,GR_el_BR
sense,GR_el_BW
sense,GR_el_CA
sense,GR_el_CH
sense,GR_el_CL
sense,GR_el_CN
sense,GR_el_CO
sense,GR_el_CU
sense,GR_el_CZ
sense,GR_el_DE
sense,GR_el_EG
sense,GR_el_ET
sense,GR_el_FR
sense,GR_el_GB
sense,GR_el_GH
sense,GR_el_GR
sense,GR_el_HK
sense,GR_el_HU
sense,GR_el_ID
sense,GR_el_IE
sense,GR_el_IL
sense,GR_el_IN
sense,GR_el_IT
sense,GR_el_JP
sense,GR_el_KE
sense,GR_el_KR
sense,GR_el_LB
sense,GR_el_LT
sense,GR_el_LV
sense,GR_el_MA
sense,GR_el_MX
sense,GR_el_MY
sense,GR_el_NA
sense,GR_el_NG
sense,GR_el_NL
sense,GR_el_NO
sense,GR_el_NZ
sense,GR_el_PE
sense,GR_el_PH
sense,GR_el_PK
sense,GR_el_PL
sense,GR_el_PT
sense,GR_el_RO
sense,GR_el_RS
sense,GR_el_RU
sense,GR_el_SA
sense,GR_el_SE
sense,GR_el_SG
sense,GR_el_SI
sense,GR_el_SK
sense,GR_el_SN
sense,GR_el_TH
sense,GR_el_TR
sense,GR_el_TW
sense,GR_el_TZ
sense,GR_el_UA
sense,GR_el_UG
sense,GR_el_US
sense,GR_el_VE
sense,GR_el_VN
sense,GR_el_ZA
sense,GR_el_ZW
