group,concept
sense,IN_hi_AE
sense,IN_hi_AR
sense,IN_hi_AT
sense,IN_hi_AU
sense,IN_hi_BD
sense,IN_hi_BE
sense,IN_hi_BG
sense,IN_hi_BR
sense,IN_hi_BW
sense,IN_hi_CA
sense,IN_hi_CH
sense,IN_hi_CL
sense,IN_hi_CN
sense,IN_hi_CO
sense,IN_hi_CU
sense,IN_hi_CZ
sense,IN_hi_DE
sense,IN_hi_EG
sense,IN_hi_ET
sense,IN_hi_FR
sense,IN_hi_GH
sense,IN_hi_GR
sense,IN_hi_HU
sense,IN_hi_ID
sense,IN_hi_IE
sense,IN_hi_IL
sense,IN_hi_IN
sense,IN_hi_IT
sense,IN_hi_JP
sense,IN_hi_KE
sense,IN_hi_KR
sense,IN_hi_LB
sense,IN_hi_LT
sense,IN_hi_LV
sense,IN_hi_MA
sense,IN_hi_MX
sense,IN_hi_MY
sense,IN_hi_NA
sense,IN_hi_NG
sense,IN_hi_NL
sense,IN_hi_NO
sense,IN_hi_NZ
sense,IN_hi_PE
sense,IN_hi_PH
sense,IN_hi_PK
sense,IN_hi_PL
sense,IN_hi_PT
sense,IN_hi_RO
sense,IN_hi_RS
sense,IN_hi_RU
sense,IN_hi_SA
sense,IN_hi_SE
sense,IN_hi_SG
sense,IN_hi_SI
sense,IN_hi_SK
sense,IN_hi_SN
sense,IN_hi_TH
sense,IN_hi_TR
sense,IN_hi_TW
sense,IN_hi_TZ
sense,IN_hi_UA
sense,IN_hi_UG
sense,IN_hi_US
sense,IN_hi_VE
sense,IN_hi_VN
sense,IN_hi_ZA
sense,IN_hi_ZW
