group,concept
sense,JP_ja_AE
sense,JP_ja_AR
sense,JP_ja_AT
sense,JP_ja_AU
sense,JP_ja_BD
sense,JP_ja_BE
sense,JP_ja_BG
sense,JP_ja_BR
sense,JP_ja_BW
sense,JP_ja_CA
sense,JP_ja_CH
sense,JP_ja_CL
sense,JP_ja_CN
sense,JP_ja_CO
sense,JP_ja_CU
sense,JP_ja_CZ
sense,JP_ja_DE
sense,JP_ja_EG
sense,JP_ja_ET
sense,JP_ja_FR
sense,JP_ja_GB
sense,JP_ja_GH
sense,JP_ja_GR
sense,JP_ja_HK
sense,JP_ja_HU
sense,JP_ja_ID
sense,JP_ja_IE
sense,JP_ja_IL
sense,JP_ja_IN
sense,JP_ja_IT
sense,JP_ja_JP
sense,JP_ja_KE
sense,JP_ja_KR
sense,JP_ja_LB
sense,JP_ja_LT
sense,JP_ja_LV
sense,JP_ja_MA
sense,JP_ja_MX
sense,JP_ja_MY
sense,JP_ja_NA
sense,JP_ja_NG
sense,JP_ja_NL
sense,JP_ja_NO
sense,JP_ja_NZ
sense,JP_ja_PE
sense,JP_ja_PH
sense,JP_ja_PK
sense,JP_ja_PL
sense,JP_ja_PT
sense,JP_ja_RO
sense,JP_ja_RS
sense,JP_ja_RU
sense,JP_ja_SA
sense,JP_ja_SE
sense,JP_ja_SG
sense,JP_ja_SI
sense,JP_ja_SK
sense,JP_ja_SN
sense,JP_ja_TH
sense,JP_ja_TR
sense,JP_ja_TW
sense,JP_ja_TZ
sense,JP_ja_UA
sense,JP_ja_UG
sense,JP_ja_US
sense,JP_ja_VE
sense,JP_ja_VN
sense,JP_ja_ZA
sense,JP_ja_ZW
