group,concept
sense,KR_ko_AE
sense,KR_ko_AR
sense,KR_ko_AT
sense,KR_ko_AU
sense,KR_ko_BD
sense,KR_ko_BE
sense,KR_ko_BG
sense,KR_ko_BR
sense,KR_ko_BW
sense,KR_ko_CA
sense,KR_ko_CH
sense,KR_ko_CL
sense,KR_ko_CN
sense,KR_ko_CO
sense,KR_ko_CU
sense,KR_ko_CZ
sense,KR_ko_DE
sense,KR_ko_EG
sense,KR_ko_ET
sense,KR_ko_FR
sense,KR_ko_GB
sense,KR_ko_GH
sense,KR_ko_GR
sense,KR_ko_HK
sense,KR_ko_HU
sense,KR_ko_ID
sense,KR_ko_IE
sense,KR_ko_IL
sense,KR_ko_IN
sense,KR_ko_IT
sense,KR_ko_JP
sense,KR_ko_KE
sense,KR_ko_KR
sense,KR_ko_LB
sense,KR_ko_LT
sense,KR_ko_LV
sense,KR_ko_MA
sense,KR_ko_MX
sense,KR_ko_MY
sense,KR_ko_NA
sense,KR_ko_NG
sense,KR_ko_NL
sense,KR_ko_NO
sense,KR_ko_NZ
sense,KR_ko_PE
sense,KR_ko_PH
sense,KR_ko_PK
sense,KR_ko_PL
sense,KR_ko_PT
sense,KR_ko_RO
sense,KR_ko_RS
sense,KR_ko_RU
sense,KR_ko_SA
sense,KR_ko_SE
sense,KR_ko_SG
sense,KR_ko_SI
sense,KR_ko_SK
sense,KR_ko_SN
sense,KR_ko_TH
sense,KR_ko_TR
sense,KR_ko_TW
sense,KR_ko_TZ
sense,KR_ko_UA
sense,KR_ko_UG
sense,KR_ko_US
sense,KR_ko_VE
sense,KR_ko_VN
sense,KR_ko_ZA
sense,KR_ko_ZW
