group,concept
sense,SA_ar_AR
sense,SA_ar_AT
sense,SA_ar_AU
sense,SA_ar_BD
sense,SA_ar_BE
sense,SA_ar_BG
sense,SA_ar_BR
sense,SA_ar_BW
sense,SA_ar_CA
sense,SA_ar_CH
sense,SA_ar_CL
sense,SA_ar_CN
sense,SA_ar_CO
sense,SA_ar_CU
sense,SA_ar_CZ
sense,SA_ar_DE
sense,SA_ar_EG
sense,SA_ar_ET
sense,SA_ar_FR
sense,SA_ar_GB
sense,SA_ar_GH
sense,SA_ar_GR
sense,SA_ar_HU
sense,SA_ar_ID
sense,SA_ar_IE
sense,SA_ar_IL
sense,SA_ar_IN
sense,SA_ar_IT
sense,SA_ar_JP
sense,SA_ar_KE
sense,SA_ar_KR
sense,SA_ar_LB
sense,SA_ar_LT
sense,SA_ar_LV
sense,SA_ar_MA
sense,SA_ar_MX
sense,SA_ar_MY
sense,SA_ar_NA
sense,SA_ar_NG
sense,SA_ar_NL
sense,SA_ar_NO
sense,SA_ar_NZ
sense,SA_ar_PE
sense,SA_ar_PH
sense,SA_ar_PK
sense,SA_ar_PL
sense,SA_ar_PT
sense,SA_ar_RO
sense,SA_ar_RS
sense,SA_ar_RU
sense,SA_ar_SA
sense,SA_ar_SE
sense,SA_ar_SG
sense,SA_ar_SI
sense,SA_ar_SK
sense,SA_ar_SN
sense,SA_ar_TH
sense,SA_ar_TR
sense,SA_ar_TW
sense,SA_ar_TZ
sense,SA_ar_UA
sense,SA_ar_UG
sense,SA_ar_US
sense,SA_ar_VE
sense,SA_ar_VN
sense,SA_ar_ZW
