group,concept
sense,CU_es_AE
sense,CU_es_AR
sense,CU_es_AT
sense,CU_es_AU
sense,CU_es_BD
sense,CU_es_BE
sense,CU_es_BG
sense,CU_es_BR
sense,CU_es_BW
sense,CU_es_CA
sense,CU_es_CH
sense,CU_es_CL
sense,CU_es_CN
sense,CU_es_CO
sense,CU_es_CU
sense,CU_es_CZ
sense,CU_es_DE
sense,CU_es_EG
sense,CU_es_ET
sense,CU_es_FR
sense,CU_es_GB
sense,CU_es_GH
sense,CU_es_GR
sense,CU_es_HU
sense,CU_es_ID
sense,CU_es_IE
sense,CU_es_IL
sense,CU_es_IN
sense,CU_es_IT
sense,CU_es_JP
sense,CU_es_KE
sense,CU_es_KR
sense,CU_es_LB
sense,CU_es_LT
sense,CU_es_LV
sense,CU_es_MA
sense,CU_es_MX
sense,CU_es_MY
sense,CU_es_NA
sense,CU_es_NG
sense,CU_es_NL
sense,CU_es_NO
sense,CU_es_NZ
sense,CU_es_PE
sense,CU_es_PH
sense,CU_es_PK
sense,CU_es_PL
sense,CU_es_PT
sense,CU_es_RO
sense,CU_es_RS
sense,CU_es_RU
sense,CU_es_SA
sense,CU_es_SE
sense,CU_es_SG
sense,CU_es_SI
sense,CU_es_SK
sense,CU_es_SN
sense,CU_es_TH
sense,CU_es_TR
sense,CU_es_TW
sense,CU_es_TZ
sense,CU_es_UA
sense,CU_es_UG
sense,CU_es_US
sense,CU_es_VE
sense,CU_es_VN
sense,CU_es_ZA
sense,CU_es_ZW
