group,concept
sense,ET_en_AR
sense,ET_en_AT
sense,ET_en_AU
sense,ET_en_BD
sense,ET_en_BE
sense,ET_en_BG
sense,ET_en_BR
sense,ET_en_BW
sense,ET_en_CA
sense,ET_en_CH
sense,ET_en_CL
sense,ET_en_CN
sense,ET_en_CO
sense,ET_en_CU
sense,ET_en_CZ
sense,ET_en_DE
sense,ET_en_EG
sense,ET_en_ET
sense,ET_en_FR
sense,ET_en_GB
sense,ET_en_GH
sense,ET_en_GR
sense,ET_en_HU
sense,ET_en_ID
sense,ET_en_IE
sense,ET_en_IL
sense,ET_en_IN
sense,ET_en_IT
sense,ET_en_JP
sense,ET_en_KE
sense,ET_en_KR
sense,ET_en_LB
sense,ET_en_LT
sense,ET_en_LV
sense,ET_en_MA
sense,ET_en_MX
sense,ET_en_MY
sense,ET_en_NA
sense,ET_en_NG
sense,ET_en_NL
sense,ET_en_NO
sense,ET_en_PE
sense,ET_en_PH
sense,ET_en_PK
sense,ET_en_PL
sense,ET_en_PT
sense,ET_en_RO
sense,ET_en_RS
sense,ET_en_SE
sense,ET_en_SG
sense,ET_en_SI
sense,ET_en_SK
sense,ET_en_SN
sense,ET_en_TH
sense,ET_en_TR
sense,ET_en_TW
sense,ET_en_TZ
sense,ET_en_UA
sense,ET_en_UG
sense,ET_en_VE
sense,ET_en_ZW
