group,concept
sense,HK_zh_AE
sense,HK_zh_AR
sense,HK_zh_AT
sense,HK_zh_AU
sense,HK_zh_BD
sense,HK_zh_BE
sense,HK_zh_BG
sense,HK_zh_BR
sense,HK_zh_BW
sense,HK_zh_CA
sense,HK_zh_CH
sense,HK_zh_CL
sense,HK_zh_CN
sense,HK_zh_CO
sense,HK_zh_CU
sense,HK_zh_CZ
sense,HK_zh_DE
sense,HK_zh_EG
sense,HK_zh_ET
sense,HK_zh_FR
sense,HK_zh_GB
sense,HK_zh_GH
sense,HK_zh_GR
sense,HK_zh_HK
sense,HK_zh_HU
sense,HK_zh_ID
sense,HK_zh_IE
sense,HK_zh_IL
sense,HK_zh_IN
sense,HK_zh_IT
sense,HK_zh_JP
sense,HK_zh_KE
sense,HK_zh_KR
sense,HK_zh_LB
sense,HK_zh_LT
sense,HK_zh_LV
sense,HK_zh_MA
sense,HK_zh_MX
sense,HK_zh_MY
sense,HK_zh_NA
sense,HK_zh_NG
sense,HK_zh_NL
sense,HK_zh_NO
sense,HK_zh_NZ
sense,HK_zh_PE
sense,HK_zh_PH
sense,HK_zh_PK
sense,HK_zh_PL
sense,HK_zh_PT
sense,HK_zh_RO
sense,HK_zh_RS
sense,HK_zh_RU
sense,HK_zh_SA
sense,HK_zh_SE
sense,HK_zh_SG
sense,HK_zh_SI
sense,HK_zh_SK
sense,HK_zh_SN
sense,HK_zh_TH
sense,HK_zh_TR
sense,HK_zh_TW
sense,HK_zh_TZ
sense,HK_zh_UA
sense,HK_zh_UG
sense,HK_zh_US
sense,HK_zh_VE
sense,HK_zh_VN
sense,HK_zh_ZA
sense,HK_zh_ZW
