group,concept
sense,PE_es_AE
sense,PE_es_AR
sense,PE_es_AT
sense,PE_es_AU
sense,PE_es_BD
sense,PE_es_BE
sense,PE_es_BG
sense,PE_es_BR
sense,PE_es_BW
sense,PE_es_CA
sense,PE_es_CH
sense,PE_es_CL
sense,PE_es_CN
sense,PE_es_CO
sense,PE_es_CU
sense,PE_es_CZ
sense,PE_es_DE
sense,PE_es_EG
sense,PE_es_ET
sense,PE_es_FR
sense,PE_es_GB
sense,PE_es_GH
sense,PE_es_GR
sense,PE_es_HU
sense,PE_es_ID
sense,PE_es_IE
sense,PE_es_IL
sense,PE_es_IN
sense,PE_es_IT
sense,PE_es_JP
sense,PE_es_KE
sense,PE_es_KR
sense,PE_es_LB
sense,PE_es_LT
sense,PE_es_LV
sense,PE_es_MA
sense,PE_es_MX
sense,PE_es_MY
sense,PE_es_NA
sense,PE_es_NG
sense,PE_es_NL
sense,PE_es_NO
sense,PE_es_NZ
sense,PE_es_PE
sense,PE_es_PH
sense,PE_es_PK
sense,PE_es_PL
sense,PE_es_PT
sense,PE_es_RO
sense,PE_es_RS
sense,PE_es_RU
sense,PE_es_SA
sense,PE_es_SE
sense,PE_es_SG
sense,PE_es_SI
sense,PE_es_SK
sense,PE_es_SN
sense,PE_es_TH
sense,PE_es_TR
sense,PE_es_TW
sense,PE_es_TZ
sense,PE_es_UA
sense,PE_es_UG
sense,PE_es_US
sense,PE_es_VE
sense,PE_es_VN
sense,PE_es_ZA
sense,PE_es_ZW
