,c1,c2,jac,cos
0,ARE,ARG,0.012124406958355299,0.7949139875793771
1,ARE,AUT,0.027287319422150885,0.7929344266440036
2,ARE,AUS,0.01964949548592671,0.8159137860085404
3,ARE,BGD,0.01641079936474325,0.773610815751378
4,ARE,BEL,0.0020876826722338203,0.7749872752793092
5,ARE,BGR,0.005235602094240838,0.6380176920329724
6,ARE,BRA,0.007874015748031496,0.7707635652717731
7,ARE,BWA,0.0041841004184100415,0.621324758992327
8,ARE,CAN,0.012124406958355299,0.7693482108206111
9,ARE,CHE,0.008403361344537815,0.7498771021332863
10,ARE,CHL,0.004709576138147566,0.7387407572020996
11,ARE,CHN,0.009994739610731194,0.7852179912928364
12,ARE,COL,0.008403361344537815,0.7479036182464778
13,ARE,CUB,0.006289308176100629,0.7588294193987072
14,ARE,CZE,0.0041841004184100415,0.7559669922100628
15,ARE,DEU,0.013727560718057022,0.8069603238474679
16,ARE,EGY,0.010526315789473684,0.7304517587431781
17,ARE,ETH,0.008933263268523384,0.655753552859608
18,ARE,FRA,0.011058451816745656,0.7924013271773036
19,ARE,GBR,0.007345225603357817,0.7438428609053518
20,ARE,GHA,0.0036591740721380033,0.7822886933139143
21,ARE,GRC,0.0041841004184100415,0.6236679811821163
22,ARE,HUN,0.0026109660574412533,0.6197912326971424
23,ARE,IDN,0.02127659574468085,0.7754656370275433
24,ARE,IRL,0.013727560718057022,0.7670577392308592
25,ARE,ISR,0.01964949548592671,0.7799506707762671
26,ARE,IND,0.013727560718057022,0.7962179783404132
27,ARE,ITA,0.0026109660574412533,0.7473680267109966
28,ARE,JPN,0.003134796238244514,0.6160188220220592
29,ARE,KEN,0.003134796238244514,0.6142501639833213
30,ARE,KOR,0.02127659574468085,0.7769187936804746
31,ARE,LBN,0.00946372239747634,0.6494185710799101
32,ARE,LTU,0.015873015873015872,0.7638799525877857
33,ARE,LVA,0.009994739610731194,0.7238176296914941
34,ARE,MAR,0.011058451816745656,0.6466131562632257
35,ARE,MEX,0.0010427528675703858,0.6170859552004021
36,ARE,MYS,0.020191285866099893,0.8122743491633942
37,ARE,NAM,0.015335801163405606,0.7630420852692889
38,ARE,NGA,0.030595813204508857,0.7975179716865162
39,ARE,NLD,0.0005211047420531526,0.7292313625099456
40,ARE,NOR,0.02073365231259968,0.8034116580161936
41,ARE,NZL,0.0020876826722338203,0.7477515091082192
42,ARE,PER,0.0041841004184100415,0.7465602864379974
43,ARE,PHL,0.009994739610731194,0.7312447190035924
44,ARE,PAK,0.031149301825993556,0.825087904845152
45,ARE,POL,0.0041841004184100415,0.6071595352743028
46,ARE,PRT,0.0068169900367068695,0.7769254017782529
47,ARE,ROU,0.015873015873015872,0.7736587971757616
48,ARE,SRB,0.015335801163405606,0.7615366891653282
49,ARE,RUS,0.003134796238244514,0.7712761018063731
50,ARE,SAU,0.014263074484944533,0.7012900086616369
51,ARE,SWE,0.0036591740721380033,0.6231604349451544
52,ARE,SGP,0.01910828025477707,0.776228264590303
53,ARE,SVN,0.014263074484944533,0.7608060973987792
54,ARE,SVK,0.027287319422150885,0.79266686010415
55,ARE,SEN,0.014263074484944533,0.7586397584234483
56,ARE,THA,0.021820117083555083,0.7603105879447978
57,ARE,TUR,0.0036591740721380033,0.6510884912548827
58,ARE,TWN,0.0041841004184100415,0.675583851977166
