,c1,c2,jac,cos
1316,HUN,SWE,0.14353782013103036,0.8666516258442788
1278,GRC,TUR,0.14353782013103036,0.8728537885951355
1565,JPN,TUR,0.12280701754385964,0.8451571459062285
1334,IDN,IND,0.119533527696793,0.8883833698254421
2187,SVN,SVK,0.1136890951276102,0.9399569990985627
2163,SWE,TUR,0.10408280621046578,0.8292536511374228
2058,POL,TUR,0.10028653295128939,0.8305103586622424
1803,MEX,TUR,0.09839816933638444,0.8264452207917292
1092,ETH,TUR,0.09339407744874716,0.8084631119391663
529,BWA,KEN,0.08967082860385925,0.8126220904703405
402,BGR,GRC,0.0847457627118644,0.8100539599207579
133,AUT,AUS,0.08047270680922904,0.9135486362189525
1602,KEN,TUR,0.07262569832402235,0.8067994531454792
1772,MAR,TUR,0.07083100948131622,0.7953908933133508
1673,LBN,TUR,0.07083100948131622,0.7854259986778281
843,COL,VEN,0.06430155210643015,0.8873812725642453
2148,SAU,TUR,0.056105610561056105,0.7930007678136289
2241,TUR,ZWE,0.053208996160175534,0.7653634381817574
72,ARG,BRA,0.04689203925845147,0.8817023409939617
734,CHL,VEN,0.04461371055495103,0.8705711270328057
504,BRA,VEN,0.04121475054229935,0.85585756324688
2111,SRB,SVN,0.03727714748784441,0.8462782664681758
302,BGD,PAK,0.0367170626349892,0.8330670306208118
203,AUS,CAN,0.03615758229897464,0.8644232345215465
1896,NGA,VEN,0.03225806451612903,0.7965695404677992
1110,FRA,ITA,0.028938906752411574,0.8828579446380539
756,CHN,KOR,0.028938906752411574,0.8544337267766233
2100,ROU,UKR,0.028387787895018748,0.8299056186965346
954,DEU,FRA,0.027837259100642397,0.8666016182277407
2276,VNM,ZWE,0.027287319422150885,0.7303213714063307
1410,IRL,UKR,0.026737967914438502,0.823535435105688
1710,LTU,UKR,0.026189203634420097,0.8159702374208665
568,CAN,CHL,0.02564102564102564,0.8368208135525779
945,CZE,UKR,0.02564102564102564,0.8538055614497775
896,CUB,VEN,0.024,0.7880729807835021
2259,UKR,VEN,0.023454157782515993,0.7953021314716285
2205,SVK,UKR,0.023454157782515993,0.8271496257487894
2036,PAK,THA,0.022364217252396165,0.7895069102298438
1451,ISR,UKR,0.021820117083555083,0.7988669372251607
1737,LVA,SVK,0.02127659574468085,0.7977169378742576
2249,TWN,ZWE,0.02127659574468085,0.7233916917383616
1516,ITA,PRT,0.02127659574468085,0.8351584644006917
1637,KOR,THA,0.01964949548592671,0.7807039866906138
1866,NAM,UGA,0.01964949548592671,0.7735577886226782
2217,SEN,UGA,0.01694915254237288,0.7871863146402104
642,CHE,ITA,0.01694915254237288,0.8326125699839104
2227,THA,UGA,0.015335801163405606,0.7630747035514702
1475,IND,PAK,0.014799154334038054,0.7876329829822816
1830,MYS,SVK,0.014263074484944533,0.7923644146219629
1154,GBR,IRL,0.013727560718057022,0.8075567873772181
2135,RUS,UKR,0.013727560718057022,0.8809967766619463
50,ARE,SAU,0.013727560718057022,0.6940497264486357
2181,SGP,UGA,0.013192612137203167,0.7913774510260891
2268,USA,VEN,0.013192612137203167,0.839484646799055
1939,NOR,SVN,0.011591148577449948,0.7789613528913385
2068,PRT,ROU,0.010526315789473684,0.7925340065640831
2264,UGA,VEN,0.009994739610731194,0.7806181355841234
2021,PHL,VEN,0.008933263268523384,0.7406720283694161
1024,EGY,NGA,0.008403361344537815,0.7389227157890967
1998,PER,VEN,0.007874015748031496,0.7837963625882379
1906,NLD,PRT,0.006289308176100629,0.8290735567424372
340,BEL,GHA,0.006289308176100629,0.8628550648559539
1228,GHA,SGP,0.005762179151388162,0.798677755144763
1976,NZL,ZAF,0.004709576138147566,0.865100408622666
2253,TZA,VEN,0.0041841004184100415,0.7806502611277746
2272,VEN,VNM,0.0036591740721380033,0.6765741014338162
2277,ZAF,ZWE,0.0010427528675703858,0.7003953945912231
