,c1,c2,jac,cos
0,ARG,AUT,0.11757857974388825,0.8070294683981305
1,ARG,AUS,0.285140562248996,0.9304594500232293
2,ARG,BGD,0.006289308176100629,0.7484534667853945
3,ARG,BEL,0.10091743119266056,0.7774196689838202
4,ARG,BGR,0.061946902654867256,0.7516679937361298
5,ARG,BRA,0.33611691022964507,0.9488368703292763
6,ARG,BWA,0.06253458771444383,0.7580213573361739
7,ARG,CAN,0.20906801007556675,0.9022016347198943
8,ARG,CHE,0.06253458771444383,0.7802762296001184
9,ARG,CHL,0.005235602094240838,0.6155680202360989
10,ARG,CHN,0.20982986767485823,0.9139797333541501
11,ARG,COL,0.23631680618158404,0.935405396259948
12,ARG,CUB,0.0041841004184100415,0.695979992039763
13,ARG,CZE,0.043478260869565216,0.7313160840088966
14,ARG,DEU,0.09651627641347801,0.7861751867935193
15,ARG,EGY,0.10790536641661858,0.8081696427630375
16,ARG,ETH,0.0036591740721380033,0.6873444035007545
17,ARG,FRA,0.0036591740721380033,0.641991093794028
18,ARG,GBR,0.0026109660574412533,0.636987038486647
19,ARG,GHA,0.10790536641661858,0.8111826832142182
20,ARG,GRC,0.1169284467713787,0.795302158630941
21,ARG,HUN,0.10028653295128939,0.7899451000937505
22,ARG,IDN,0.14763897190675435,0.8752444664242126
23,ARG,IRL,0.003134796238244514,0.7337563720270008
24,ARG,ISR,0.19477286869943994,0.898090363223864
25,ARG,IND,0.170018281535649,0.8926929331709279
26,ARG,ITA,0.07442641298265248,0.7617374050131979
27,ARG,JPN,0.004709576138147566,0.6542509260188023
28,ARG,KEN,0.005235602094240838,0.6940302073038642
29,ARG,KOR,0.04008667388949079,0.7777700456145418
30,ARG,LBN,0.09152927799886298,0.7755325961258767
31,ARG,LTU,0.04746317512274959,0.731066684395963
32,ARG,LVA,0.11498257839721254,0.8153613769804388
33,ARG,MAR,0.1111111111111111,0.8163309502363199
34,ARG,MEX,0.012658227848101266,0.7311140677509745
35,ARG,MYS,0.15176964607078583,0.8745961014085964
36,ARG,NAM,0.09714285714285714,0.8080367546021833
37,ARG,NGA,0.20754716981132076,0.9043914071044374
38,ARG,NLD,0.09902690326273612,0.7883822598982955
39,ARG,NOR,0.1047180667433832,0.7810853559050792
40,ARG,PER,0.005235602094240838,0.6980902737756712
41,ARG,PHL,0.09401709401709402,0.7978702447909924
42,ARG,PAK,0.1608222490931076,0.8882036817287802
43,ARG,POL,0.005235602094240838,0.714662375013192
44,ARG,PRT,0.0041841004184100415,0.628055223711873
45,ARG,ROU,0.12018669778296383,0.8265219114931025
46,ARG,SRB,0.003134796238244514,0.6913752342844047
47,ARG,SWE,0.05147864184008762,0.7394986796098602
48,ARG,SGP,0.09028960817717206,0.8143362576735902
49,ARG,SVN,0.056105610561056105,0.7203790373083685
50,ARG,SVK,0.0036591740721380033,0.6199849506841192
51,ARG,SEN,0.09339407744874716,0.7939018336936509
52,ARG,THA,0.10344827586206896,0.8059969946204921
53,ARG,TUR,0.0036591740721380033,0.7167730879518373
54,ARG,TWN,0.03615758229897464,0.7578398907230425
55,ARG,TZA,0.04461371055495103,0.7775015734327392
56,ARG,UKR,0.0026109660574412533,0.6156219445490246
57,ARG,UGA,0.0020876826722338203,0.6280123237589458
58,ARG,VEN,0.027287319422150885,0.7728228873255272
59,ARG,ZWE,0.1800860479409957,0.8766867264790409
60,AUT,AUS,0.14763897190675435,0.8570516160955037
