,c1,c2,jac,cos
0,ARE,ARG,0.01910828025477707,0.7949068772318734
1,ARE,AUT,0.006289308176100629,0.8049711295675223
2,ARE,AUS,0.008403361344537815,0.748660991667739
3,ARE,BGD,0.013727560718057022,0.7961275206688853
4,ARE,BEL,0.0041841004184100415,0.6366818430122048
5,ARE,BGR,0.013192612137203167,0.7742313661761178
6,ARE,BRA,0.013192612137203167,0.7925881225296554
7,ARE,BWA,0.013727560718057022,0.7905385479605284
8,ARE,CAN,0.007345225603357817,0.7880554445836265
9,ARE,CHE,0.005235602094240838,0.7989343334024488
10,ARE,CHL,0.008403361344537815,0.76254606370328
11,ARE,CHN,0.001564945226917058,0.5923479994887224
12,ARE,COL,0.008933263268523384,0.7724229146158025
13,ARE,CUB,0.015873015873015872,0.7921154995948352
14,ARE,CZE,0.010526315789473684,0.7896985059001996
15,ARE,DEU,0.015335801163405606,0.8338311354295366
16,ARE,EGY,0.033925686591276254,0.8517560207988838
17,ARE,ETH,0.034482758620689655,0.8460612634073684
18,ARE,FRA,0.005762179151388162,0.8023946440642655
19,ARE,GBR,0.0036591740721380033,0.7500338907861059
20,ARE,GHA,0.003134796238244514,0.7864763472896966
21,ARE,GRC,0.0068169900367068695,0.6625047003988
22,ARE,HUN,0.015873015873015872,0.7807270055675213
23,ARE,IDN,0.014263074484944533,0.7842403934541441
24,ARE,IRL,0.0020876826722338203,0.7400192533541096
25,ARE,ISR,0.006289308176100629,0.6474507471087609
26,ARE,IND,0.0020876826722338203,0.7465346688597697
27,ARE,ITA,0.008933263268523384,0.814829261919826
28,ARE,JPN,0.005762179151388162,0.8074948450990165
29,ARE,KEN,0.014263074484944533,0.7930371577858278
30,ARE,KOR,0.01641079936474325,0.7819346980410756
31,ARE,LBN,0.030595813204508857,0.8296393697945448
32,ARE,LTU,0.0068169900367068695,0.7332023103521498
33,ARE,LVA,0.013727560718057022,0.776490229617231
34,ARE,MAR,0.041779706999457406,0.8322439538711923
35,ARE,MEX,0.0036591740721380033,0.6318076585458585
36,ARE,MYS,0.008933263268523384,0.7416647499286662
37,ARE,NAM,0.027837259100642397,0.8251162726201254
38,ARE,NGA,0.011058451816745656,0.7539181822775883
39,ARE,NLD,0.005235602094240838,0.6499690440024932
40,ARE,NOR,0.007874015748031496,0.6800549317717633
41,ARE,NZL,0.003134796238244514,0.8057144675019083
42,ARE,PER,0.008403361344537815,0.6822422302436967
43,ARE,PHL,0.010526315789473684,0.7357806511222674
44,ARE,PAK,0.015873015873015872,0.8058547897376817
45,ARE,POL,0.005762179151388162,0.6487562594469525
46,ARE,PRT,0.005762179151388162,0.761989689838984
47,ARE,ROU,0.015873015873015872,0.7904535550794715
48,ARE,SRB,0.006289308176100629,0.6893080587494521
49,ARE,RUS,0.005235602094240838,0.7856136115554319
50,ARE,SWE,0.008403361344537815,0.6752283807848438
51,ARE,SGP,0.007874015748031496,0.7615043325044402
52,ARE,SVN,0.005762179151388162,0.6895659282283338
53,ARE,SVK,0.012124406958355299,0.7795332088933934
54,ARE,SEN,0.02454642475987193,0.8119749033307382
55,ARE,THA,0.001564945226917058,0.7202658496261192
56,ARE,TUR,0.026737967914438502,0.8480605251029051
57,ARE,TWN,0.0036591740721380033,0.847010818350801
58,ARE,TZA,0.003134796238244514,0.814909663998655
59,ARE,UKR,0.02127659574468085,0.8126350133516334
60,ARE,UGA,0.017488076311605722,0.80341839860724
