,c1,c2,jac,cos
345,BEL,MEX,0.1421772754312909,0.8892287653125122
1957,POL,SRB,0.10218140068886337,0.7994196457596876
1722,MEX,SRB,0.09339407744874716,0.8240722645534004
1202,GRC,ISR,0.08843537414965986,0.7970237253586522
1852,NOR,SRB,0.08535895986433013,0.7973436503740899
1374,ISR,MEX,0.0829103214890017,0.7944860190945204
2010,SRB,SWE,0.07262569832402235,0.7894448095275135
1894,PER,POL,0.059018201875344733,0.7985732740353401
723,CHN,GRC,0.05843439911797133,0.7504147211946295
908,CZE,SVK,0.05378704720087816,0.8646228169324676
76,ARG,COL,0.048034934497816595,0.8590150094628415
661,CHL,COL,0.04461371055495103,0.8457367187881235
129,AUT,AUS,0.043478260869565216,0.8524390019400176
969,EGY,ETH,0.042911461162411735,0.8705162196019117
1617,LTU,LVA,0.04234527687296417,0.8312671834823637
1825,NLD,POL,0.041779706999457406,0.8033694766055821
2052,SWE,VNM,0.04065040650406504,0.7445503109535452
17,ARE,ETH,0.03504043126684636,0.8565657145647434
1272,HUN,SVK,0.03225806451612903,0.8030214830371077
1058,ETH,UKR,0.031149301825993556,0.8357262927309277
1699,MAR,SEN,0.030042918454935622,0.7973986454541427
197,AUS,CAN,0.028938906752411574,0.8358565499377152
1668,LVA,SVK,0.026737967914438502,0.7853111163842258
2111,TUR,UKR,0.026189203634420097,0.8048301555420571
2077,SVN,VNM,0.026189203634420097,0.709555933179986
1949,PAK,UKR,0.02564102564102564,0.812935223686806
1290,IDN,KOR,0.02564102564102564,0.787459394267234
2138,UGA,ZWE,0.025093432995194873,0.7923692803155804
767,COL,CUB,0.025093432995194873,0.8046505601952355
549,CAN,CHE,0.025093432995194873,0.8546081520530332
294,BGD,PAK,0.02454642475987193,0.8049704155259142
835,CUB,KOR,0.024,0.8106341851844182
391,BGR,HUN,0.02290889717634523,0.7850838424952965
1586,LBN,MAR,0.02290889717634523,0.7746112415256304
931,DEU,ITA,0.02290889717634523,0.8645585642317711
1332,IRL,LTU,0.021820117083555083,0.7789918887248113
2003,ROU,UKR,0.021820117083555083,0.7894804000022744
1809,NGA,SEN,0.02127659574468085,0.7650920148029072
1460,ITA,PRT,0.02073365231259968,0.8367426446405741
2095,SEN,UGA,0.01964949548592671,0.784076916334359
1767,NAM,NGA,0.01856763925729443,0.7484452613937634
521,BWA,NAM,0.01856763925729443,0.7920320855819022
1523,KEN,NGA,0.01694915254237288,0.7524251233650553
437,BRA,CHL,0.01694915254237288,0.8103169769601754
1574,KOR,THA,0.01694915254237288,0.7888134934786376
1480,JPN,KOR,0.015335801163405606,0.8345326813326752
2066,SGP,ZWE,0.015335801163405606,0.7585845626743548
1914,PHL,PAK,0.013192612137203167,0.7275728964718458
622,CHE,ITA,0.013192612137203167,0.8311346275864586
2080,SVK,THA,0.012658227848101266,0.755806407013086
1757,MYS,THA,0.012658227848101266,0.7510678320479863
2103,THA,UKR,0.012124406958355299,0.7651022143141193
2130,UKR,UGA,0.011591148577449948,0.7759146105882133
1981,PRT,SEN,0.010526315789473684,0.7729702920991833
1091,FRA,PRT,0.009994739610731194,0.8589278203520626
1870,NZL,PHL,0.0068169900367068695,0.7792955539315681
1114,GBR,IRL,0.0068169900367068695,0.7369408042772889
2142,VEN,VNM,0.005762179151388162,0.6658102843359309
2125,TZA,UGA,0.005762179151388162,0.8051054487694032
1171,GHA,NAM,0.0041841004184100415,0.7810196962963131
2025,RUS,SWE,0.0036591740721380033,0.7097593047061069
1420,IND,PHL,0.003134796238244514,0.7259512531385894
2118,TWN,UKR,0.0026109660574412533,0.8485230297733984
2139,USA,VEN,0.0026109660574412533,0.6960860630022858
2144,VNM,ZWE,0.0010427528675703858,0.6174352925694294
