,c1,c2,jac,cos
5,ARG,BRA,0.30434782608695654,0.9472053142739046
233,BGD,ZWE,0.3016949152542373,0.9474174120822717
122,AUS,BRA,0.2749003984063745,0.9324530447020168
1244,IND,MYS,0.25736738703339884,0.9333758753934808
1581,NGA,PAK,0.25736738703339884,0.9435700395624631
1139,IDN,MYS,0.245136186770428,0.9368261498842225
1536,MYS,PAK,0.23552123552123552,0.9380531403074613
349,BRA,CHN,0.2260536398467433,0.9090528393097675
481,CAN,NGA,0.22527121888959795,0.9045444772121558
619,CHN,IND,0.21904761904761905,0.9282961235489742
1693,PAK,ZWE,0.1800860479409957,0.8974131276861478
104,AUT,ROU,0.16293155663234404,0.8481663282547786
1074,GRC,ROU,0.162227602905569,0.855779922236805
1106,HUN,NOR,0.1552346570397112,0.854799565008775
269,BEL,NOR,0.15176964607078583,0.8393063746442642
1027,GHA,NGA,0.1497005988023952,0.8361043708529218
1179,IRL,NOR,0.14695340501792115,0.8296585256823358
1599,NLD,NOR,0.14421930870083433,0.843626570253597
1669,PHL,THA,0.14149821640903687,0.8625340297925711
1632,NOR,THA,0.1394658753709199,0.8314003149836118
843,EGY,GHA,0.13744075829383887,0.8458823526312185
1757,SWE,TUR,0.13676731793960922,0.8247867543696984
1794,SEN,THA,0.1334120425029516,0.8278436891031149
1281,ITA,NOR,0.12742219612448621,0.8126225711558844
1569,NAM,THA,0.12609970674486803,0.8396869116333687
1767,SGP,THA,0.12478031634446397,0.8399523338163837
1730,ROU,SEN,0.12478031634446397,0.8202766343873498
411,BWA,GHA,0.12084063047285463,0.8411615604637787
334,BGR,SVN,0.11563044741429401,0.8307176348976155
1802,THA,TUR,0.1117544875506659,0.8361270722641191
1464,LVA,ROU,0.11046847888953153,0.8126557480115607
1409,LBN,ROU,0.11046847888953153,0.8075790172462615
1441,LTU,SVN,0.09339407744874716,0.8051371125621148
784,CZE,SVN,0.0865874363327674,0.8031743073107365
1777,SVN,THA,0.0835214446952596,0.7809530168434851
1390,KOR,TZA,0.07262569832402235,0.8640858881627647
1814,TUR,ZWE,0.05263157894736842,0.7229053014631371
1822,TZA,VEN,0.04404567699836868,0.8130205755111297
1815,TWN,TZA,0.041779706999457406,0.798083464583444
796,DEU,ETH,0.028387787895018748,0.9189125730629694
1829,VEN,ZWE,0.022364217252396165,0.766609335967455
1488,MAR,POL,0.021820117083555083,0.9553827438180936
507,CHE,CUB,0.02127659574468085,0.9021634717228604
1529,MEX,ZWE,0.020191285866099893,0.7587193287449299
732,CUB,POL,0.01856763925729443,0.938742926528352
1790,SVK,UKR,0.014799154334038054,0.7938616226011824
589,CHL,PRT,0.014263074484944533,0.7887273758505287
1742,SRB,SVK,0.011058451816745656,0.8251422500886852
1642,PER,POL,0.011058451816745656,0.9280604988450921
913,ETH,SRB,0.009994739610731194,0.8902484176561518
966,FRA,UGA,0.009994739610731194,0.7658918203150804
1705,POL,TZA,0.00946372239747634,0.7703234826872876
659,COL,FRA,0.008933263268523384,0.7828565647967445
1825,UKR,VEN,0.008403361344537815,0.7433849230887494
979,GBR,KOR,0.007874015748031496,0.654658431851147
1341,KEN,NAM,0.007345225603357817,0.7572821572683891
1326,JPN,THA,0.0068169900367068695,0.6549174505005635
1221,ISR,SRB,0.006289308176100629,0.8755083876277376
1828,UGA,ZWE,0.004709576138147566,0.6747297755601508
1720,PRT,TZA,0.004709576138147566,0.6525697157526482
