,c1,c2,jac,cos
124,AUS,CAN,0.22998078155028828,0.9443092506728045
1,ARG,AUS,0.21982210927573062,0.9347804835263751
60,AUT,AUS,0.2182741116751269,0.9350503371367447
467,CAN,IRL,0.15942028985507245,0.9163874787836941
1055,GRC,ITA,0.14695340501792115,0.8568707731653785
1041,GHA,SEN,0.1421772754312909,0.8583123497257167
1405,LBN,PHL,0.13676731793960922,0.8494274753399893
1627,NOR,SWE,0.1320754716981132,0.8512050944949534
365,BRA,ITA,0.1314083677077195,0.8744580969878644
1568,NAM,SEN,0.13074204946996468,0.8831633082067497
619,CHN,IND,0.12609970674486803,0.874645267427956
1165,IRL,IND,0.12412177985948478,0.8861932351312801
1669,PHL,THA,0.12149532710280374,0.863249437624981
235,BEL,BRA,0.119533527696793,0.8436197810823821
1287,ITA,ROU,0.119533527696793,0.862348873971042
854,EGY,LBN,0.11757857974388825,0.8283011695375343
1093,HUN,ITA,0.11563044741429401,0.8636947005333818
428,BWA,NAM,0.11498257839721254,0.8453077306280773
1251,IND,PAK,0.10662824207492795,0.8407258114313965
1686,PAK,THA,0.10344827586206896,0.8503308997439766
1731,ROU,THA,0.10344827586206896,0.8282198561152879
1757,SWE,TUR,0.09965635738831616,0.8238054872501286
1424,LTU,LVA,0.09839816933638444,0.8270757466317662
1802,THA,TUR,0.0958904109589041,0.8287736834495001
1139,IDN,MYS,0.09152927799886298,0.8301399988112662
305,BGR,GRC,0.09090909090909091,0.8069334775757981
1590,NGA,SEN,0.08967082860385925,0.8440332049306851
1464,LVA,ROU,0.08967082860385925,0.8251575493799986
1794,SEN,THA,0.08597285067873303,0.822530363707969
780,CZE,ROU,0.08597285067873303,0.8098299810283924
204,BGD,LBN,0.08413325804630152,0.802863255825767
1607,NLD,SWE,0.08108108108108109,0.8080586516714295
1546,MYS,THA,0.07623318385650224,0.8106811084162505
1767,SGP,THA,0.07142857142857142,0.7839928896588888
1778,SVN,TUR,0.06371191135734072,0.7695146983198426
1814,TUR,ZWE,0.04860731840524304,0.7517152807248925
1389,KOR,TWN,0.03783783783783784,0.8450969794441212
1823,TZA,ZWE,0.023454157782515993,0.7668725409653279
1819,TWN,ZWE,0.02290889717634523,0.751857372803005
1829,VEN,ZWE,0.015873015873015872,0.7734863105665257
1790,SVK,UKR,0.013192612137203167,0.7674942078060185
507,CHE,CUB,0.010526315789473684,0.8970824584206649
703,CUB,DEU,0.008933263268523384,0.8579740276231745
585,CHL,PER,0.008933263268523384,0.7773763972983858
796,DEU,ETH,0.008403361344537815,0.8949341054441857
1488,MAR,POL,0.007345225603357817,0.9492092236163984
1515,MEX,ROU,0.005762179151388162,0.7205779116209725
683,COL,PHL,0.005762179151388162,0.6753954006770857
1657,PER,VEN,0.005762179151388162,0.7744858262145653
906,ETH,NOR,0.005235602094240838,0.7103608253359731
1828,UGA,ZWE,0.005235602094240838,0.6795659000686851
1333,JPN,ZWE,0.004709576138147566,0.6978883231859384
953,FRA,PRT,0.004709576138147566,0.7532254791622724
1231,ISR,UKR,0.0041841004184100415,0.8254201627807848
1362,KEN,UGA,0.0041841004184100415,0.8086493297817959
1005,GBR,TZA,0.0041841004184100415,0.6784954783627106
1711,PRT,SRB,0.0036591740721380033,0.8361809228560352
1699,POL,SVN,0.0036591740721380033,0.7258538426825241
1825,UKR,VEN,0.003134796238244514,0.701211786084392
1748,SRB,UKR,0.0026109660574412533,0.7995699834037235
