,c1,c2,jac,cos
2292,THA,TWN,0.3953488372093023,0.9586783162766576
1526,IND,ITA,0.30434782608695654,0.9185004098288416
1394,HUN,UGA,0.29905277401894453,0.9125682092476962
877,CUB,KEN,0.23711340206185566,0.8921342616074943
1486,ISR,ITA,0.2229299363057325,0.8805291757741368
1717,LBN,LVA,0.20527306967984935,0.8908036348117181
19,ARE,GBR,0.17144600366076876,0.8136820727557252
751,CHN,CUB,0.17073170731707318,0.8641627847444279
710,CHL,ITA,0.170018281535649,0.8527123429208429
960,CZE,TZA,0.16293155663234404,0.833717420534282
83,ARG,EGY,0.1421772754312909,0.7977623497691139
1575,ITA,NAM,0.13744075829383887,0.8302564994736336
1213,GBR,USA,0.12941176470588237,0.7743873638362951
2255,SVN,SVK,0.12874779541446207,0.8770372289061814
1819,MAR,MYS,0.12808460634547592,0.8185806840516718
1914,NAM,NZL,0.12478031634446397,0.814558517319777
1810,LVA,TZA,0.11757857974388825,0.812378226290416
543,BWA,MAR,0.11046847888953153,0.7615782137690608
1240,GHA,PER,0.10982658959537572,0.822716439231951
1674,KEN,UGA,0.10726643598615918,0.7918233904547587
2319,TZA,UGA,0.09714285714285714,0.7570536153310018
1303,GRC,TZA,0.09464082098061574,0.7573978046704132
1030,EGY,IND,0.09401709401709402,0.7474395229194841
2185,SRB,TZA,0.09152927799886298,0.7499335899055234
2062,PER,TZA,0.0890527509926262,0.752764323191196
1903,MYS,TZA,0.08843537414965986,0.7625299486200117
135,AUT,AUS,0.08720271800679502,0.855137427176737
324,BGD,UGA,0.08413325804630152,0.7773506654882214
2335,UGA,ZWE,0.08229988726042842,0.773440313527457
355,BEL,KEN,0.08108108108108109,0.7675958463088075
2310,TWN,TZA,0.08047270680922904,0.7706341590588061
1326,HKG,NAM,0.07804604154969118,0.7598924496630175
2038,NZL,TZA,0.06371191135734072,0.7343728195042393
2085,PHL,TZA,0.05726872246696035,0.7344120709879032
1000,DEU,ROU,0.03170338527673294,0.778139974198426
2210,SAU,SWE,0.029490616621983913,0.7467067226073894
204,AUS,BRA,0.021820117083555083,0.7832641776924746
2339,USA,ZWE,0.02073365231259968,0.6356753621589463
393,BGR,BRA,0.020191285866099893,0.7622124939485019
2000,NOR,PRT,0.01694915254237288,0.7727885289704458
619,CAN,SWE,0.01641079936474325,0.7518814102343253
512,BRA,VEN,0.01641079936474325,0.7168693755624072
2287,SEN,VEN,0.015873015873015872,0.7700962905923747
847,COL,SVN,0.015873015873015872,0.7688923218794506
1086,ETH,LTU,0.015335801163405606,0.7490153995249375
1621,JPN,POL,0.015335801163405606,0.7437849871455672
2165,ROU,TUR,0.014799154334038054,0.7847880794288711
1988,NLD,UKR,0.014263074484944533,0.6969703419936284
1457,IRL,NLD,0.013727560718057022,0.6915245879794801
1769,LTU,SWE,0.013727560718057022,0.7337926387803733
1958,NGA,TUR,0.012124406958355299,0.8201318223149092
1874,MEX,UKR,0.011591148577449948,0.7472499128278061
2111,PAK,VEN,0.011591148577449948,0.7605353939919752
1415,IDN,NLD,0.010526315789473684,0.6869652695435147
1714,KOR,ZAF,0.010526315789473684,0.763790797971346
2268,SVK,SEN,0.009994739610731194,0.7777768898855839
2129,POL,UKR,0.009994739610731194,0.7267730477461171
680,CHE,SVK,0.00946372239747634,0.7757375055681744
1150,FRA,ROU,0.00946372239747634,0.8014247993840338
2231,SWE,TUR,0.00946372239747634,0.7492833003633772
2136,PRT,ROU,0.008933263268523384,0.7267155747111059
2303,TUR,UKR,0.007874015748031496,0.7521039373690294
2340,VEN,VNM,0.007345225603357817,0.6682087349115691
2325,UKR,UGA,0.0068169900367068695,0.625833951583836
2200,RUS,TUR,0.006289308176100629,0.8198136494157898
2244,SGP,THA,0.006289308176100629,0.6684689335336814
2345,ZAF,ZWE,0.005235602094240838,0.6658622847020511
2343,VNM,ZAF,0.003134796238244514,0.6819530982127351
