,c1,c2,jac,cos
2292,THA,TWN,0.20527306967984935,0.8774841771562154
1526,IND,ITA,0.14695340501792115,0.8461431985948241
2255,SVN,SVK,0.1254396248534584,0.9071173097921575
1271,GRC,ITA,0.1047180667433832,0.8087773330568847
1717,LBN,LVA,0.09839816933638444,0.7869815428167994
1394,HUN,UGA,0.09526525955504848,0.7922536895388754
960,CZE,TZA,0.09526525955504848,0.7744113488931873
874,CUB,IND,0.09464082098061574,0.779356723918723
695,CHL,CUB,0.09028960817717206,0.7442651585419466
1810,LVA,TZA,0.08535895986433013,0.7737355762977471
1903,MYS,TZA,0.0847457627118644,0.756684506708172
1597,ITA,TZA,0.08169014084507042,0.7769747910146286
1485,ISR,IND,0.08108108108108109,0.7908751848676349
1035,EGY,LBN,0.08108108108108109,0.7342474051996394
353,BEL,ITA,0.07502799552071669,0.7648761497120884
127,ARG,TZA,0.0738255033557047,0.7588773452902035
1259,GHA,UGA,0.06844741235392321,0.7029685652909587
2062,PER,TZA,0.06312292358803986,0.7053857532291129
765,CHN,IND,0.059018201875344733,0.750855284953037
135,AUT,AUS,0.05843439911797133,0.8296080253617147
1819,MAR,MYS,0.05843439911797133,0.7421619571182122
2319,TZA,UGA,0.05785123966942149,0.7154370732225738
2310,TWN,TZA,0.05726872246696035,0.7275917985804559
2185,SRB,TZA,0.056105610561056105,0.7291965829491907
1932,NAM,TZA,0.055525013743815285,0.7295568867760709
545,BWA,MYS,0.05263157894736842,0.7027890042733929
322,BGD,TZA,0.05032822757111598,0.7657073625836329
1644,KEN,LBN,0.04918032786885246,0.6998889881376318
1210,GBR,TZA,0.048034934497816595,0.7018678147807366
2085,PHL,TZA,0.03952355170546833,0.7201741191564411
2038,NZL,TZA,0.03727714748784441,0.7165973122501771
19,ARE,GBR,0.03615758229897464,0.7517990801629488
2335,UGA,ZWE,0.026737967914438502,0.6607848304863589
1973,NLD,POL,0.02454642475987193,0.8103989680381348
2210,SAU,SWE,0.022364217252396165,0.7868916191942511
2287,SEN,VEN,0.022364217252396165,0.853990376940259
2129,POL,UKR,0.02073365231259968,0.8183395472143021
619,CAN,SWE,0.020191285866099893,0.7772845950699044
2005,NOR,SWE,0.01910828025477707,0.7686165344652333
1347,HKG,TWN,0.01910828025477707,0.6688101941314734
402,BGR,DEU,0.018027571580063628,0.7806280177128277
1010,DEU,TUR,0.017488076311605722,0.7719119678224624
460,BRA,COL,0.017488076311605722,0.7563009052298518
829,COL,MEX,0.01694915254237288,0.7959111984221828
2303,TUR,UKR,0.015335801163405606,0.7768955505617514
2168,ROU,UKR,0.014263074484944533,0.7567654562619653
1621,JPN,POL,0.013727560718057022,0.7900580470964176
1457,IRL,NLD,0.013192612137203167,0.7930999866082088
1869,MEX,SEN,0.011058451816745656,0.7602145072265282
1778,LTU,UKR,0.010526315789473684,0.7710289785446268
2340,VEN,VNM,0.009994739610731194,0.8537532103994109
2228,SWE,SVK,0.009994739610731194,0.7744913757639073
2325,UKR,UGA,0.00946372239747634,0.656345099710674
223,AUS,IRL,0.00946372239747634,0.7767263556993609
1402,IDN,IND,0.00946372239747634,0.6799903286718918
2108,PAK,UKR,0.008933263268523384,0.7530973698439979
2144,PRT,SEN,0.008403361344537815,0.7512616001239135
2339,USA,ZWE,0.008403361344537815,0.5973619572859179
1941,NGA,NOR,0.008403361344537815,0.7571102976752329
1086,ETH,LTU,0.007874015748031496,0.7707458994768173
673,CHE,ROU,0.007874015748031496,0.7002680985323569
1150,FRA,ROU,0.007345225603357817,0.7534625890638055
2268,SVK,SEN,0.006289308176100629,0.7528862568145027
2345,ZAF,ZWE,0.005762179151388162,0.648928052408002
2203,RUS,UKR,0.0041841004184100415,0.8005450355692985
1692,KOR,PHL,0.0036591740721380033,0.6730202835804466
2252,SGP,VNM,0.0036591740721380033,0.7773691791269847
2344,VNM,ZWE,0.0010427528675703858,0.6657227889529069
