,c1,c2,jac,cos
0,ARE,ARG,0.012658227848101266,0.6805338151208411
1,ARE,AUT,0.0005211047420531526,0.6343131037439134
2,ARE,AUS,0.001564945226917058,0.593261831823726
3,ARE,BGD,0.0026109660574412533,0.6417875473106648
4,ARE,BEL,0.0005211047420531526,0.6153758578459293
5,ARE,BGR,0.0041841004184100415,0.6519166324867918
6,ARE,BRA,0.0020876826722338203,0.6456216890618559
7,ARE,BWA,0.0041841004184100415,0.6697311032666124
8,ARE,CAN,0.0020876826722338203,0.6548583131642176
9,ARE,CHE,0.001564945226917058,0.7033321020925749
10,ARE,CHL,0.0,0.6067073985465913
11,ARE,CHN,0.0010427528675703858,0.6766140842321545
12,ARE,COL,0.0010427528675703858,0.623967090848316
13,ARE,CUB,0.0020876826722338203,0.6778142437391804
14,ARE,CZE,0.003134796238244514,0.6455101582706612
15,ARE,DEU,0.001564945226917058,0.6241293124320111
16,ARE,EGY,0.0026109660574412533,0.6595110680025651
17,ARE,ETH,0.004709576138147566,0.705237493128376
18,ARE,FRA,0.0010427528675703858,0.6309007395065881
19,ARE,GHA,0.0020876826722338203,0.7123991356299894
20,ARE,GRC,0.001564945226917058,0.5973918067081293
21,ARE,HUN,0.0010427528675703858,0.6320697186526419
22,ARE,IDN,0.0068169900367068695,0.651099072381534
23,ARE,IRL,0.001564945226917058,0.6594588667111273
24,ARE,ISR,0.003134796238244514,0.6778162815287603
25,ARE,IND,0.001564945226917058,0.7348114312023784
26,ARE,ITA,0.0020876826722338203,0.6653971190119935
27,ARE,JPN,0.0005211047420531526,0.5906474896478969
28,ARE,KEN,0.003134796238244514,0.6363847763054715
29,ARE,KOR,0.003134796238244514,0.6450031065611705
30,ARE,LBN,0.0020876826722338203,0.6677066434616146
31,ARE,LTU,0.0026109660574412533,0.6498494455503819
32,ARE,LVA,0.0005211047420531526,0.6676365973184749
33,ARE,MAR,0.0036591740721380033,0.6590110035538129
34,ARE,MEX,0.003134796238244514,0.6684923667560937
35,ARE,MYS,0.0041841004184100415,0.6558912492958017
36,ARE,NAM,0.0010427528675703858,0.6050934584363428
37,ARE,NGA,0.004709576138147566,0.6704703740747877
38,ARE,NLD,0.0020876826722338203,0.6306996367539242
39,ARE,NOR,0.001564945226917058,0.6004973092242838
40,ARE,NZL,0.0026109660574412533,0.6709721393102046
41,ARE,PER,0.0020876826722338203,0.6465351364052173
42,ARE,PHL,0.004709576138147566,0.6667797906261649
43,ARE,PAK,0.0026109660574412533,0.6192886029068723
44,ARE,POL,0.0020876826722338203,0.6235156689921331
45,ARE,PRT,0.0026109660574412533,0.6344343756801418
46,ARE,ROU,0.0041841004184100415,0.647844575499605
47,ARE,SRB,0.001564945226917058,0.6634832345031377
48,ARE,RUS,0.0020876826722338203,0.7003105885337414
49,ARE,SAU,0.03559870550161812,0.7387646602409413
50,ARE,SWE,0.0,0.625539663410991
51,ARE,SGP,0.003134796238244514,0.631092278715124
52,ARE,SVN,0.001564945226917058,0.63749174451311
53,ARE,SVK,0.003134796238244514,0.6602718631553524
54,ARE,SEN,0.003134796238244514,0.6288498696443636
55,ARE,THA,0.0010427528675703858,0.6029422384424349
56,ARE,TUR,0.004709576138147566,0.6636306990829991
57,ARE,TWN,0.003134796238244514,0.6632398928151618
58,ARE,TZA,0.003134796238244514,0.5997112504607548
59,ARE,UKR,0.004709576138147566,0.7122379984090089
60,ARE,UGA,0.003134796238244514,0.6703227353553805
61,ARE,USA,0.12742219612448621,0.8971442630366951
62,ARE,VEN,0.0020876826722338203,0.6734684495763145
63,ARE,VNM,0.0068169900367068695,0.7029958414399503
64,ARE,ZAF,0.0026109660574412533,0.6340102171375005
65,ARE,ZWE,0.0010427528675703858,0.6133760124260127
66,ARG,AUT,0.00946372239747634,0.6781596981448009
67,ARG,AUS,0.005762179151388162,0.6391477260295471
68,ARG,BGD,0.001564945226917058,0.6150163291408668
69,ARG,BEL,0.007345225603357817,0.6605167811360702
70,ARG,BGR,0.0026109660574412533,0.6567964477237445
71,ARG,BRA,0.006289308176100629,0.7009060887307504
72,ARG,BWA,0.001564945226917058,0.6656128238428477
