,c1,c2,jac,cos
0,ARE,ARG,0.0,0.0
1,ARE,AUT,0.0,0.0
2,ARE,AUS,0.0,0.0
3,ARE,BGD,0.0,0.0
4,ARE,BEL,0.0,0.0
5,ARE,BGR,0.0,0.0
6,ARE,BRA,0.0,0.0
7,ARE,BWA,0.0,0.0
8,ARE,CAN,0.0,0.0
9,ARE,CHE,0.0,0.0
10,ARE,CHL,0.0,0.0
11,ARE,CHN,0.0,0.0
12,ARE,COL,0.0,0.0
13,ARE,CUB,0.0,0.0
14,ARE,CZE,0.0,0.0
15,ARE,DEU,0.0,0.0
16,ARE,EGY,0.0,0.0
17,ARE,ETH,0.0,0.0
18,ARE,FRA,0.0,0.0
19,ARE,GBR,0.0,0.0
20,ARE,GHA,0.0,0.0
21,ARE,GRC,0.0,0.0
22,ARE,HKG,0.0,0.0
23,ARE,HUN,0.0,0.0
24,ARE,IDN,0.0,0.0
25,ARE,IRL,0.0,0.0
26,ARE,ISR,0.0,0.0
27,ARE,IND,0.0,0.0
28,ARE,ITA,0.0,0.0
29,ARE,JPN,0.0,0.0
30,ARE,KEN,0.0,0.0
31,ARE,KOR,0.0,0.0
32,ARE,LBN,0.0,0.0
33,ARE,LTU,0.0,0.0
34,ARE,LVA,0.0,0.0
35,ARE,MAR,0.0,0.0
36,ARE,MEX,0.0,0.0
37,ARE,MYS,0.0,0.0
38,ARE,NAM,0.0,0.0
39,ARE,NGA,0.0,0.0
40,ARE,NLD,0.0,0.0
41,ARE,NOR,0.0,0.0
42,ARE,NZL,0.0,0.0
43,ARE,PER,0.0,0.0
44,ARE,PHL,0.0,0.0
45,ARE,PAK,0.0,0.0
46,ARE,POL,0.0,0.0
47,ARE,PRT,0.0,0.0
48,ARE,ROU,0.0,0.0
49,ARE,SRB,0.0,0.0
50,ARE,RUS,0.0,0.0
51,ARE,SAU,0.0,0.0
52,ARE,SWE,0.0,0.0
53,ARE,SGP,0.0,0.0
54,ARE,SVN,0.0,0.0
55,ARE,SVK,0.0,0.0
56,ARE,SEN,0.0,0.0
57,ARE,THA,0.0,0.0
58,ARE,TUR,0.0,0.0
59,ARE,TWN,0.0,0.0
60,ARE,TZA,0.0,0.0
61,ARE,UKR,0.0,0.0
62,ARE,UGA,0.0,0.0
63,ARE,USA,0.0,0.0
64,ARE,VEN,0.0,0.0
65,ARE,VNM,0.0,0.0
66,ARE,ZAF,0.0,0.0
67,ARE,ZWE,0.0,0.0
68,ARG,AUT,0.0,0.0
69,ARG,AUS,0.0,0.0
70,ARG,BGD,0.0,0.0
71,ARG,BEL,0.0,0.0
72,ARG,BGR,0.0,0.0
73,ARG,BRA,0.0,0.0
74,ARG,BWA,0.0,0.0
75,ARG,CAN,0.0,0.0
76,ARG,CHE,0.0,0.0
77,ARG,CHL,0.0,0.0
78,ARG,CHN,0.0,0.0
79,ARG,COL,0.0,0.0
80,ARG,CUB,0.0,0.0
81,ARG,CZE,0.0,0.0
82,ARG,DEU,0.0,0.0
83,ARG,EGY,0.0,0.0
84,ARG,ETH,0.0,0.0
85,ARG,FRA,0.0,0.0
86,ARG,GBR,0.0,0.0
87,ARG,GHA,0.0,0.0
88,ARG,GRC,0.0,0.0
89,ARG,HKG,0.0,0.0
90,ARG,HUN,0.0,0.0
91,ARG,IDN,0.0,0.0
92,ARG,IRL,0.0,0.0
93,ARG,ISR,0.0,0.0
94,ARG,IND,0.0,0.0
95,ARG,ITA,0.0,0.0
96,ARG,JPN,0.0,0.0
97,ARG,KEN,0.0,0.0
98,ARG,KOR,0.0,0.0
99,ARG,LBN,0.0,0.0
100,ARG,LTU,0.0,0.0
101,ARG,LVA,0.0,0.0
102,ARG,MAR,0.0,0.0
103,ARG,MEX,0.0,0.0
104,ARG,MYS,0.0,0.0
105,ARG,NAM,0.0,0.0
106,ARG,NGA,0.0,0.0
107,ARG,NLD,0.0,0.0
108,ARG,NOR,0.0,0.0
109,ARG,NZL,0.0,0.0
110,ARG,PER,0.0,0.0
111,ARG,PHL,0.0,0.0
112,ARG,PAK,0.0,0.0
113,ARG,POL,0.0,0.0
114,ARG,PRT,0.0,0.0
115,ARG,ROU,0.0,0.0
116,ARG,SRB,0.0,0.0
117,ARG,RUS,0.0,0.0
118,ARG,SAU,0.0,0.0
119,ARG,SWE,0.0,0.0
120,ARG,SGP,0.0,0.0
121,ARG,SVN,0.0,0.0
122,ARG,SVK,0.0,0.0
123,ARG,SEN,0.0,0.0
124,ARG,THA,0.0,0.0
125,ARG,TUR,0.0,0.0
126,ARG,TWN,0.0,0.0
127,ARG,TZA,0.0,0.0
128,ARG,UKR,0.0,0.0
129,ARG,UGA,0.0,0.0
130,ARG,USA,0.0,0.0
131,ARG,VEN,0.0,0.0
132,ARG,VNM,0.0,0.0
133,ARG,ZAF,0.0,0.0
134,ARG,ZWE,0.0,0.0
135,AUT,AUS,0.0,0.0
136,AUT,BGD,0.0,0.0
137,AUT,BEL,0.0,0.0
138,AUT,BGR,0.0,0.0
139,AUT,BRA,0.0026109660574412533,0.6322962311345743
140,AUT,BWA,0.00946372239747634,0.5998229947848549
141,AUT,CAN,0.0020876826722338203,0.5585729335472636
142,AUT,CHE,0.0,0.0
143,AUT,CHL,0.0036591740721380033,0.6787110614555035
144,AUT,CHN,0.0,0.0
145,AUT,COL,0.0,0.0
146,AUT,CUB,0.0,0.0
147,AUT,CZE,0.0,0.0
148,AUT,DEU,0.005762179151388162,0.7413798259734252
149,AUT,EGY,0.0,0.0
150,AUT,ETH,0.0,0.0
151,AUT,FRA,0.0,0.0
152,AUT,GBR,0.0,0.0
153,AUT,GHA,0.0,0.0
154,AUT,GRC,0.0041841004184100415,0.6761245169134047
155,AUT,HKG,0.0,0.0
156,AUT,HUN,0.005762179151388162,0.7826087697355832
157,AUT,IDN,0.0,0.0
158,AUT,IRL,0.006289308176100629,0.5901352952612691
159,AUT,ISR,0.006289308176100629,0.6053949524418039
160,AUT,IND,0.0,0.0
161,AUT,ITA,0.0,0.0
162,AUT,JPN,0.004709576138147566,0.5812066533957883
163,AUT,KEN,0.0041841004184100415,0.5767994005796362
164,AUT,KOR,0.004709576138147566,0.5688720768461962
165,AUT,LBN,0.0,0.0
166,AUT,LTU,0.0,0.0
167,AUT,LVA,0.0,0.0
168,AUT,MAR,0.0,0.0
169,AUT,MEX,0.0041841004184100415,0.6895046175476668
170,AUT,MYS,0.0,0.0
171,AUT,NAM,0.0,0.0
172,AUT,NGA,0.0,0.0
173,AUT,NLD,0.003134796238244514,0.7002485371009209
174,AUT,NOR,0.006289308176100629,0.773431147889738
175,AUT,NZL,0.0,0.0
176,AUT,PER,0.0,0.0
177,AUT,PHL,0.0,0.0
178,AUT,PAK,0.0036591740721380033,0.6952524936052841
179,AUT,POL,0.0026109660574412533,0.5221955099414877
180,AUT,PRT,0.0,0.0
181,AUT,ROU,0.0,0.0
182,AUT,SRB,0.0,0.0
183,AUT,RUS,0.006289308176100629,0.6132302018077366
184,AUT,SAU,0.0036591740721380033,0.6682990292214495
185,AUT,SWE,0.0,0.0
186,AUT,SGP,0.001564945226917058,0.6070810155872371
187,AUT,SVN,0.0020876826722338203,0.8035601396453802
188,AUT,SVK,0.006289308176100629,0.6027429974468782
189,AUT,SEN,0.0,0.0
190,AUT,THA,0.0,0.0
191,AUT,TUR,0.0,0.0
192,AUT,TWN,0.005235602094240838,0.6000796270268229
193,AUT,TZA,0.0,0.0
194,AUT,UKR,0.0036591740721380033,0.627471774366812
195,AUT,UGA,0.0,0.0
196,AUT,USA,0.0,0.0
197,AUT,VEN,0.007874015748031496,0.6021187488848571
198,AUT,VNM,0.005235602094240838,0.7659345023928464
199,AUT,ZAF,0.004709576138147566,0.6845501587510568
200,AUT,ZWE,0.003134796238244514,0.5780708335677216
201,AUS,BGD,0.0,0.0
202,AUS,BEL,0.0,0.0
203,AUS,BGR,0.0,0.0
204,AUS,BRA,0.0,0.0
205,AUS,BWA,0.0,0.0
206,AUS,CAN,0.0,0.0
207,AUS,CHE,0.0,0.0
208,AUS,CHL,0.0,0.0
209,AUS,CHN,0.0,0.0
210,AUS,COL,0.0,0.0
211,AUS,CUB,0.0,0.0
212,AUS,CZE,0.0,0.0
213,AUS,DEU,0.0,0.0
214,AUS,EGY,0.0,0.0
215,AUS,ETH,0.0,0.0
216,AUS,FRA,0.0,0.0
217,AUS,GBR,0.0,0.0
218,AUS,GHA,0.0,0.0
219,AUS,GRC,0.0,0.0
220,AUS,HKG,0.0,0.0
221,AUS,HUN,0.0,0.0
222,AUS,IDN,0.0,0.0
223,AUS,IRL,0.0,0.0
224,AUS,ISR,0.0,0.0
225,AUS,IND,0.0,0.0
226,AUS,ITA,0.0,0.0
227,AUS,JPN,0.0,0.0
228,AUS,KEN,0.0,0.0
229,AUS,KOR,0.0,0.0
230,AUS,LBN,0.0,0.0
231,AUS,LTU,0.0,0.0
232,AUS,LVA,0.0,0.0
233,AUS,MAR,0.0,0.0
234,AUS,MEX,0.0,0.0
235,AUS,MYS,0.0,0.0
236,AUS,NAM,0.0,0.0
237,AUS,NGA,0.0,0.0
238,AUS,NLD,0.0,0.0
239,AUS,NOR,0.0,0.0
240,AUS,NZL,0.0,0.0
241,AUS,PER,0.0,0.0
242,AUS,PHL,0.0,0.0
243,AUS,PAK,0.0,0.0
244,AUS,POL,0.0,0.0
245,AUS,PRT,0.0,0.0
246,AUS,ROU,0.0,0.0
247,AUS,SRB,0.0,0.0
248,AUS,RUS,0.0,0.0
249,AUS,SAU,0.0,0.0
250,AUS,SWE,0.0,0.0
251,AUS,SGP,0.0,0.0
252,AUS,SVN,0.0,0.0
253,AUS,SVK,0.0,0.0
254,AUS,SEN,0.0,0.0
255,AUS,THA,0.0,0.0
256,AUS,TUR,0.0,0.0
257,AUS,TWN,0.0,0.0
258,AUS,TZA,0.0,0.0
259,AUS,UKR,0.0,0.0
260,AUS,UGA,0.0,0.0
261,AUS,USA,0.0,0.0
262,AUS,VEN,0.0,0.0
263,AUS,VNM,0.0,0.0
264,AUS,ZAF,0.0,0.0
265,AUS,ZWE,0.0,0.0
266,BGD,BEL,0.0,0.0
267,BGD,BGR,0.0,0.0
268,BGD,BRA,0.0,0.0
269,BGD,BWA,0.0,0.0
270,BGD,CAN,0.0,0.0
271,BGD,CHE,0.0,0.0
272,BGD,CHL,0.0,0.0
273,BGD,CHN,0.0,0.0
274,BGD,COL,0.0,0.0
275,BGD,CUB,0.0,0.0
276,BGD,CZE,0.0,0.0
277,BGD,DEU,0.0,0.0
278,BGD,EGY,0.0,0.0
279,BGD,ETH,0.0,0.0
280,BGD,FRA,0.0,0.0
281,BGD,GBR,0.0,0.0
282,BGD,GHA,0.0,0.0
283,BGD,GRC,0.0,0.0
284,BGD,HKG,0.0,0.0
285,BGD,HUN,0.0,0.0
286,BGD,IDN,0.0,0.0
287,BGD,IRL,0.0,0.0
288,BGD,ISR,0.0,0.0
289,BGD,IND,0.0,0.0
290,BGD,ITA,0.0,0.0
291,BGD,JPN,0.0,0.0
292,BGD,KEN,0.0,0.0
293,BGD,KOR,0.0,0.0
294,BGD,LBN,0.0,0.0
295,BGD,LTU,0.0,0.0
296,BGD,LVA,0.0,0.0
297,BGD,MAR,0.0,0.0
298,BGD,MEX,0.0,0.0
299,BGD,MYS,0.0,0.0
300,BGD,NAM,0.0,0.0
301,BGD,NGA,0.0,0.0
302,BGD,NLD,0.0,0.0
303,BGD,NOR,0.0,0.0
304,BGD,NZL,0.0,0.0
305,BGD,PER,0.0,0.0
306,BGD,PHL,0.0,0.0
307,BGD,PAK,0.0,0.0
308,BGD,POL,0.0,0.0
309,BGD,PRT,0.0,0.0
310,BGD,ROU,0.0,0.0
311,BGD,SRB,0.0,0.0
312,BGD,RUS,0.0,0.0
313,BGD,SAU,0.0,0.0
314,BGD,SWE,0.0,0.0
315,BGD,SGP,0.0,0.0
316,BGD,SVN,0.0,0.0
317,BGD,SVK,0.0,0.0
318,BGD,SEN,0.0,0.0
319,BGD,THA,0.0,0.0
320,BGD,TUR,0.0,0.0
321,BGD,TWN,0.0,0.0
322,BGD,TZA,0.0,0.0
323,BGD,UKR,0.0,0.0
324,BGD,UGA,0.0,0.0
325,BGD,USA,0.0,0.0
326,BGD,VEN,0.0,0.0
327,BGD,VNM,0.0,0.0
328,BGD,ZAF,0.0,0.0
329,BGD,ZWE,0.0,0.0
330,BEL,BGR,0.0,0.0
331,BEL,BRA,0.0,0.0
332,BEL,BWA,0.0,0.0
333,BEL,CAN,0.0,0.0
334,BEL,CHE,0.0,0.0
335,BEL,CHL,0.0,0.0
336,BEL,CHN,0.0,0.0
337,BEL,COL,0.0,0.0
338,BEL,CUB,0.0,0.0
339,BEL,CZE,0.0,0.0
340,BEL,DEU,0.0,0.0
341,BEL,EGY,0.0,0.0
342,BEL,ETH,0.0,0.0
343,BEL,FRA,0.0,0.0
344,BEL,GBR,0.0,0.0
345,BEL,GHA,0.0,0.0
346,BEL,GRC,0.0,0.0
347,BEL,HKG,0.0,0.0
348,BEL,HUN,0.0,0.0
349,BEL,IDN,0.0,0.0
350,BEL,IRL,0.0,0.0
351,BEL,ISR,0.0,0.0
352,BEL,IND,0.0,0.0
353,BEL,ITA,0.0,0.0
354,BEL,JPN,0.0,0.0
355,BEL,KEN,0.0,0.0
356,BEL,KOR,0.0,0.0
357,BEL,LBN,0.0,0.0
358,BEL,LTU,0.0,0.0
359,BEL,LVA,0.0,0.0
360,BEL,MAR,0.0,0.0
361,BEL,MEX,0.0,0.0
362,BEL,MYS,0.0,0.0
363,BEL,NAM,0.0,0.0
364,BEL,NGA,0.0,0.0
365,BEL,NLD,0.0,0.0
366,BEL,NOR,0.0,0.0
367,BEL,NZL,0.0,0.0
368,BEL,PER,0.0,0.0
369,BEL,PHL,0.0,0.0
370,BEL,PAK,0.0,0.0
371,BEL,POL,0.0,0.0
372,BEL,PRT,0.0,0.0
373,BEL,ROU,0.0,0.0
374,BEL,SRB,0.0,0.0
375,BEL,RUS,0.0,0.0
