,c1,c2,jac,cos
1634,JPN,TWN,0.23711340206185566,0.9260838068566983
1662,KEN,RUS,0.23631680618158404,0.9188274121811782
2203,RUS,UKR,0.1657559198542805,0.906125780245391
1508,ISR,RUS,0.10854503464203233,0.8693585186374333
538,BWA,KEN,0.10218140068886337,0.8325838264848803
2327,UKR,VEN,0.06312292358803986,0.824969103416441
2311,TWN,UKR,0.048034934497816595,0.7637770441845418
1707,KOR,TWN,0.04234527687296417,0.7634854404543008
1007,DEU,SVK,0.01856763925729443,0.8464065054850586
1268,GRC,IRL,0.01694915254237288,0.8111973050489635
1878,MEX,VNM,0.014263074484944533,0.8567989767041827
1383,HUN,SAU,0.012658227848101266,0.8438722352311819
723,CHL,NOR,0.012658227848101266,0.7625979671738846
1470,IRL,SGP,0.010526315789473684,0.6590651365477496
2340,VEN,VNM,0.010526315789473684,0.7066735166523339
2108,PAK,UKR,0.009994739610731194,0.7316174161180896
463,BRA,DEU,0.009994739610731194,0.8137081048843955
2278,SVK,ZAF,0.009994739610731194,0.7006104592856837
140,AUT,BWA,0.00946372239747634,0.5998229947848549
2004,NOR,SAU,0.007345225603357817,0.7948475539992828
1988,NLD,UKR,0.007345225603357817,0.763205015451045
2123,POL,SVK,0.0068169900367068695,0.6144083590383298
621,CAN,SVN,0.0068169900367068695,0.7736540183853031
2264,SVN,VEN,0.005762179151388162,0.7699681584204793
2253,SGP,ZAF,0.005235602094240838,0.6919943171520946
2219,SAU,UKR,0.004709576138147566,0.6831139498148867
2345,ZAF,ZWE,0.0036591740721380033,0.6553039955454754
2344,VNM,ZWE,0.0026109660574412533,0.6558494107550321
1718,LBN,MAR,0.0,0.0
1255,GHA,TUR,0.0,0.0
1604,ITA,ZWE,0.0,0.0
1314,HKG,ISR,0.0,0.0
1442,IDN,ZWE,0.0,0.0
1561,IND,USA,0.0,0.0
1821,MAR,NGA,0.0,0.0
2082,PHL,THA,0.0,0.0
2136,PRT,ROU,0.0,0.0
2165,ROU,TUR,0.0,0.0
2035,NZL,THA,0.0,0.0
2048,PER,POL,0.0,0.0
2286,SEN,USA,0.0,0.0
2299,THA,ZAF,0.0,0.0
2301,TUR,TWN,0.0,0.0
2339,USA,ZWE,0.0,0.0
2335,UGA,ZWE,0.0,0.0
2324,TZA,ZWE,0.0,0.0
2184,SRB,TWN,0.0,0.0
2240,SWE,ZWE,0.0,0.0
1806,LVA,SEN,0.0,0.0
1756,LTU,NGA,0.0,0.0
1946,NGA,POL,0.0,0.0
1939,NAM,ZWE,0.0,0.0
1898,MYS,SVK,0.0,0.0
0,ARE,ARG,0.0,0.0
396,BGR,CHE,0.0,0.0
390,BEL,VNM,0.0,0.0
653,CHE,ITA,0.0,0.0
327,BGD,VNM,0.0,0.0
93,ARG,ISR,0.0,0.0
258,AUS,TZA,0.0,0.0
1068,EGY,VNM,0.0,0.0
1071,ETH,FRA,0.0,0.0
967,CZE,ZWE,0.0,0.0
1205,GBR,SVK,0.0,0.0
1129,FRA,IND,0.0,0.0
771,CHN,LTU,0.0,0.0
814,COL,GRC,0.0,0.0
908,CUB,UKR,0.0,0.0
