,c1,c2,jac,cos
935,CZE,MAR,0.11757857974388825,0.8516469017978359
390,BEL,VNM,0.1169284467713787,0.8310326439286477
2340,VEN,VNM,0.10854503464203233,0.7552260987721401
135,AUT,AUS,0.10535405872193437,0.8584860455719953
1911,NAM,NGA,0.10281447443997703,0.8485076613747076
1818,MAR,MEX,0.09965635738831616,0.8253621904535734
1323,HKG,MAR,0.09839816933638444,0.8220257182734647
1459,IRL,NZL,0.09277177006260671,0.8312700378602746
1402,IDN,IND,0.09152927799886298,0.8724566762855037
2255,SVN,SVK,0.0890527509926262,0.7390782533165776
2325,UKR,UGA,0.08108108108108109,0.7555127903147304
677,CHE,SWE,0.0738255033557047,0.775050344298622
2105,PAK,TUR,0.0738255033557047,0.7895152261218696
1764,LTU,PRT,0.07322526551145891,0.7361368351178624
2005,NOR,SWE,0.07262569832402235,0.7944705310206863
2313,TWN,USA,0.06904231625835189,0.8710497886066283
468,BRA,GHA,0.067853170189099,0.8340644070975674
2141,PRT,SGP,0.06253458771444383,0.7890320365625767
84,ARG,ETH,0.06135986733001658,0.7808204606554955
828,COL,MAR,0.06135986733001658,0.7654119843387086
2240,SWE,ZWE,0.06077348066298342,0.715194262186665
2203,RUS,UKR,0.059602649006622516,0.9007460949348236
2167,ROU,TZA,0.056686846450192625,0.7826169600639625
2181,SRB,SEN,0.05263157894736842,0.7268576985700119
2270,SVK,TUR,0.05147864184008762,0.6941970071126959
2287,SEN,VEN,0.04918032786885246,0.690698643352235
1969,NLD,NZL,0.04632152588555858,0.7497414195608516
757,CHN,GBR,0.04632152588555858,0.8256083673896304
1213,GBR,USA,0.04404567699836868,0.8141453033870981
879,CUB,LBN,0.042911461162411735,0.769087202023555
1799,LVA,SRB,0.04234527687296417,0.7422044467399113
208,AUS,CHL,0.04121475054229935,0.784218110109027
1168,FRA,ZAF,0.03952355170546833,0.741292200114363
286,BGD,IDN,0.0367170626349892,0.7281965617312988
719,CHL,MYS,0.03504043126684636,0.7515860746954949
1594,ITA,THA,0.03504043126684636,0.7365206434726439
1522,ISR,VEN,0.0328133405056482,0.7094324686305534
415,BGR,ITA,0.03225806451612903,0.7541872908468567
25,ARE,IRL,0.03170338527673294,0.728370790506669
1738,LBN,SVK,0.03170338527673294,0.689750998825377
1862,MEX,SRB,0.030595813204508857,0.7128684838136846
2115,POL,PRT,0.029490616621983913,0.7250695376109586
1113,ETH,TZA,0.025093432995194873,0.7459371251464929
1707,KOR,TWN,0.02454642475987193,0.7541857945446165
1893,MYS,RUS,0.021820117083555083,0.7500943216771344
2024,NZL,POL,0.01964949548592671,0.712722776225178
2296,THA,USA,0.01910828025477707,0.7360370207992332
1960,NGA,TZA,0.018027571580063628,0.7528697867620497
1269,GRC,ISR,0.018027571580063628,0.7257613117207855
1068,EGY,VNM,0.017488076311605722,0.7314983809441549
2218,SAU,TZA,0.01694915254237288,0.7040672769476778
1258,GHA,UKR,0.013727560718057022,0.760485370751221
587,CAN,GHA,0.013192612137203167,0.8033310225737359
2050,PER,ROU,0.012658227848101266,0.6734982490136809
528,BWA,GHA,0.012658227848101266,0.6939828725310804
977,DEU,IRL,0.010526315789473684,0.7431903273525599
2323,TZA,ZAF,0.010526315789473684,0.7249415772163857
2343,VNM,ZAF,0.010526315789473684,0.6422445588338891
2091,PHL,ZAF,0.009994739610731194,0.695082334626858
1647,KEN,MAR,0.008933263268523384,0.6719062363192115
1360,HUN,ITA,0.007874015748031496,0.6917411421303575
1554,IND,SEN,0.007345225603357817,0.7600028226688047
1616,JPN,NOR,0.007345225603357817,0.6775561876558966
2252,SGP,VNM,0.0068169900367068695,0.6804709045491335
2303,TUR,UKR,0.006289308176100629,0.6813426793130671
2335,UGA,ZWE,0.006289308176100629,0.6133058908089039
2338,USA,ZAF,0.005762179151388162,0.7275191264201627
2345,ZAF,ZWE,0.005235602094240838,0.6383071870357574
