,c1,c2,jac,cos
0,ARE,ARG,0.005235602094240838,0.6499564025738058
1,ARE,AUT,0.0036591740721380033,0.6868569061955433
2,ARE,AUS,0.0036591740721380033,0.6426816151031209
3,ARE,BGD,0.008403361344537815,0.6852489772567321
4,ARE,BEL,0.0020876826722338203,0.6638206912342663
5,ARE,BGR,0.0036591740721380033,0.6894817248867856
6,ARE,BRA,0.003134796238244514,0.6807921312425906
7,ARE,BWA,0.0036591740721380033,0.6133839535370464
8,ARE,CAN,0.005762179151388162,0.7214239787856249
9,ARE,CHE,0.0036591740721380033,0.6554502201503751
10,ARE,CHL,0.0041841004184100415,0.6928976182308214
11,ARE,CHN,0.003134796238244514,0.6859582297791486
12,ARE,COL,0.0026109660574412533,0.6183337784191769
13,ARE,CUB,0.003134796238244514,0.6424377157671386
14,ARE,CZE,0.004709576138147566,0.6956701432404008
15,ARE,DEU,0.0010427528675703858,0.7208763672375027
16,ARE,EGY,0.011591148577449948,0.7012261198681071
17,ARE,ETH,0.004709576138147566,0.6773602696969218
18,ARE,FRA,0.0041841004184100415,0.743715521100014
19,ARE,GBR,0.0036591740721380033,0.7453173450738856
20,ARE,GHA,0.0041841004184100415,0.7100839145195256
21,ARE,GRC,0.005235602094240838,0.7308043599991673
22,ARE,HKG,0.0041841004184100415,0.6316406156871706
23,ARE,HUN,0.006289308176100629,0.6736566428019346
24,ARE,IDN,0.005235602094240838,0.7132368124788049
25,ARE,IRL,0.0068169900367068695,0.6911849500875622
26,ARE,ISR,0.008403361344537815,0.7017703192406899
27,ARE,IND,0.006289308176100629,0.7581722108200205
28,ARE,ITA,0.0020876826722338203,0.6704138218682898
29,ARE,JPN,0.0026109660574412533,0.7156541110086951
30,ARE,KEN,0.0036591740721380033,0.6788058423525372
31,ARE,KOR,0.0,0.6133907485528172
32,ARE,LBN,0.014263074484944533,0.7114857345392628
33,ARE,LTU,0.005235602094240838,0.6396619667887665
34,ARE,LVA,0.003134796238244514,0.6914825474228952
35,ARE,MAR,0.011591148577449948,0.6601531836988039
36,ARE,MEX,0.0020876826722338203,0.6350671216987912
37,ARE,MYS,0.0068169900367068695,0.7091463627806202
38,ARE,NAM,0.014263074484944533,0.6884643607314176
39,ARE,NGA,0.005762179151388162,0.6896773648565787
40,ARE,NLD,0.001564945226917058,0.6512019671507824
41,ARE,NOR,0.003134796238244514,0.6671576555026805
42,ARE,NZL,0.0036591740721380033,0.6799311966219008
43,ARE,PER,0.0036591740721380033,0.6628237267098493
44,ARE,PHL,0.006289308176100629,0.6613880318537297
45,ARE,PAK,0.0041841004184100415,0.6539582046791859
46,ARE,POL,0.006289308176100629,0.7127224058567561
47,ARE,PRT,0.001564945226917058,0.6546864129641858
48,ARE,ROU,0.007874015748031496,0.675334645326264
49,ARE,SRB,0.0026109660574412533,0.6663066712754913
50,ARE,RUS,0.008933263268523384,0.7172224683638508
51,ARE,SAU,0.02454642475987193,0.7453332983069403
52,ARE,SWE,0.003134796238244514,0.6418327805730383
53,ARE,SGP,0.005762179151388162,0.6645548411435256
54,ARE,SVN,0.0036591740721380033,0.6498300207891584
55,ARE,SVK,0.003134796238244514,0.6194322985461949
56,ARE,SEN,0.003134796238244514,0.6771776965074049
57,ARE,THA,0.006289308176100629,0.6932210885559785
58,ARE,TUR,0.013727560718057022,0.7343867056550288
59,ARE,TWN,0.001564945226917058,0.6454173092709358
60,ARE,TZA,0.0026109660574412533,0.6471378206376148
61,ARE,UKR,0.008403361344537815,0.6610419154791252
62,ARE,UGA,0.003134796238244514,0.6653381571894528
63,ARE,USA,0.004709576138147566,0.7397221164288692
64,ARE,VEN,0.006289308176100629,0.627194514807364
65,ARE,VNM,0.005762179151388162,0.6590096497098004
66,ARE,ZAF,0.0020876826722338203,0.6669450538335927
67,ARE,ZWE,0.003134796238244514,0.61060828282567
68,ARG,AUT,0.008933263268523384,0.7434359121847943
69,ARG,AUS,0.006289308176100629,0.6675685705766798
70,ARG,BGD,0.0068169900367068695,0.663314003774525
71,ARG,BEL,0.013192612137203167,0.7353432654257938
72,ARG,BGR,0.003134796238244514,0.6854410400329627
73,ARG,BRA,0.014263074484944533,0.7371723225386138
74,ARG,BWA,0.0041841004184100415,0.6307560071649496
75,ARG,CAN,0.004709576138147566,0.7167150723031017
76,ARG,CHE,0.0036591740721380033,0.6728898069197002
77,ARG,CHL,0.011058451816745656,0.7384535453240777
78,ARG,CHN,0.0010427528675703858,0.6455434987363077
79,ARG,COL,0.012124406958355299,0.6719475095952269
80,ARG,CUB,0.009994739610731194,0.6892229028637412
81,ARG,CZE,0.006289308176100629,0.6911420062406421
82,ARG,DEU,0.003134796238244514,0.6818469372026704
83,ARG,EGY,0.003134796238244514,0.6738519995098875
84,ARG,ETH,0.009994739610731194,0.7212280873109896
85,ARG,FRA,0.007874015748031496,0.7755295734924849
86,ARG,GBR,0.0005211047420531526,0.740936991305224
87,ARG,GHA,0.0036591740721380033,0.7173715599193657
88,ARG,GRC,0.004709576138147566,0.7428641525329451
89,ARG,HKG,0.0020876826722338203,0.6297830327788436
90,ARG,HUN,0.018027571580063628,0.7100742894289785
91,ARG,IDN,0.008403361344537815,0.6937750123549992
92,ARG,IRL,0.006289308176100629,0.6786627137778894
93,ARG,ISR,0.003134796238244514,0.6500418314401455
94,ARG,IND,0.0041841004184100415,0.724711232553554
95,ARG,ITA,0.008933263268523384,0.7280285312741073
96,ARG,JPN,0.0005211047420531526,0.6896064991797801
97,ARG,KEN,0.0026109660574412533,0.6844577648863566
98,ARG,KOR,0.0,0.6857652550591501
99,ARG,LBN,0.003134796238244514,0.6400592859262723
100,ARG,LTU,0.0041841004184100415,0.6605037617793426
101,ARG,LVA,0.005235602094240838,0.7108103472917454
102,ARG,MAR,0.0026109660574412533,0.6515074494128814
103,ARG,MEX,0.012124406958355299,0.6737553006492196
104,ARG,MYS,0.005235602094240838,0.6799701807641938
105,ARG,NAM,0.005762179151388162,0.6447745369410518
106,ARG,NGA,0.003134796238244514,0.6764929213885058
107,ARG,NLD,0.004709576138147566,0.6722545080235949
108,ARG,NOR,0.010526315789473684,0.7068465293111361
109,ARG,NZL,0.0036591740721380033,0.674934249588051
110,ARG,PER,0.011591148577449948,0.7136712789719667
111,ARG,PHL,0.0036591740721380033,0.6480371824007224
112,ARG,PAK,0.001564945226917058,0.668836917434057
113,ARG,POL,0.008933263268523384,0.6918486270944536
114,ARG,PRT,0.015873015873015872,0.7419941938521425
115,ARG,ROU,0.007345225603357817,0.6878769865486475
116,ARG,SRB,0.0068169900367068695,0.7085810199110825
117,ARG,RUS,0.006289308176100629,0.7012625429751049
118,ARG,SAU,0.005762179151388162,0.6440435670856006
119,ARG,SWE,0.004709576138147566,0.6525502988207849
120,ARG,SGP,0.0041841004184100415,0.6502310474631529
121,ARG,SVN,0.004709576138147566,0.687812815100733
122,ARG,SVK,0.005235602094240838,0.6427494271492797
123,ARG,SEN,0.0010427528675703858,0.6851764221156752
124,ARG,THA,0.0026109660574412533,0.6696516383609181
125,ARG,TUR,0.0041841004184100415,0.6976224416629131
126,ARG,TWN,0.0026109660574412533,0.6249282358218586
127,ARG,TZA,0.0026109660574412533,0.6601579742570376
128,ARG,UKR,0.003134796238244514,0.627162617385116
129,ARG,UGA,0.005762179151388162,0.6684352005869344
130,ARG,USA,0.003134796238244514,0.7311075674166297
131,ARG,VEN,0.01641079936474325,0.6954195156930434
132,ARG,VNM,0.0041841004184100415,0.6515077690402425
133,ARG,ZAF,0.0041841004184100415,0.6721084794513339
134,ARG,ZWE,0.003134796238244514,0.6481578065282616
135,AUT,AUS,0.02564102564102564,0.780906601719261
136,AUT,BGD,0.004709576138147566,0.6762493764399498
137,AUT,BEL,0.010526315789473684,0.7776788384154252
138,AUT,BGR,0.01856763925729443,0.7812241533540732
139,AUT,BRA,0.0036591740721380033,0.7251361252978633
140,AUT,BWA,0.0026109660574412533,0.6829994893488031
141,AUT,CAN,0.007874015748031496,0.7586407185256255
142,AUT,CHE,0.026737967914438502,0.7943059018208793
143,AUT,CHL,0.012658227848101266,0.7966910125462777
144,AUT,CHN,0.0010427528675703858,0.6512214646003597
145,AUT,COL,0.006289308176100629,0.704748359693772
146,AUT,CUB,0.0036591740721380033,0.7360757815049178
147,AUT,CZE,0.02127659574468085,0.7892840787231488
148,AUT,DEU,0.02127659574468085,0.7766899414733606
149,AUT,EGY,0.007345225603357817,0.7448024934278039
150,AUT,ETH,0.005762179151388162,0.7337987574563136
151,AUT,FRA,0.023454157782515993,0.8522756522586091
152,AUT,GBR,0.004709576138147566,0.7691478310545746
153,AUT,GHA,0.001564945226917058,0.7651966514016665
154,AUT,GRC,0.007345225603357817,0.7890609129682621
155,AUT,HKG,0.001564945226917058,0.6678288989685381
156,AUT,HUN,0.012658227848101266,0.7614432586297563
157,AUT,IDN,0.007345225603357817,0.7285432574334233
158,AUT,IRL,0.003134796238244514,0.7293682561571831
159,AUT,ISR,0.005762179151388162,0.7123839628191254
160,AUT,IND,0.0041841004184100415,0.7553821490902959
161,AUT,ITA,0.01910828025477707,0.8186567841873543
162,AUT,JPN,0.0020876826722338203,0.7233893535366825
163,AUT,KEN,0.006289308176100629,0.7057257565846036
164,AUT,KOR,0.003134796238244514,0.7823119539654975
165,AUT,LBN,0.005235602094240838,0.7007581847467088
166,AUT,LTU,0.004709576138147566,0.7286722163276791
167,AUT,LVA,0.027287319422150885,0.8345042417271314
168,AUT,MAR,0.004709576138147566,0.7330293502202339
169,AUT,MEX,0.0010427528675703858,0.6431691537874591
170,AUT,MYS,0.005235602094240838,0.7269054428892665
171,AUT,NAM,0.0041841004184100415,0.7007747321391784
172,AUT,NGA,0.008403361344537815,0.7421586917428773
173,AUT,NLD,0.007874015748031496,0.7538240971804627
174,AUT,NOR,0.009994739610731194,0.7657410481515542
175,AUT,NZL,0.005762179151388162,0.7473771686264158
176,AUT,PER,0.004709576138147566,0.7346130765627574
177,AUT,PHL,0.0020876826722338203,0.6833433803687993
178,AUT,PAK,0.001564945226917058,0.7106378132561123
179,AUT,POL,0.018027571580063628,0.7875944748744264
180,AUT,PRT,0.00946372239747634,0.7702541721864857
181,AUT,ROU,0.009994739610731194,0.7586191060292518
182,AUT,SRB,0.01964949548592671,0.8102006399749273
183,AUT,RUS,0.009994739610731194,0.7563320849740902
184,AUT,SAU,0.0041841004184100415,0.7150004611952202
185,AUT,SWE,0.015873015873015872,0.7687439028132899
186,AUT,SGP,0.007345225603357817,0.7067912611162377
187,AUT,SVN,0.023454157782515993,0.8005384895576021
188,AUT,SVK,0.006289308176100629,0.7205672637206472
189,AUT,SEN,0.0041841004184100415,0.7416979737478051
190,AUT,THA,0.005235602094240838,0.707523957861928
191,AUT,TUR,0.0036591740721380033,0.6927991581083108
192,AUT,TWN,0.0,0.5631855764484113
193,AUT,TZA,0.0026109660574412533,0.7193201414721817
194,AUT,UKR,0.003134796238244514,0.6758098439952951
195,AUT,UGA,0.004709576138147566,0.7041125839460185
196,AUT,USA,0.0041841004184100415,0.7488073666844262
197,AUT,VEN,0.0041841004184100415,0.6747649996419076
198,AUT,VNM,0.0026109660574412533,0.700437663879665
199,AUT,ZAF,0.00946372239747634,0.7487959137991154
200,AUT,ZWE,0.0036591740721380033,0.7024209617840298
201,AUS,BGD,0.0041841004184100415,0.645611479652608
202,AUS,BEL,0.0010427528675703858,0.6776503748925272
203,AUS,BGR,0.0026109660574412533,0.6629083281282911
204,AUS,BRA,0.003134796238244514,0.708437321211703
205,AUS,BWA,0.003134796238244514,0.6255695781899897
206,AUS,CAN,0.004709576138147566,0.7194795627632272
207,AUS,CHE,0.005235602094240838,0.6738239489799567
208,AUS,CHL,0.008933263268523384,0.7204634795460616
209,AUS,CHN,0.003134796238244514,0.6940489364387359
210,AUS,COL,0.0026109660574412533,0.6568204799601719
211,AUS,CUB,0.004709576138147566,0.6644536087740062
212,AUS,CZE,0.0041841004184100415,0.670884356983585
213,AUS,DEU,0.003134796238244514,0.7196133690558294
214,AUS,EGY,0.004709576138147566,0.6733611666061075
215,AUS,ETH,0.003134796238244514,0.6856272909443142
216,AUS,FRA,0.003134796238244514,0.7456666102569481
217,AUS,GBR,0.0036591740721380033,0.7568796901135818
218,AUS,GHA,0.0020876826722338203,0.6928840742406125
219,AUS,GRC,0.004709576138147566,0.741880506368896
220,AUS,HKG,0.005762179151388162,0.6621576760582626
221,AUS,HUN,0.0,0.6398910856788703
222,AUS,IDN,0.005235602094240838,0.6744523252870066
223,AUS,IRL,0.015873015873015872,0.7234658468447519
224,AUS,ISR,0.0020876826722338203,0.656277982804696
225,AUS,IND,0.0041841004184100415,0.7549066335693596
226,AUS,ITA,0.0005211047420531526,0.6898902398634427
227,AUS,JPN,0.0020876826722338203,0.7064973348566425
228,AUS,KEN,0.006289308176100629,0.6951503548517908
229,AUS,KOR,0.0010427528675703858,0.694655324938176
230,AUS,LBN,0.008403361344537815,0.6702324803290755
231,AUS,LTU,0.003134796238244514,0.6325983821925685
232,AUS,LVA,0.0026109660574412533,0.6813878521561005
233,AUS,MAR,0.0041841004184100415,0.6432301518926572
234,AUS,MEX,0.0041841004184100415,0.6653181015028475
235,AUS,MYS,0.012124406958355299,0.7233942354569812
236,AUS,NAM,0.0026109660574412533,0.6435147431165152
237,AUS,NGA,0.00946372239747634,0.692011453938697
238,AUS,NLD,0.0020876826722338203,0.6541936098663057
239,AUS,NOR,0.0041841004184100415,0.668083497572659
240,AUS,NZL,0.01964949548592671,0.749546699930977
241,AUS,PER,0.003134796238244514,0.6788716927787835
