,c1,c2,jac,cos
2203,RUS,UKR,0.20150187734668334,0.9478228025574634
2255,SVN,SVK,0.08597285067873303,0.8387248995569715
2118,POL,RUS,0.06018774157923799,0.8569258520178364
1911,NAM,NGA,0.054945054945054944,0.7739572701810962
677,CHE,SWE,0.04689203925845147,0.788392817286796
2181,SRB,SEN,0.04234527687296417,0.7892071291894656
1799,LVA,SRB,0.03727714748784441,0.8170711065888732
946,CZE,POL,0.0367170626349892,0.799395046678176
797,CHN,TWN,0.03504043126684636,0.8477470288647395
2005,NOR,SWE,0.0328133405056482,0.7573465335179587
1149,FRA,PRT,0.030595813204508857,0.8520428068641839
1402,IDN,IND,0.030042918454935622,0.8357961335319946
421,BGR,LVA,0.030042918454935622,0.7849765437103886
468,BRA,GHA,0.029490616621983913,0.8564536854953102
1179,GBR,JPN,0.027287319422150885,0.8691209865866293
167,AUT,LVA,0.027287319422150885,0.8345042417271314
1548,IND,RUS,0.026737967914438502,0.852548684833856
725,CHL,PER,0.026737967914438502,0.7782340654200454
2340,VEN,VNM,0.026189203634420097,0.7097871375137879
1378,HUN,POL,0.02564102564102564,0.7687147083466198
1764,LTU,PRT,0.02564102564102564,0.7624542274275318
2137,PRT,SRB,0.02564102564102564,0.7963403498399461
1651,KEN,NGA,0.025093432995194873,0.7724666339495949
51,ARE,SAU,0.02454642475987193,0.7453332983069403
1002,DEU,RUS,0.02454642475987193,0.8409133589239327
890,CUB,PER,0.023454157782515993,0.7534648400150235
1459,IRL,NZL,0.021820117083555083,0.7644141669152882
1271,GRC,ITA,0.021820117083555083,0.8350753430056367
1042,EGY,NGA,0.02127659574468085,0.7535136518193735
240,AUS,NZL,0.01964949548592671,0.749546699930977
2066,PER,VEN,0.01964949548592671,0.7092823474673259
1730,LBN,PRT,0.01910828025477707,0.7512058937830374
2287,SEN,VEN,0.01910828025477707,0.7297264773801974
1900,MYS,THA,0.01856763925729443,0.7965485816245296
90,ARG,HUN,0.018027571580063628,0.7100742894289785
2298,THA,VNM,0.018027571580063628,0.7531501331731545
2161,ROU,SVN,0.01641079936474325,0.7552042304223456
1634,JPN,TWN,0.01641079936474325,0.8104231024570917
1244,GHA,PRT,0.015873015873015872,0.8048269497445102
1840,MAR,TUR,0.015335801163405606,0.7312247244250721
857,COL,VEN,0.015335801163405606,0.7290423755993728
2326,UKR,USA,0.015335801163405606,0.8107601184375506
528,BWA,GHA,0.015335801163405606,0.7529395198864159
2323,TZA,ZAF,0.014799154334038054,0.7400478253729754
1960,NGA,TZA,0.014799154334038054,0.7204942490501016
2345,ZAF,ZWE,0.014799154334038054,0.7180362851012277
1877,MEX,VEN,0.014799154334038054,0.704179864483197
630,CAN,USA,0.014799154334038054,0.8431385630322699
1584,ITA,PRT,0.014263074484944533,0.7662030094040297
2082,PHL,THA,0.013727560718057022,0.7548824821375227
1509,ISR,SAU,0.013727560718057022,0.7244146938418273
379,BEL,SVN,0.013192612137203167,0.7423511558540604
2334,UGA,ZAF,0.013192612137203167,0.7437267926167584
285,BGD,HUN,0.012658227848101266,0.6857483303351343
1973,NLD,POL,0.012658227848101266,0.7611401800428962
1330,HKG,NZL,0.012124406958355299,0.7024991045298788
2252,SGP,VNM,0.012124406958355299,0.6920357673944497
1086,ETH,LTU,0.011591148577449948,0.6924967908680365
2105,PAK,TUR,0.011591148577449948,0.7669654373664109
2219,SAU,UKR,0.011058451816745656,0.7081879309333688
2035,NZL,THA,0.010526315789473684,0.7605299464440297
2313,TWN,USA,0.009994739610731194,0.8325731604847092
2279,SVK,ZWE,0.00946372239747634,0.6747694019375216
2232,SWE,TWN,0.00946372239747634,0.6927121640261148
2303,TUR,UKR,0.008403361344537815,0.7159497814880103
1710,KOR,UGA,0.0068169900367068695,0.7839653491943748
2343,VNM,ZAF,0.005762179151388162,0.6866691165410268
2336,USA,VEN,0.005235602094240838,0.7367120543725997
