,c1,c2,jac,cos
0,ARE,ARG,0.0026109660574412533,0.7421873001738127
1,ARE,AUT,0.007345225603357817,0.7644138991865941
2,ARE,AUS,0.006289308176100629,0.7235566396646588
3,ARE,BGD,0.012658227848101266,0.7702880876853733
4,ARE,BEL,0.0026109660574412533,0.7612883612217591
5,ARE,BGR,0.001564945226917058,0.6179611169098922
6,ARE,BRA,0.005235602094240838,0.7526607120769271
7,ARE,BWA,0.0026109660574412533,0.6268962697524542
8,ARE,CAN,0.0041841004184100415,0.7405011016662343
9,ARE,CHE,0.004709576138147566,0.7433628610420807
10,ARE,CHL,0.001564945226917058,0.7339776323776294
11,ARE,CHN,0.0036591740721380033,0.7383115031718712
12,ARE,COL,0.0041841004184100415,0.7346535277266343
13,ARE,CUB,0.003134796238244514,0.6932687610568885
14,ARE,CZE,0.0,0.7194895183364207
15,ARE,DEU,0.0010427528675703858,0.7265651545394277
16,ARE,EGY,0.011058451816745656,0.7427524294568519
17,ARE,ETH,0.004709576138147566,0.6474921081687873
18,ARE,FRA,0.001564945226917058,0.7509598451640643
19,ARE,GBR,0.0036591740721380033,0.6992651399306758
20,ARE,GHA,0.001564945226917058,0.7564328462411104
21,ARE,GRC,0.0010427528675703858,0.5962693877519438
22,ARE,HUN,0.0010427528675703858,0.5875879205316293
23,ARE,IDN,0.007345225603357817,0.7275900197788477
24,ARE,IRL,0.008933263268523384,0.7279657288962028
25,ARE,ISR,0.0020876826722338203,0.6566081185951459
26,ARE,IND,0.0026109660574412533,0.702517562635878
27,ARE,ITA,0.0010427528675703858,0.7078297805670389
28,ARE,JPN,0.001564945226917058,0.6047641577698931
29,ARE,KEN,0.0026109660574412533,0.609738097329891
30,ARE,KOR,0.005235602094240838,0.7316852817313833
31,ARE,LBN,0.0020876826722338203,0.638266165587436
32,ARE,LTU,0.0036591740721380033,0.733098049409592
33,ARE,LVA,0.003134796238244514,0.6946021772153861
34,ARE,MAR,0.0036591740721380033,0.6432873740356825
35,ARE,MEX,0.0026109660574412533,0.5929162488282886
36,ARE,MYS,0.006289308176100629,0.7590584947230977
37,ARE,NAM,0.008933263268523384,0.7258799130627063
38,ARE,NGA,0.007345225603357817,0.7484480305736114
39,ARE,NLD,0.0041841004184100415,0.793272910729309
40,ARE,NOR,0.005762179151388162,0.7404699847028906
41,ARE,NZL,0.0010427528675703858,0.7411156971218209
42,ARE,PER,0.001564945226917058,0.7231944180788632
43,ARE,PHL,0.007345225603357817,0.7122401286997168
44,ARE,PAK,0.015873015873015872,0.7654430002282978
45,ARE,POL,0.0010427528675703858,0.5901789171240728
46,ARE,PRT,0.0010427528675703858,0.7490549092077399
47,ARE,ROU,0.007345225603357817,0.7541547035572754
48,ARE,SRB,0.005762179151388162,0.7121199962806793
49,ARE,RUS,0.001564945226917058,0.7452360820740137
50,ARE,SAU,0.008933263268523384,0.6709818427724848
51,ARE,SWE,0.0026109660574412533,0.6047700365268708
52,ARE,SGP,0.006289308176100629,0.7482002879921742
53,ARE,SVN,0.005235602094240838,0.7356925937977258
54,ARE,SVK,0.0068169900367068695,0.7247890766296223
55,ARE,SEN,0.013192612137203167,0.7654987434901678
56,ARE,THA,0.004709576138147566,0.7063141060580969
57,ARE,TUR,0.0005211047420531526,0.6135362205977394
58,ARE,TWN,0.003134796238244514,0.6851372253786878
59,ARE,TZA,0.003134796238244514,0.6740535551572103
60,ARE,UKR,0.004709576138147566,0.6611243050021798
61,ARE,UGA,0.011591148577449948,0.7574896259228078
62,ARE,USA,0.0026109660574412533,0.7793700225312904
63,ARE,VEN,0.0026109660574412533,0.708197766057687
64,ARE,VNM,0.001564945226917058,0.627597632746476
65,ARE,ZAF,0.0005211047420531526,0.8068582105820615
66,ARE,ZWE,0.0041841004184100415,0.6105372442474493
67,ARG,AUT,0.01641079936474325,0.8289669634313585
68,ARG,AUS,0.01910828025477707,0.8302246475091103
69,ARG,BGD,0.0026109660574412533,0.765918909619857
70,ARG,BEL,0.0026109660574412533,0.8369295239261434
71,ARG,BGR,0.0036591740721380033,0.6834097843574365
72,ARG,BRA,0.043478260869565216,0.8743517752349839
73,ARG,BWA,0.0026109660574412533,0.6734038542739849
74,ARG,CAN,0.02564102564102564,0.8177480647936163
75,ARG,CHE,0.007345225603357817,0.783368702843777
76,ARG,CHL,0.06666666666666667,0.8947835050869084
77,ARG,CHN,0.0036591740721380033,0.7719281568041587
78,ARG,COL,0.04461371055495103,0.8596501660806093
79,ARG,CUB,0.009994739610731194,0.7660686044975458
80,ARG,CZE,0.0026109660574412533,0.7715181046871197
81,ARG,DEU,0.012658227848101266,0.8214636966743405
82,ARG,EGY,0.0036591740721380033,0.7237420876694924
83,ARG,ETH,0.0,0.6482427058978456
84,ARG,FRA,0.01694915254237288,0.8403209918556473
85,ARG,GBR,0.003134796238244514,0.718528636482085
86,ARG,GHA,0.0020876826722338203,0.8254874388581896
87,ARG,GRC,0.0005211047420531526,0.6407334173511089
88,ARG,HUN,0.0020876826722338203,0.6727092830120969
89,ARG,IDN,0.005235602094240838,0.740239302400355
90,ARG,IRL,0.007345225603357817,0.7561692853018985
91,ARG,ISR,0.0026109660574412533,0.7133553115158725
92,ARG,IND,0.003134796238244514,0.7502979131361379
93,ARG,ITA,0.026189203634420097,0.8424756046556685
94,ARG,JPN,0.0020876826722338203,0.6825301880945447
95,ARG,KEN,0.0020876826722338203,0.6503878770523305
96,ARG,KOR,0.0020876826722338203,0.7520587778209021
