,c1,c2,jac,cos
1334,IDN,IND,0.16293155663234404,0.9082425924577805
1316,HUN,SWE,0.14421930870083433,0.8657589730488179
1278,GRC,TUR,0.13744075829383887,0.8798689706631477
1565,JPN,TUR,0.12346401404330018,0.8346794909676712
2058,POL,TUR,0.11046847888953153,0.8366377305934868
2163,SWE,TUR,0.10091743119266056,0.8294388533480744
529,BWA,KEN,0.10091743119266056,0.8204376304641722
1092,ETH,TUR,0.0958904109589041,0.8123790171337569
2187,SVN,SVK,0.08535895986433013,0.9265420987080469
1803,MEX,TUR,0.08169014084507042,0.7985336255287212
426,BGR,POL,0.08169014084507042,0.8039644069741846
1590,KEN,POL,0.07683679192372406,0.7793594272240228
1673,LBN,TUR,0.07502799552071669,0.7921834974057181
1772,MAR,TUR,0.07322526551145891,0.7954045027614228
76,ARG,CHL,0.06666666666666667,0.8947835050869084
133,AUT,AUS,0.06312292358803986,0.89554768086233
843,COL,VEN,0.061946902654867256,0.8987712046044891
963,DEU,ITA,0.05263157894736842,0.8888421790339084
2241,TUR,ZWE,0.052054794520547946,0.7707308219647248
2148,SAU,TUR,0.05090311986863711,0.7898987065991617
2111,SRB,SVN,0.04404567699836868,0.8382562202406029
683,CHL,COL,0.04234527687296417,0.8631954563035934
487,BRA,PRT,0.04065040650406504,0.8650965682824233
1110,FRA,ITA,0.04065040650406504,0.8762608556808468
203,AUS,CAN,0.033925686591276254,0.8509444450076632
302,BGD,PAK,0.033925686591276254,0.8414651355365889
756,CHN,KOR,0.031149301825993556,0.8512496061520879
2088,ROU,SRB,0.031149301825993556,0.842166608626883
630,CHE,DEU,0.028938906752411574,0.839625899359838
896,CUB,VEN,0.025093432995194873,0.7775879857893545
1451,ISR,UKR,0.025093432995194873,0.8140576890926806
570,CAN,COL,0.025093432995194873,0.8534349650218408
2276,VNM,ZWE,0.02454642475987193,0.7272060891195558
1516,ITA,PRT,0.024,0.8439975098054419
1388,IRL,NGA,0.023454157782515993,0.8172535468184798
1896,NGA,VEN,0.023454157782515993,0.8096648178865882
1641,KOR,UKR,0.021820117083555083,0.7970723046554979
1710,LTU,UKR,0.021820117083555083,0.7949321292002981
2259,UKR,VEN,0.020191285866099893,0.7849152657177094
1475,IND,PAK,0.01910828025477707,0.7783041517312099
1730,LVA,ROU,0.01910828025477707,0.7907237493397139
2217,SEN,UGA,0.01856763925729443,0.7954500486065209
2227,THA,UGA,0.018027571580063628,0.7727498185575743
2036,PAK,THA,0.01694915254237288,0.7755498578714626
1030,EGY,PAK,0.01641079936474325,0.7895900163183901
44,ARE,PAK,0.015873015873015872,0.7654430002282978
1860,NAM,SEN,0.015335801163405606,0.7562655995775963
2256,TZA,ZWE,0.014263074484944533,0.7400987465795963
2135,RUS,UKR,0.014263074484944533,0.8713498450919996
1939,NOR,SVN,0.013727560718057022,0.7945506335781461
2200,SVK,SEN,0.012658227848101266,0.7529956067581208
2242,TWN,TZA,0.012658227848101266,0.7262388601648256
2176,SGP,THA,0.012124406958355299,0.7814368545058925
2002,PHL,PAK,0.011591148577449948,0.7381947620784725
1906,NLD,PRT,0.011058451816745656,0.8606582657547485
2068,PRT,ROU,0.010526315789473684,0.8198549440817774
2268,USA,VEN,0.009994739610731194,0.8411447375542763
1831,MYS,SEN,0.008403361344537815,0.7790459156892067
2264,UGA,VEN,0.008403361344537815,0.7654082736975623
1154,GBR,IRL,0.006289308176100629,0.8031704698822215
1219,GHA,PHL,0.006289308176100629,0.7389037494090456
360,BEL,NOR,0.005762179151388162,0.8094926362894657
912,CZE,ITA,0.004709576138147566,0.7908011040336754
1995,PER,UKR,0.004709576138147566,0.7585786414810469
1976,NZL,ZAF,0.004709576138147566,0.8507457000658437
2272,VEN,VNM,0.0020876826722338203,0.637682718474125
2277,ZAF,ZWE,0.001564945226917058,0.7073418369480108
