,c1,c2,jac,cos
0,ARE,ARG,0.0036591740721380033,0.7724661034321582
1,ARE,AUT,0.003134796238244514,0.7973019759193559
2,ARE,AUS,0.006289308176100629,0.7769247665529767
3,ARE,BGD,0.003134796238244514,0.6444568056297189
4,ARE,BEL,0.0026109660574412533,0.7597258565311392
5,ARE,BGR,0.0041841004184100415,0.7892664401106129
6,ARE,BRA,0.003134796238244514,0.8111126949633629
7,ARE,BWA,0.003134796238244514,0.6543646905257725
8,ARE,CAN,0.0041841004184100415,0.8022300037429155
9,ARE,CHE,0.005762179151388162,0.7822756238017949
10,ARE,CHL,0.003134796238244514,0.7949037339875168
11,ARE,CHN,0.0036591740721380033,0.6260937375061839
12,ARE,COL,0.003134796238244514,0.7744714412810542
13,ARE,CUB,0.0041841004184100415,0.8245732532838734
14,ARE,CZE,0.004709576138147566,0.8174264278120891
15,ARE,DEU,0.0010427528675703858,0.6370373266078289
16,ARE,EGY,0.0036591740721380033,0.7134937317805872
17,ARE,ETH,0.0026109660574412533,0.7810447208296515
18,ARE,FRA,0.0020876826722338203,0.6268005526846295
19,ARE,GBR,0.0,0.0
20,ARE,GHA,0.004709576138147566,0.8435009924653203
21,ARE,GRC,0.005762179151388162,0.6352567725278633
22,ARE,HUN,0.006289308176100629,0.8231727540806227
23,ARE,IDN,0.0036591740721380033,0.6599064337996077
24,ARE,IRL,0.004709576138147566,0.6577858526543018
25,ARE,ISR,0.005235602094240838,0.7841713182932118
26,ARE,IND,0.0026109660574412533,0.6488830759500106
27,ARE,ITA,0.0036591740721380033,0.7909388459529468
28,ARE,JPN,0.003134796238244514,0.7905780716422272
29,ARE,KEN,0.0020876826722338203,0.7691404369651405
30,ARE,KOR,0.0020876826722338203,0.7688445503314648
31,ARE,LBN,0.001564945226917058,0.8016594440081127
32,ARE,LTU,0.0020876826722338203,0.7898025938119378
33,ARE,LVA,0.0020876826722338203,0.8469796125243763
34,ARE,MAR,0.004709576138147566,0.7484200481268652
35,ARE,MEX,0.0041841004184100415,0.6735261947752484
36,ARE,MYS,0.004709576138147566,0.6537997722733911
37,ARE,NAM,0.0026109660574412533,0.7959009305377346
38,ARE,NGA,0.003134796238244514,0.8120339617016509
39,ARE,NLD,0.001564945226917058,0.7828034813837332
40,ARE,NOR,0.0041841004184100415,0.7576450458291758
41,ARE,PER,0.005235602094240838,0.818798464264681
42,ARE,PHL,0.0026109660574412533,0.7500359200205262
43,ARE,PAK,0.0041841004184100415,0.7915362582182035
44,ARE,POL,0.0036591740721380033,0.6428379048648161
45,ARE,PRT,0.0041841004184100415,0.8228307023494398
46,ARE,ROU,0.005235602094240838,0.6577766328309099
47,ARE,SRB,0.0026109660574412533,0.7857751650803502
48,ARE,RUS,0.0026109660574412533,0.7798852126633732
49,ARE,SAU,0.005235602094240838,0.8033435736389515
50,ARE,SWE,0.0041841004184100415,0.6381163274604207
51,ARE,SGP,0.004709576138147566,0.6693947296393524
52,ARE,SVN,0.0,0.7425620992782382
53,ARE,SVK,0.0020876826722338203,0.7800973946562049
54,ARE,SEN,0.0036591740721380033,0.7022183082560528
55,ARE,THA,0.006289308176100629,0.7673993798117726
56,ARE,TUR,0.003134796238244514,0.782220833953693
57,ARE,TWN,0.0026109660574412533,0.7722236625034263
58,ARE,TZA,0.0036591740721380033,0.7690763282271034
59,ARE,UKR,0.006289308176100629,0.7985025667192497
60,ARE,UGA,0.003134796238244514,0.7973487950505629
61,ARE,USA,0.0036591740721380033,0.6399238852113057
62,ARE,VEN,0.0026109660574412533,0.6560775462284264
63,ARE,VNM,0.003134796238244514,0.6389983709260894
64,ARE,ZAF,0.0036591740721380033,0.64742313661101
65,ARE,ZWE,0.0036591740721380033,0.6524063354432117
66,ARG,AUT,0.004709576138147566,0.7996064610086668
67,ARG,AUS,0.01641079936474325,0.8062478124090233
68,ARG,BGD,0.005235602094240838,0.6380830354337881
69,ARG,BEL,0.0041841004184100415,0.7627927845159788
70,ARG,BGR,0.004709576138147566,0.7494662864535588
71,ARG,BRA,0.01856763925729443,0.8384920763263339
72,ARG,BWA,0.004709576138147566,0.6774911798168411
73,ARG,CAN,0.005235602094240838,0.7870326026613018
74,ARG,CHE,0.0020876826722338203,0.7464399940395413
75,ARG,CHL,0.01964949548592671,0.8121260103653972
76,ARG,CHN,0.005235602094240838,0.6626007367987147
77,ARG,COL,0.010526315789473684,0.8094883817200023
78,ARG,CUB,0.003134796238244514,0.7842293044693189
79,ARG,CZE,0.001564945226917058,0.7695943796424325
80,ARG,DEU,0.0068169900367068695,0.688655044630472
81,ARG,EGY,0.005235602094240838,0.7203904447513275
82,ARG,ETH,0.001564945226917058,0.7709423556767214
83,ARG,FRA,0.0041841004184100415,0.6552234851473538
84,ARG,GBR,0.0,0.0
85,ARG,GHA,0.0005211047420531526,0.801684611101335
86,ARG,GRC,0.004709576138147566,0.6497568774218795
87,ARG,HUN,0.005235602094240838,0.8158915099438862
88,ARG,IDN,0.0068169900367068695,0.6383285231850507
89,ARG,IRL,0.0068169900367068695,0.6693561669762165
90,ARG,ISR,0.0041841004184100415,0.7397095020240484
91,ARG,IND,0.0068169900367068695,0.6460491735401003
92,ARG,ITA,0.013192612137203167,0.8152739472788958
93,ARG,JPN,0.00946372239747634,0.8106458048723008
94,ARG,KEN,0.001564945226917058,0.7326217518710657
95,ARG,KOR,0.003134796238244514,0.7750268505200022
96,ARG,LBN,0.005762179151388162,0.8070299837055172
97,ARG,LTU,0.003134796238244514,0.7784307705423635
98,ARG,LVA,0.0020876826722338203,0.8073063015524496
99,ARG,MAR,0.007345225603357817,0.7764264076071197
100,ARG,MEX,0.009994739610731194,0.6847841286441545
101,ARG,MYS,0.005235602094240838,0.6549493068875692
102,ARG,NAM,0.005235602094240838,0.7587175036747476
103,ARG,NGA,0.008933263268523384,0.8096278262355922
104,ARG,NLD,0.007874015748031496,0.7826490086364735
105,ARG,NOR,0.0020876826722338203,0.7425796618047734
106,ARG,PER,0.005762179151388162,0.8023901148697151
107,ARG,PHL,0.005235602094240838,0.7524032514186263
108,ARG,PAK,0.009994739610731194,0.7999709260029166
109,ARG,POL,0.004709576138147566,0.6584414428483107
110,ARG,PRT,0.007345225603357817,0.8144702123039567
111,ARG,ROU,0.007345225603357817,0.6718919483141197
112,ARG,SRB,0.008933263268523384,0.7811658157370285
113,ARG,RUS,0.006289308176100629,0.7742345389256816
114,ARG,SAU,0.0036591740721380033,0.7867628014046404
115,ARG,SWE,0.007874015748031496,0.6618268778782752
116,ARG,SGP,0.005762179151388162,0.6734666124533945
117,ARG,SVN,0.0036591740721380033,0.7659583400030504
118,ARG,SVK,0.006289308176100629,0.7822724661735604
119,ARG,SEN,0.0068169900367068695,0.7140843018853792
120,ARG,THA,0.0020876826722338203,0.7378295344420803
121,ARG,TUR,0.0026109660574412533,0.7656749723538684
122,ARG,TWN,0.005762179151388162,0.7781307725967734
123,ARG,TZA,0.009994739610731194,0.7895004804747199
124,ARG,UKR,0.007874015748031496,0.8000543296448646
125,ARG,UGA,0.007345225603357817,0.7973882296472679
126,ARG,USA,0.005762179151388162,0.6474863831200558
127,ARG,VEN,0.00946372239747634,0.6897572904824515
128,ARG,VNM,0.006289308176100629,0.6406894788949746
129,ARG,ZAF,0.0036591740721380033,0.6646000001817323
130,ARG,ZWE,0.0041841004184100415,0.656302638295281
131,AUT,AUS,0.013727560718057022,0.8054962136330815
132,AUT,BGD,0.0010427528675703858,0.5931897009397356
133,AUT,BEL,0.0041841004184100415,0.7929227034692271
134,AUT,BGR,0.0036591740721380033,0.8183665872594998
135,AUT,BRA,0.009994739610731194,0.7982167637403471
136,AUT,BWA,0.001564945226917058,0.6273374208035415
137,AUT,CAN,0.003134796238244514,0.7948458898627268
138,AUT,CHE,0.006289308176100629,0.8045928158057999
139,AUT,CHL,0.011591148577449948,0.7897104210129822
140,AUT,CHN,0.0020876826722338203,0.6095785936406555
141,AUT,COL,0.003134796238244514,0.7840201954322543
142,AUT,CUB,0.005235602094240838,0.839634788657777
143,AUT,CZE,0.01964949548592671,0.8572720088571391
144,AUT,DEU,0.003134796238244514,0.6517772231353173
145,AUT,EGY,0.0036591740721380033,0.729854892063158
146,AUT,ETH,0.0068169900367068695,0.8116491946992171
147,AUT,FRA,0.003134796238244514,0.6664110459818289
148,AUT,GBR,0.0,0.0
149,AUT,GHA,0.0026109660574412533,0.8215606100309161
150,AUT,GRC,0.001564945226917058,0.6200869233843406
151,AUT,HUN,0.008933263268523384,0.8466636208828954
152,AUT,IDN,0.0,0.5986558343083708
153,AUT,IRL,0.0005211047420531526,0.6274070914926303
154,AUT,ISR,0.008933263268523384,0.7951053687615073
155,AUT,IND,0.0010427528675703858,0.6021217582635101
156,AUT,ITA,0.006289308176100629,0.7816063448024876
157,AUT,JPN,0.007345225603357817,0.8109383778213491
158,AUT,KEN,0.003134796238244514,0.7680396538757177
159,AUT,KOR,0.0041841004184100415,0.7850164616237336
160,AUT,LBN,0.009994739610731194,0.816540987172867
161,AUT,LTU,0.004709576138147566,0.8090047740623186
162,AUT,LVA,0.0026109660574412533,0.8571929910132913
163,AUT,MAR,0.0041841004184100415,0.759848078447888
164,AUT,MEX,0.0010427528675703858,0.6295564440435699
165,AUT,MYS,0.003134796238244514,0.6028866664570395
166,AUT,NAM,0.008933263268523384,0.8192079372620699
167,AUT,NGA,0.013727560718057022,0.8371944089926762
168,AUT,NLD,0.013727560718057022,0.8061863367445966
169,AUT,NOR,0.0020876826722338203,0.7337035619199123
170,AUT,PER,0.003134796238244514,0.7666024151620497
171,AUT,PHL,0.0041841004184100415,0.7670926372748473
172,AUT,PAK,0.006289308176100629,0.8035124382916554
173,AUT,POL,0.003134796238244514,0.6205855088650907
174,AUT,PRT,0.006289308176100629,0.8231850521671641
175,AUT,ROU,0.0026109660574412533,0.6199059720381255
176,AUT,SRB,0.018027571580063628,0.8185725869623819
177,AUT,RUS,0.004709576138147566,0.7975740026940945
178,AUT,SAU,0.00946372239747634,0.8164028072733643
179,AUT,SWE,0.0020876826722338203,0.6434896622828913
180,AUT,SGP,0.0020876826722338203,0.6255263522911398
181,AUT,SVN,0.0041841004184100415,0.7978259261906372
182,AUT,SVK,0.003134796238244514,0.7955979948968286
183,AUT,SEN,0.0005211047420531526,0.6822893671085678
184,AUT,THA,0.003134796238244514,0.7794543043305822
185,AUT,TUR,0.014263074484944533,0.8150608898572467
186,AUT,TWN,0.011591148577449948,0.7878190548442823
187,AUT,TZA,0.007874015748031496,0.7975453636696175
188,AUT,UKR,0.018027571580063628,0.8226048207411945
189,AUT,UGA,0.0026109660574412533,0.808530236248588
190,AUT,USA,0.0020876826722338203,0.6020821977731624
191,AUT,VEN,0.001564945226917058,0.6215438517821785
192,AUT,VNM,0.001564945226917058,0.5920355355238451
193,AUT,ZAF,0.0026109660574412533,0.6498012898974763
194,AUT,ZWE,0.001564945226917058,0.6067269694445815
195,AUS,BGD,0.0036591740721380033,0.5912045376849601
196,AUS,BEL,0.01641079936474325,0.763947859023981
197,AUS,BGR,0.006289308176100629,0.7634065528274276
198,AUS,BRA,0.026737967914438502,0.8182391330546077
199,AUS,BWA,0.0010427528675703858,0.6409496724292028
200,AUS,CAN,0.007345225603357817,0.8011438676319426
201,AUS,CHE,0.0036591740721380033,0.7638796723134635
202,AUS,CHL,0.017488076311605722,0.794867521933543
203,AUS,CHN,0.0026109660574412533,0.6058432038229719
204,AUS,COL,0.012658227848101266,0.7801114376145362
205,AUS,CUB,0.0010427528675703858,0.7879358955337312
206,AUS,CZE,0.010526315789473684,0.7929620880985235
207,AUS,DEU,0.0036591740721380033,0.630510182536099
208,AUS,EGY,0.0036591740721380033,0.7174361411997657
209,AUS,ETH,0.0026109660574412533,0.7617358826023722
210,AUS,FRA,0.0041841004184100415,0.635302646926874
211,AUS,GBR,0.0,0.0
212,AUS,GHA,0.001564945226917058,0.787341759157209
213,AUS,GRC,0.0036591740721380033,0.6122169517337798
214,AUS,HUN,0.005235602094240838,0.8009800770514621
215,AUS,IDN,0.0026109660574412533,0.5820032157053027
216,AUS,IRL,0.005762179151388162,0.6521069856062033
217,AUS,ISR,0.03727714748784441,0.7878871373862326
218,AUS,IND,0.0026109660574412533,0.5876396203412264
219,AUS,ITA,0.018027571580063628,0.7860368542878833
220,AUS,JPN,0.027287319422150885,0.8138799433508404
221,AUS,KEN,0.0036591740721380033,0.7211771865267143
222,AUS,KOR,0.004709576138147566,0.7778913596443993
223,AUS,LBN,0.022364217252396165,0.8071464897501506
224,AUS,LTU,0.008403361344537815,0.7793330273228665
225,AUS,LVA,0.0026109660574412533,0.8194779649168044
226,AUS,MAR,0.008403361344537815,0.7410977509518686
227,AUS,MEX,0.0036591740721380033,0.6380514217755469
228,AUS,MYS,0.0026109660574412533,0.5972795328761894
229,AUS,NAM,0.011058451816745656,0.7843889034493782
230,AUS,NGA,0.020191285866099893,0.8169178555840695
