,c1,c2,jac,cos
319,BGD,ZWE,0.3259668508287293,0.9526562985386364
1440,IND,MYS,0.26232741617357,0.935742728770406
1320,IDN,MYS,0.23631680618158404,0.9372751694025394
2207,VEN,ZWE,0.23234916559691912,0.9135518012122223
1802,MYS,VNM,0.22448979591836735,0.9280923456153648
2202,USA,VNM,0.20603015075376885,0.8922712045959988
2209,VNM,ZWE,0.17503059975520197,0.8783839224245364
1756,MEX,ROU,0.13274336283185842,0.8418895241993556
2036,ROU,VEN,0.12084063047285463,0.8171634099173739
1371,IRL,ROU,0.11822947000582411,0.8171501393363294
2155,SEN,ZWE,0.1111111111111111,0.8006407552138236
2117,SGP,VNM,0.11046847888953153,0.8224907045225569
546,BWA,SEN,0.09902690326273612,0.8280542395683589
2120,SVN,SVK,0.09526525955504848,0.8660796961189132
1243,GRC,POL,0.08843537414965986,0.7611262602727557
1085,FRA,GRC,0.08169014084507042,0.7564493233189422
735,CHN,GRC,0.07925801011804384,0.7653396295248276
1998,POL,VNM,0.07262569832402235,0.7501544948168822
2104,SWE,ZAF,0.06430155210643015,0.7404450420644274
938,DEU,FRA,0.059602649006622516,0.7239249672309592
2051,SRB,UKR,0.05032822757111598,0.8284903869475869
2210,ZAF,ZWE,0.04975396391470749,0.7160560092269261
461,BRA,ITA,0.04632152588555858,0.8459516703579965
231,AUS,NLD,0.03952355170546833,0.8171503879167403
1396,ISR,LBN,0.03559870550161812,0.8494816579775551
926,CZE,TUR,0.03504043126684636,0.8179393856441618
1536,JPN,TWN,0.0328133405056482,0.8229854019713685
2138,SVK,UKR,0.03170338527673294,0.8367701611255165
1643,LBN,UKR,0.028387787895018748,0.8349487304244769
2168,TUR,UKR,0.027287319422150885,0.8066083984150867
1867,NLD,SRB,0.027287319422150885,0.796744800787997
1852,NGA,TZA,0.026189203634420097,0.8287956577913488
1470,ITA,JPN,0.02564102564102564,0.8102379045120638
2014,PRT,UKR,0.02454642475987193,0.8416885911164635
688,CHL,JPN,0.02454642475987193,0.8128907682699887
2175,TWN,TZA,0.02127659574468085,0.7859957020935981
143,AUT,CZE,0.01964949548592671,0.8572720088571391
75,ARG,CHL,0.01964949548592671,0.8121260103653972
1972,PAK,TZA,0.017488076311605722,0.8106907277541149
825,COL,TZA,0.01694915254237288,0.7729836585966012
1195,GHA,NOR,0.01641079936474325,0.8808679659018733
354,BEL,NLD,0.01641079936474325,0.7983071200980902
1664,LTU,SRB,0.015873015873015872,0.8005703506079554
2081,SAU,TUR,0.014263074484944533,0.8032891188170255
1741,MAR,USA,0.013727560718057022,0.7020756550653349
1824,NAM,TWN,0.013192612137203167,0.7966052593696814
2159,THA,UKR,0.012658227848101266,0.782646136812984
619,CHE,CZE,0.011591148577449948,0.8135298151999929
400,BGR,ISR,0.011591148577449948,0.7735369520828665
2183,TZA,UKR,0.011058451816745656,0.7953547896302364
1935,PHL,PAK,0.011058451816745656,0.7747650627573146
1912,PER,PAK,0.010526315789473684,0.8028973167026152
559,CAN,CHL,0.00946372239747634,0.8094323574666339
1289,HUN,SRB,0.008933263268523384,0.8339908804958335
1696,LVA,SRB,0.008403361344537815,0.849854788069677
1025,EGY,TUR,0.008403361344537815,0.7449204062708006
1604,KOR,SEN,0.007345225603357817,0.7270713283159247
1553,KEN,NGA,0.007345225603357817,0.7900947204028448
856,CUB,NAM,0.007345225603357817,0.835603225471189
1045,ETH,JPN,0.0068169900367068695,0.796995438263338
2062,RUS,SVK,0.0068169900367068695,0.7832592587514569
1907,NOR,VEN,0.0068169900367068695,0.6447507170369353
22,ARE,HUN,0.006289308176100629,0.8231727540806227
2194,UKR,ZAF,0.0036591740721380033,0.6363409671361747
2199,UGA,ZAF,0.0026109660574412533,0.674153497392403
1161,GBR,SGP,0.0,0.0
