,c1,c2,jac,cos
938,DEU,FRA,0.17647058823529413,0.8944027322153103
1772,MEX,VEN,0.13811499703615887,0.8922488921022322
2152,SEN,VEN,0.11563044741429401,0.8638242986923174
2036,ROU,VEN,0.11498257839721254,0.8522832958753852
1465,IND,USA,0.10982658959537572,0.8559648061106852
1320,IDN,MYS,0.10344827586206896,0.8482915877908194
1099,FRA,MEX,0.10154905335628227,0.819427177592647
2120,SVN,SVK,0.0958904109589041,0.876513687103805
1387,IRL,VEN,0.09526525955504848,0.8105669152329111
1997,POL,VEN,0.09339407744874716,0.7967870317588157
280,BGD,IND,0.09215017064846416,0.8091069318428232
546,BWA,SEN,0.08843537414965986,0.8279900090714092
1785,MYS,ROU,0.0847457627118644,0.8060491562065312
2207,VEN,ZWE,0.08413325804630152,0.8384373578874253
2201,USA,VEN,0.07623318385650224,0.8137842950599312
2102,SWE,VEN,0.067853170189099,0.7554457676399782
732,CHN,FRA,0.06077348066298342,0.7615446608465244
2210,ZAF,ZWE,0.059602649006622516,0.7446521875276392
1261,GRC,VEN,0.05843439911797133,0.7503896733305244
2116,SGP,VEN,0.054945054945054944,0.7781803932169292
2209,VNM,ZWE,0.053208996160175534,0.776470817328924
444,BRA,CHL,0.03952355170546833,0.8632902677435219
2051,SRB,UKR,0.03896103896103896,0.8299951374545016
1424,ISR,UKR,0.03170338527673294,0.8168168506289935
354,BEL,NLD,0.027837259100642397,0.8431096319559827
1536,JPN,TWN,0.027287319422150885,0.813908408325083
2138,SVK,UKR,0.026189203634420097,0.8113791921826738
196,AUS,BEL,0.02454642475987193,0.795583485280753
1501,ITA,UKR,0.024,0.8189803176932631
75,ARG,CHL,0.022364217252396165,0.8196160003314013
701,CHL,PER,0.021820117083555083,0.8374225361861194
923,CZE,SVK,0.02073365231259968,0.7992657436291727
1837,NGA,PAK,0.020191285866099893,0.8127368070456378
2168,TUR,UKR,0.01910828025477707,0.7719102698326561
805,COL,NGA,0.01910828025477707,0.8292628137712439
1729,MAR,SAU,0.01856763925729443,0.8031332456787904
143,AUT,CZE,0.018027571580063628,0.8329438425201056
1643,LBN,UKR,0.017488076311605722,0.8248165040762055
1676,LTU,UKR,0.017488076311605722,0.8116438916357196
1295,HUN,SVK,0.017488076311605722,0.7965237979890797
632,CHE,ITA,0.01694915254237288,0.7983653035042972
1935,PHL,PAK,0.015873015873015872,0.7489172115553809
2157,THA,TWN,0.014799154334038054,0.7570799924295925
1963,PAK,SAU,0.014799154334038054,0.8025809094729819
1825,NAM,TZA,0.014263074484944533,0.7826482951742793
2082,SAU,TWN,0.013727560718057022,0.7915065057430355
559,CAN,CHL,0.012658227848101266,0.8064226291414484
2175,TWN,TZA,0.012658227848101266,0.784020091875284
1209,GHA,SEN,0.012124406958355299,0.8106842151207937
1912,PER,PAK,0.011058451816745656,0.7664422341575757
1025,EGY,TUR,0.008933263268523384,0.7195341144171173
1614,KOR,ZAF,0.008403361344537815,0.732033601596792
1879,NLD,UKR,0.008403361344537815,0.7727864123785988
2014,PRT,UKR,0.007874015748031496,0.7869340219195936
2193,UKR,VNM,0.007874015748031496,0.6522918374960499
1045,ETH,JPN,0.007345225603357817,0.798895648870728
2183,TZA,UKR,0.0068169900367068695,0.7784126066434881
422,BGR,SRB,0.0068169900367068695,0.7667485345968483
2068,RUS,UKR,0.005235602094240838,0.8123134592762459
1551,KEN,MYS,0.004709576138147566,0.6291084253797745
1690,LVA,PER,0.004709576138147566,0.8446645247269087
25,ARE,ISR,0.0041841004184100415,0.776519183350365
1896,NOR,SGP,0.0041841004184100415,0.6441170665618899
868,CUB,SAU,0.0036591740721380033,0.7932886250986801
2196,UGA,USA,0.0036591740721380033,0.6247279071102307
1138,GBR,JPN,0.0,0.0
