,c1,c2,jac,cos
1334,IDN,IND,0.158021712907117,0.9093856883657799
1316,HUN,SWE,0.1559301625526791,0.8705133094253776
1278,GRC,TUR,0.14558472553699284,0.8828553347461412
1565,JPN,TUR,0.1267605633802817,0.8547288320670836
2058,POL,TUR,0.10344827586206896,0.8432026019561586
1092,ETH,TUR,0.09839816933638444,0.8160088329695706
2163,SWE,TUR,0.09401709401709402,0.8452108653310186
2187,SVN,SVK,0.09401709401709402,0.9216793059368902
529,BWA,KEN,0.08967082860385925,0.8122424333924476
402,BGR,GRC,0.0890527509926262,0.8122955191460728
1803,MEX,TUR,0.08108108108108109,0.8210954132483911
133,AUT,AUS,0.07023411371237458,0.9090074624600925
1673,LBN,TUR,0.07023411371237458,0.7856158177718058
1590,KEN,POL,0.06963788300835655,0.7837539648610685
1772,MAR,TUR,0.061946902654867256,0.8017606526916466
76,ARG,CHL,0.055525013743815285,0.8928978904931152
2241,TUR,ZWE,0.05378704720087816,0.754801193451499
2148,SAU,TUR,0.0457516339869281,0.7658170579248095
1710,LTU,UKR,0.045182362547632006,0.8536352320544752
843,COL,VEN,0.04008667388949079,0.8821952073827868
504,BRA,VEN,0.03559870550161812,0.8476683148866739
1637,KOR,THA,0.03504043126684636,0.8270934464374758
203,AUS,CAN,0.033925686591276254,0.858659594929623
2111,SRB,SVN,0.030595813204508857,0.8231784785429955
302,BGD,PAK,0.029490616621983913,0.8359157156299221
582,CAN,IRL,0.029490616621983913,0.8500566191266589
2259,UKR,VEN,0.028938906752411574,0.830363588081083
896,CUB,VEN,0.027287319422150885,0.8115384232988996
2276,VNM,ZWE,0.02564102564102564,0.7242254087417968
2093,ROU,SVN,0.02564102564102564,0.8293474241685362
954,DEU,FRA,0.025093432995194873,0.8673542845798191
1129,FRA,PRT,0.024,0.8797090295996489
1893,NGA,UKR,0.024,0.7747169884146514
734,CHL,VEN,0.024,0.8431852093841951
1406,IRL,THA,0.023454157782515993,0.7890204797023138
1421,ISR,KOR,0.02290889717634523,0.7885517293737742
1516,ITA,PRT,0.022364217252396165,0.8327522632801851
2249,TWN,ZWE,0.021820117083555083,0.7299058400302149
1939,NOR,SVN,0.02127659574468085,0.818788683669707
2227,THA,UGA,0.02073365231259968,0.7760888571208211
2135,RUS,UKR,0.02073365231259968,0.8958559953693779
1011,EGY,ISR,0.020191285866099893,0.7976076491691582
2068,PRT,ROU,0.020191285866099893,0.8464189191712513
756,CHN,KOR,0.01964949548592671,0.8362474507763894
2036,PAK,THA,0.01910828025477707,0.8095168490017702
1475,IND,PAK,0.01856763925729443,0.7879565793392157
655,CHE,NOR,0.01641079936474325,0.7948076708127655
2176,SGP,THA,0.01641079936474325,0.8184330859081939
25,ARE,ISR,0.01641079936474325,0.7657521738116009
2014,PHL,THA,0.015873015873015872,0.7661507844743093
2217,SEN,UGA,0.014799154334038054,0.7655461907509735
1154,GBR,IRL,0.014263074484944533,0.8331805180870864
2205,SVK,UKR,0.014263074484944533,0.7898274208656878
2256,TZA,ZWE,0.013727560718057022,0.7426500583909147
1824,MYS,SRB,0.013192612137203167,0.7927767613928491
1866,NAM,UGA,0.012658227848101266,0.7796153449112395
1723,LVA,NOR,0.011591148577449948,0.7465417547492809
945,CZE,UKR,0.00946372239747634,0.8166841231872001
2264,UGA,VEN,0.00946372239747634,0.7627210044062678
1922,NLD,USA,0.008403361344537815,0.8775632192639627
373,BEL,SVN,0.005762179151388162,0.8553138142479834
1222,GHA,PRT,0.004709576138147566,0.8574055880990507
1953,NZL,PER,0.0041841004184100415,0.7761992302907601
2274,VEN,ZWE,0.0041841004184100415,0.6590872051319817
1993,PER,TWN,0.0036591740721380033,0.6921850482999732
2268,USA,VEN,0.003134796238244514,0.8387880974126001
2277,ZAF,ZWE,0.0026109660574412533,0.7034054801339809
