,c1,c2,jac,cos
831,COL,NAM,0.21982210927573062,0.8841305310613667
1921,NAM,SRB,0.16363636363636364,0.8505952257595781
1526,IND,ITA,0.14832535885167464,0.8314308657493983
1218,GHA,GRC,0.14421930870083433,0.8514344906119069
1670,KEN,TUR,0.1408199643493761,0.8282905965636987
2048,PER,POL,0.1394658753709199,0.7950409433369998
1627,JPN,SWE,0.13676731793960922,0.831325263585759
1567,ITA,KEN,0.12874779541446207,0.8210114518315715
1301,GRC,TUR,0.12018669778296383,0.7914585262704522
2231,SWE,TUR,0.119533527696793,0.7971772455721722
1775,LTU,TUR,0.10790536641661858,0.8105094030356568
2126,POL,TUR,0.1047180667433832,0.7721320188101138
541,BWA,LTU,0.09902690326273612,0.7795564786920365
135,AUT,AUS,0.08720271800679502,0.8637864674357405
1208,GBR,TUR,0.07142857142857142,0.743879804975538
2305,TUR,USA,0.06844741235392321,0.7483211156366344
2188,SRB,USA,0.06725958866036687,0.7107038431266874
1457,IRL,NLD,0.054365733113673806,0.8341672200920186
2014,NOR,UKR,0.04975396391470749,0.8512121228654335
696,CHL,CZE,0.045182362547632006,0.8568097461003343
2024,NZL,POL,0.04461371055495103,0.6859151704412375
2203,RUS,UKR,0.03504043126684636,0.8513210665753229
786,CHN,ROU,0.03170338527673294,0.8308110425889174
2168,ROU,UKR,0.030042918454935622,0.847311081320613
19,ARE,GBR,0.027837259100642397,0.6621189950445434
2338,USA,ZAF,0.02564102564102564,0.6924480999042637
1940,NGA,NLD,0.02564102564102564,0.7718147890531062
386,BEL,UKR,0.025093432995194873,0.8271115183972857
1818,MAR,MEX,0.02454642475987193,0.8207955596295353
2273,SVK,UKR,0.02127659574468085,0.844236930220359
1056,EGY,SGP,0.02073365231259968,0.7880240828039593
1152,FRA,RUS,0.01910828025477707,0.8144456440107868
2255,SVN,SVK,0.01910828025477707,0.8184223091460883
1731,LBN,ROU,0.01856763925729443,0.8477997491517839
1402,IDN,IND,0.018027571580063628,0.6851684026334379
1490,ISR,LBN,0.017488076311605722,0.8188877043766445
2095,PAK,ROU,0.01641079936474325,0.830315364582733
1969,NLD,NZL,0.015873015873015872,0.6890027057105991
2293,THA,TZA,0.015873015873015872,0.7930936886201942
2144,PRT,SEN,0.015335801163405606,0.8090243758526752
396,BGR,CHE,0.014799154334038054,0.7956188050483125
2078,PHL,SGP,0.014799154334038054,0.7636516238631194
643,CHE,FRA,0.014799154334038054,0.805834143435718
238,AUS,NLD,0.014799154334038054,0.8026442653676445
115,ARG,ROU,0.013727560718057022,0.8315591947096697
2313,TWN,USA,0.013727560718057022,0.7056852321115938
2340,VEN,VNM,0.012124406958355299,0.8412608662231419
1798,LVA,ROU,0.011591148577449948,0.8087819715961935
297,BGD,MAR,0.011591148577449948,0.8100705889233798
603,CAN,MEX,0.011591148577449948,0.7494638693525895
474,BRA,ISR,0.011058451816745656,0.7549646467984004
2222,SAU,VEN,0.010526315789473684,0.7988546247482932
951,CZE,SAU,0.009994739610731194,0.7830034657185766
1007,DEU,SVK,0.009994739610731194,0.8044379437952403
914,CUB,ZWE,0.00946372239747634,0.8206316038011442
1318,HKG,KEN,0.008933263268523384,0.6992993349136292
1110,ETH,THA,0.008403361344537815,0.7870289057707495
2287,SEN,VEN,0.007874015748031496,0.7904098574271958
1863,MEX,RUS,0.007345225603357817,0.7746200317269022
2247,SGP,TZA,0.007345225603357817,0.7378905022641903
1696,KOR,ROU,0.0068169900367068695,0.8068386363440025
1891,MYS,ROU,0.0068169900367068695,0.8826947682941155
2344,VNM,ZWE,0.006289308176100629,0.8478225962645854
2329,UKR,ZAF,0.006289308176100629,0.6580767457991228
2318,TZA,UKR,0.006289308176100629,0.7467859985157761
1399,HUN,ZWE,0.005235602094240838,0.7713225950523354
2335,UGA,ZWE,0.0036591740721380033,0.753121755711959
2345,ZAF,ZWE,0.0020876826722338203,0.6685801246973221
