,c1,c2,jac,cos
0,ARE,ARG,0.001564945226917058,0.7217166751106919
1,ARE,AUT,0.003134796238244514,0.6970231799291704
2,ARE,AUS,0.001564945226917058,0.7040825507186006
3,ARE,BGD,0.0041841004184100415,0.6943459050289953
4,ARE,BEL,0.0036591740721380033,0.6679266546673289
5,ARE,BGR,0.001564945226917058,0.7390128709942403
6,ARE,BRA,0.0010427528675703858,0.6836708125727586
7,ARE,BWA,0.014263074484944533,0.6706970868868753
8,ARE,CAN,0.003134796238244514,0.7058062765401764
9,ARE,CHE,0.0010427528675703858,0.730468590271187
10,ARE,CHL,0.0010427528675703858,0.639507156217689
11,ARE,CHN,0.0036591740721380033,0.7217105307835255
12,ARE,COL,0.012124406958355299,0.6694588799216383
13,ARE,CUB,0.003134796238244514,0.7311578168162649
14,ARE,CZE,0.001564945226917058,0.6717248151559935
15,ARE,DEU,0.0,0.6809489978373977
16,ARE,EGY,0.011591148577449948,0.7623623122606789
17,ARE,ETH,0.009994739610731194,0.7788037838538249
18,ARE,FRA,0.0026109660574412533,0.7158466195675991
19,ARE,GBR,0.01910828025477707,0.6945595352519266
20,ARE,GHA,0.013192612137203167,0.6948075839391312
21,ARE,GRC,0.014799154334038054,0.6650501899037582
22,ARE,HKG,0.001564945226917058,0.7529077266117259
23,ARE,HUN,0.001564945226917058,0.644546317109861
24,ARE,IDN,0.0036591740721380033,0.710919898849796
25,ARE,IRL,0.0036591740721380033,0.7139623262760437
26,ARE,ISR,0.004709576138147566,0.7169218175614418
27,ARE,IND,0.015335801163405606,0.7469302867793127
28,ARE,ITA,0.01641079936474325,0.7159084634420302
29,ARE,JPN,0.01856763925729443,0.693145539404698
30,ARE,KEN,0.014263074484944533,0.6911833904800039
31,ARE,KOR,0.0041841004184100415,0.7105932473172397
32,ARE,LBN,0.0041841004184100415,0.7277667598343045
33,ARE,LTU,0.00946372239747634,0.6621329485782019
34,ARE,LVA,0.0036591740721380033,0.6384129606916733
35,ARE,MAR,0.0041841004184100415,0.7377906929330529
36,ARE,MEX,0.001564945226917058,0.6856675258012652
37,ARE,MYS,0.001564945226917058,0.7535311400744638
38,ARE,NAM,0.01694915254237288,0.6855728716324309
39,ARE,NGA,0.0026109660574412533,0.6624745156983481
40,ARE,NLD,0.0010427528675703858,0.66620356733363
41,ARE,NOR,0.003134796238244514,0.684792184562301
42,ARE,NZL,0.017488076311605722,0.7132375777111327
43,ARE,PER,0.013727560718057022,0.6859217375861489
44,ARE,PHL,0.001564945226917058,0.7036391764209678
45,ARE,PAK,0.005762179151388162,0.7490235397341264
46,ARE,POL,0.012658227848101266,0.6516237235814982
47,ARE,PRT,0.0036591740721380033,0.6918743227946826
48,ARE,ROU,0.0020876826722338203,0.6763688892590994
49,ARE,SRB,0.01641079936474325,0.6785234716111243
50,ARE,RUS,0.001564945226917058,0.7207298987589398
51,ARE,SAU,0.013727560718057022,0.7860930947704461
52,ARE,SWE,0.015873015873015872,0.6670263321417078
53,ARE,SGP,0.0026109660574412533,0.6601397434428975
54,ARE,SVN,0.0010427528675703858,0.7050613926938251
55,ARE,SVK,0.001564945226917058,0.6749358742452262
56,ARE,SEN,0.001564945226917058,0.6807099132496137
57,ARE,THA,0.005235602094240838,0.7279374672652691
58,ARE,TUR,0.02290889717634523,0.7077781279327493
59,ARE,TWN,0.0041841004184100415,0.7096540461270985
60,ARE,TZA,0.0020876826722338203,0.6512497035104873
61,ARE,UKR,0.001564945226917058,0.6849652047832616
62,ARE,UGA,0.0005211047420531526,0.6600644831460781
63,ARE,USA,0.01694915254237288,0.7086864707290325
64,ARE,VEN,0.003134796238244514,0.6829188170313809
65,ARE,VNM,0.0020876826722338203,0.7362722825549781
66,ARE,ZAF,0.020191285866099893,0.7126842262841506
67,ARE,ZWE,0.0020876826722338203,0.7503100767042427
68,ARG,AUT,0.0026109660574412533,0.7739320141772424
69,ARG,AUS,0.007345225603357817,0.7939652821025321
70,ARG,BGD,0.004709576138147566,0.7653086237879368
71,ARG,BEL,0.004709576138147566,0.7694631370176929
72,ARG,BGR,0.003134796238244514,0.7761103004941675
73,ARG,BRA,0.01641079936474325,0.8044475748445827
74,ARG,BWA,0.001564945226917058,0.6801411795946031
75,ARG,CAN,0.0068169900367068695,0.810313864685412
76,ARG,CHE,0.00946372239747634,0.8114440213828196
77,ARG,CHL,0.02073365231259968,0.8081122428116531
78,ARG,CHN,0.007345225603357817,0.801410999216057
79,ARG,COL,0.006289308176100629,0.6833040316670738
80,ARG,CUB,0.003134796238244514,0.8086447971736
81,ARG,CZE,0.0036591740721380033,0.7629406131992305
82,ARG,DEU,0.0010427528675703858,0.7456759678002431
83,ARG,EGY,0.0020876826722338203,0.7564234795567887
84,ARG,ETH,0.001564945226917058,0.7717949122062384
85,ARG,FRA,0.0036591740721380033,0.8140107044934778
86,ARG,GBR,0.001564945226917058,0.6467903715259307
87,ARG,GHA,0.0020876826722338203,0.6479707115596413
88,ARG,GRC,0.0020876826722338203,0.621912341719571
89,ARG,HKG,0.0010427528675703858,0.823944011043694
90,ARG,HUN,0.001564945226917058,0.7354649632062914
91,ARG,IDN,0.009994739610731194,0.7894862152802735
92,ARG,IRL,0.0036591740721380033,0.776728330543654
93,ARG,ISR,0.001564945226917058,0.7243888295054925
94,ARG,IND,0.0036591740721380033,0.6769573526556509
95,ARG,ITA,0.0041841004184100415,0.6697233609765445
96,ARG,JPN,0.003134796238244514,0.6639570432902806
97,ARG,KEN,0.0036591740721380033,0.6618712664250231
98,ARG,KOR,0.0026109660574412533,0.7785969294562589
99,ARG,LBN,0.003134796238244514,0.7681959707078537
100,ARG,LTU,0.0026109660574412533,0.6345588248076706
101,ARG,LVA,0.0041841004184100415,0.7401888259761502
102,ARG,MAR,0.0026109660574412533,0.7906257067665343
103,ARG,MEX,0.01856763925729443,0.8135140893302869
104,ARG,MYS,0.001564945226917058,0.810123806626214
105,ARG,NAM,0.0036591740721380033,0.6791024818217078
106,ARG,NGA,0.005235602094240838,0.7370460839780492
107,ARG,NLD,0.00946372239747634,0.7821590057878225
108,ARG,NOR,0.006289308176100629,0.7778969049471082
109,ARG,NZL,0.005235602094240838,0.683712953007848
110,ARG,PER,0.006289308176100629,0.7050767056259925
111,ARG,PHL,0.003134796238244514,0.7700744505650334
112,ARG,PAK,0.005762179151388162,0.7727779625816901
113,ARG,POL,0.0026109660574412533,0.6475037902763244
114,ARG,PRT,0.005235602094240838,0.7878647271063113
115,ARG,ROU,0.0041841004184100415,0.7566672687513482
116,ARG,SRB,0.0026109660574412533,0.6536831706875111
117,ARG,RUS,0.0010427528675703858,0.7988511898215961
118,ARG,SAU,0.0010427528675703858,0.7466300550768584
119,ARG,SWE,0.003134796238244514,0.6590061249194017
120,ARG,SGP,0.006289308176100629,0.7735086366234037
121,ARG,SVN,0.0020876826722338203,0.7867321106771423
122,ARG,SVK,0.005235602094240838,0.7578854953975286
123,ARG,SEN,0.003134796238244514,0.7791970281096857
124,ARG,THA,0.0036591740721380033,0.7814584692843767
125,ARG,TUR,0.0026109660574412533,0.6384382026558788
126,ARG,TWN,0.005762179151388162,0.7763542196950973
127,ARG,TZA,0.0068169900367068695,0.7385230955523229
128,ARG,UKR,0.0041841004184100415,0.747962537889591
129,ARG,UGA,0.0041841004184100415,0.7579544877423466
130,ARG,USA,0.0020876826722338203,0.6412397354710274
131,ARG,VEN,0.01694915254237288,0.8138033319940251
132,ARG,VNM,0.005235602094240838,0.8083239771356605
133,ARG,ZAF,0.0026109660574412533,0.6850671241113082
134,ARG,ZWE,0.004709576138147566,0.824063355828138
135,AUT,AUS,0.02290889717634523,0.8261661084537707
136,AUT,BGD,0.003134796238244514,0.7530018971290475
137,AUT,BEL,0.014799154334038054,0.795254352218947
138,AUT,BGR,0.011591148577449948,0.8277319536206393
139,AUT,BRA,0.006289308176100629,0.7473620931226095
140,AUT,BWA,0.0020876826722338203,0.6682826035216967
141,AUT,CAN,0.00946372239747634,0.7935973394676952
142,AUT,CHE,0.04689203925845147,0.8844165946242801
143,AUT,CHL,0.007874015748031496,0.750163237623335
144,AUT,CHN,0.003134796238244514,0.686474254826194
145,AUT,COL,0.0010427528675703858,0.6325968486969678
146,AUT,CUB,0.0005211047420531526,0.7794191250760647
147,AUT,CZE,0.03170338527673294,0.8482243960519666
148,AUT,DEU,0.012124406958355299,0.8016582881005725
149,AUT,EGY,0.012124406958355299,0.8056137698111115
150,AUT,ETH,0.0020876826722338203,0.7393335021450612
151,AUT,FRA,0.01641079936474325,0.8404755782003532
152,AUT,GBR,0.005235602094240838,0.677682294515192
153,AUT,GHA,0.0020876826722338203,0.6428120400811108
154,AUT,GRC,0.0020876826722338203,0.6471372131525275
155,AUT,HKG,0.0020876826722338203,0.7898525649377938
156,AUT,HUN,0.0020876826722338203,0.7399990443505339
157,AUT,IDN,0.0020876826722338203,0.7197675710940317
158,AUT,IRL,0.013727560718057022,0.8064629737313651
159,AUT,ISR,0.012124406958355299,0.79946383715685
160,AUT,IND,0.001564945226917058,0.6597168918349336
161,AUT,ITA,0.0041841004184100415,0.6665788802339667
162,AUT,JPN,0.0041841004184100415,0.6611945694867608
163,AUT,KEN,0.001564945226917058,0.6331507397027145
164,AUT,KOR,0.0010427528675703858,0.7284321858142621
165,AUT,LBN,0.001564945226917058,0.7482598421069925
166,AUT,LTU,0.0005211047420531526,0.6638919760338137
167,AUT,LVA,0.007345225603357817,0.750835459156583
168,AUT,MAR,0.007874015748031496,0.7851985934934533
169,AUT,MEX,0.007874015748031496,0.7604422379409101
170,AUT,MYS,0.0010427528675703858,0.8058614079868598
171,AUT,NAM,0.0020876826722338203,0.6368851956205022
172,AUT,NGA,0.0020876826722338203,0.7052001632425453
173,AUT,NLD,0.018027571580063628,0.8011205263491734
174,AUT,NOR,0.014263074484944533,0.7987828044767085
175,AUT,NZL,0.005235602094240838,0.6883546027433688
