,c1,c2,jac,cos
1526,IND,ITA,0.14285714285714285,0.8747841614931178
1595,ITA,TUR,0.1334120425029516,0.8631211001197804
1301,GRC,TUR,0.11239860950173812,0.8235621548377585
1227,GHA,KEN,0.10726643598615918,0.821254862112716
2305,TUR,USA,0.10218140068886337,0.8210360458910122
1213,GBR,USA,0.09401709401709402,0.7983209462086767
1633,JPN,TUR,0.09339407744874716,0.8203023705395727
2236,SWE,USA,0.08967082860385925,0.797796451497402
820,COL,IND,0.08967082860385925,0.8181228922549513
1655,KEN,PER,0.08413325804630152,0.7824601608712898
1775,LTU,TUR,0.08413325804630152,0.8013920370049076
2183,SRB,TUR,0.07925801011804384,0.7925430261129287
2126,POL,TUR,0.07925801011804384,0.7886458038166293
2065,PER,USA,0.07744107744107744,0.7946114425662996
2041,NZL,USA,0.07202680067001675,0.7867753186184558
2255,SVN,SVK,0.054945054945054944,0.8929147690498459
538,BWA,KEN,0.05378704720087816,0.7587809754269723
142,AUT,CHE,0.04689203925845147,0.8844165946242801
955,CZE,SVK,0.04689203925845147,0.8584295956520679
206,AUS,CAN,0.0457516339869281,0.8612193614528132
2338,USA,ZAF,0.045182362547632006,0.7437927722681873
1914,NAM,NZL,0.04404567699836868,0.7336564612259878
576,CAN,CHE,0.03952355170546833,0.8629665936161589
797,CHN,TWN,0.034482758620689655,0.853562053279021
1029,EGY,ISR,0.030042918454935622,0.8351237520982094
639,CHE,CZE,0.030042918454935622,0.860232179551473
435,BGR,ROU,0.028387787895018748,0.8499473538621728
1519,ISR,UKR,0.027287319422150885,0.8456664064650039
2162,ROU,SVK,0.023454157782515993,0.8398452218760317
718,CHL,MEX,0.023454157782515993,0.8022900642994788
58,ARE,TUR,0.02290889717634523,0.7077781279327493
458,BRA,CHL,0.02127659574468085,0.8007793291633598
2315,TWN,VNM,0.02073365231259968,0.8282509110987903
77,ARG,CHL,0.02073365231259968,0.8081122428116531
2098,PAK,SAU,0.02073365231259968,0.8072922500220725
2203,RUS,UKR,0.02073365231259968,0.8808370663535809
2136,PRT,ROU,0.01964949548592671,0.819665206926965
2298,THA,VNM,0.01910828025477707,0.8506184595895636
1443,IRL,ISR,0.01910828025477707,0.7990613165935024
1968,NLD,NOR,0.017488076311605722,0.7881711185752109
365,BEL,NLD,0.01694915254237288,0.7982478578233829
1734,LBN,SAU,0.015335801163405606,0.8105392558720377
1805,LVA,SVK,0.014263074484944533,0.7766513402645717
1877,MEX,VEN,0.014263074484944533,0.77189382178434
1149,FRA,PRT,0.013192612137203167,0.8455621778640439
2001,NOR,ROU,0.013192612137203167,0.7879655272881428
2273,SVK,UKR,0.013192612137203167,0.841066731496297
2244,SGP,THA,0.012658227848101266,0.7811252333477411
1818,MAR,MEX,0.012658227848101266,0.8294862266184501
1940,NGA,NLD,0.012124406958355299,0.7445321430942445
1092,ETH,NGA,0.011591148577449948,0.760377549502758
1434,IDN,TWN,0.011058451816745656,0.7837248820198326
2217,SAU,TWN,0.009994739610731194,0.7586462424224196
310,BGD,ROU,0.009994739610731194,0.7979583516159623
2082,PHL,THA,0.009994739610731194,0.7921699936915894
2327,UKR,VEN,0.00946372239747634,0.7881863361520077
2340,VEN,VNM,0.007874015748031496,0.7753037796317325
2322,TZA,VNM,0.0068169900367068695,0.7698833541842578
2345,ZAF,ZWE,0.005762179151388162,0.7121207311409863
977,DEU,IRL,0.005235602094240838,0.7662851266712394
1715,KOR,ZWE,0.005235602094240838,0.8103042253406554
1894,MYS,SAU,0.004709576138147566,0.8138056029965378
2344,VNM,ZWE,0.004709576138147566,0.8322023755971515
912,CUB,VNM,0.004709576138147566,0.8096192690602801
1347,HKG,TWN,0.004709576138147566,0.8346518277220514
1386,HUN,SVN,0.0041841004184100415,0.7783593939936222
2281,SEN,TUR,0.0041841004184100415,0.6525934952405844
2333,UGA,VNM,0.0026109660574412533,0.7643118308838367
