,c1,c2,jac,cos
1800,NLD,PRT,0.2782956058588549,0.9612028399188164
2067,SVN,SVK,0.2749003984063745,0.9472899731038013
2019,RUS,UKR,0.18665018541409148,0.9518880134828288
1190,GRC,TUR,0.1552346570397112,0.9473722388600555
1222,HUN,PRT,0.14353782013103036,0.9307950989843614
706,CHN,TWN,0.11563044741429401,0.9174376445322402
900,DEU,PRT,0.11498257839721254,0.9154894080323627
1963,PRT,SEN,0.10599078341013825,0.889805204703944
2111,TUR,UKR,0.09028960817717206,0.8935903017380054
288,BEL,NLD,0.08781869688385269,0.9285802360042864
2090,SEN,THA,0.0847457627118644,0.8782866728281261
1135,GHA,PRT,0.0829103214890017,0.85330557119224
640,CHL,PRT,0.0829103214890017,0.8686059598752507
152,AUS,IND,0.07262569832402235,0.9042889523292701
567,CHE,JPN,0.07083100948131622,0.8953773998891437
45,ARG,PRT,0.06135986733001658,0.8846553745461873
1584,LTU,LVA,0.059602649006622516,0.8582967277295622
78,AUT,DEU,0.056105610561056105,0.8815319634221829
378,BRA,CHL,0.05263157894736842,0.8676308273127658
1997,SRB,SVK,0.052054794520547946,0.8251972062717032
850,CZE,PRT,0.04689203925845147,0.8268631023928719
1881,PER,SEN,0.04632152588555858,0.8715335438057883
1725,MYS,SGP,0.0457516339869281,0.8681873410813717
1453,JPN,NOR,0.043478260869565216,0.8638911958708932
764,COL,VEN,0.042911461162411735,0.8711068317067149
1949,POL,UKR,0.04234527687296417,0.8477679682809125
949,EGY,PRT,0.041779706999457406,0.8550375237661975
2104,THA,UGA,0.03952355170546833,0.8488878979388352
972,ETH,GRC,0.03896103896103896,0.8181609650972365
1376,IND,NGA,0.03783783783783784,0.8913278484844932
1037,FRA,NLD,0.03783783783783784,0.8775925267361789
1533,KOR,RUS,0.03615758229897464,0.8438733047430248
1825,NOR,PRT,0.034482758620689655,0.8304186567537708
2059,SGP,TWN,0.034482758620689655,0.8234075305065642
1760,NAM,TZA,0.033925686591276254,0.8053553264094858
788,CUB,MEX,0.033925686591276254,0.89687261410481
2084,SVK,UKR,0.03336921420882669,0.792582100385278
1266,IDN,SRB,0.03225806451612903,0.828267497482752
1068,GBR,IRL,0.03170338527673294,0.8728640729237775
495,CAN,COL,0.03170338527673294,0.8911439209715729
2132,UKR,VEN,0.030042918454935622,0.8073246070715693
1789,NGA,UGA,0.030042918454935622,0.8427688057039261
225,BGD,NAM,0.028938906752411574,0.7906528726775998
1568,LBN,SAU,0.028938906752411574,0.8775223137744902
1624,LVA,NZL,0.028387787895018748,0.8254699729295255
1894,PHL,PRT,0.027837259100642397,0.8158809140007096
2117,TWN,TZA,0.027287319422150885,0.713617463787184
1664,MAR,SAU,0.026737967914438502,0.8594715284191475
1348,ISR,RUS,0.026189203634420097,0.8679178713476917
1682,MEX,NGA,0.02564102564102564,0.8675603096609965
1991,ROU,ZWE,0.02290889717634523,0.7740350248760554
1855,NZL,SGP,0.022364217252396165,0.8322265513413634
1486,KEN,NAM,0.022364217252396165,0.7735357033239825
342,BGR,LVA,0.02073365231259968,0.8227834101435031
1300,IRL,NZL,0.01964949548592671,0.8267261124515887
485,BWA,TZA,0.01910828025477707,0.7933738461604037
2143,VEN,ZWE,0.018027571580063628,0.746087428439672
2136,UGA,VEN,0.018027571580063628,0.8058335584384595
2125,TZA,UGA,0.017488076311605722,0.8203399460792491
2025,SAU,SWE,0.01694915254237288,0.8598853418133403
1409,ITA,LVA,0.015873015873015872,0.8106983350951331
2139,USA,VEN,0.014799154334038054,0.8064006329793335
1920,PAK,SWE,0.014263074484944533,0.8439028427887196
2045,SWE,TUR,0.011591148577449948,0.8206056009900004
2144,VNM,ZWE,0.010526315789473684,0.6950407466701957
