,c1,c2,jac,cos
0,ARG,AUT,0.09839816933638444,0.7823873341036383
1,ARG,AUS,0.2774451097804391,0.9289097920357628
2,ARG,BGD,0.0041841004184100415,0.7444426847975044
3,ARG,BEL,0.09902690326273612,0.762672409567374
4,ARG,BGR,0.061946902654867256,0.7641571370943359
5,ARG,BRA,0.006289308176100629,0.6929398581918178
6,ARG,BWA,0.07502799552071669,0.7598109761814876
7,ARG,CAN,0.20830711139081184,0.8994290812825393
8,ARG,CHE,0.06548279689234185,0.7599824533993409
9,ARG,CHL,0.0020876826722338203,0.612226663566914
10,ARG,CHN,0.20906801007556675,0.9107748931464095
11,ARG,COL,0.2475633528265107,0.9364710539176132
12,ARG,CUB,0.007874015748031496,0.7023354028050445
13,ARG,CZE,0.045182362547632006,0.7221919735537129
14,ARG,DEU,0.10218140068886337,0.7826477322149795
15,ARG,EGY,0.10790536641661858,0.8107819042473047
16,ARG,ETH,0.0041841004184100415,0.6733016612708912
17,ARG,FRA,0.005235602094240838,0.6417914454736641
18,ARG,GBR,0.001564945226917058,0.6128727096311164
19,ARG,GHA,0.10535405872193437,0.8096129461140441
20,ARG,GRC,0.11304347826086956,0.7883128502513439
21,ARG,HUN,0.08720271800679502,0.7720816350839501
22,ARG,IDN,0.14695340501792115,0.8660595835189142
23,ARG,IRL,0.004709576138147566,0.7174371108425388
24,ARG,ISR,0.20603015075376885,0.8969759840164773
25,ARG,IND,0.16152450090744103,0.8837274793229749
26,ARG,ITA,0.07083100948131622,0.746472872937739
27,ARG,JPN,0.005235602094240838,0.6652832706082015
28,ARG,KEN,0.20225422667501566,0.889242365421039
29,ARG,KOR,0.03727714748784441,0.7752422818787881
30,ARG,LBN,0.0847457627118644,0.7706529263581531
31,ARG,LTU,0.042911461162411735,0.7135251851452572
32,ARG,LVA,0.11239860950173812,0.8178710002495926
33,ARG,MAR,0.11046847888953153,0.8198699180885227
34,ARG,MEX,0.014263074484944533,0.7450445680043607
35,ARG,MYS,0.15315315315315314,0.877673734210909
36,ARG,NAM,0.09277177006260671,0.8115488430874399
37,ARG,NGA,0.2,0.9105751277891944
38,ARG,NLD,0.09651627641347801,0.7888579838342703
39,ARG,NOR,0.09401709401709402,0.7737788800938643
40,ARG,PER,0.006289308176100629,0.6698042093426456
41,ARG,PHL,0.08413325804630152,0.7781565389525729
42,ARG,PAK,0.14763897190675435,0.8841863948824341
43,ARG,POL,0.005762179151388162,0.7133448629190018
44,ARG,PRT,0.0041841004184100415,0.6258141372955084
45,ARG,ROU,0.003134796238244514,0.7324975459997947
46,ARG,SRB,0.0026109660574412533,0.6867749251422373
47,ARG,SWE,0.05378704720087816,0.7508877698627249
