,c1,c2,jac,cos
0,ARG,AUT,0.15942028985507245,0.9006485344556828
1,ARG,AUS,0.21904761904761905,0.9425712111742369
2,ARG,BGD,0.0026109660574412533,0.7257931597786001
3,ARG,BEL,0.07023411371237458,0.792123325569858
4,ARG,BGR,0.04461371055495103,0.7644110417874539
5,ARG,BRA,0.003134796238244514,0.6748717447825728
6,ARG,BWA,0.05147864184008762,0.7761718738157742
7,ARG,CAN,0.18445404071560764,0.9149646157636184
8,ARG,CHE,0.06725958866036687,0.7733289288636855
9,ARG,CHL,0.0020876826722338203,0.6130812959774365
10,ARG,CHN,0.12149532710280374,0.8604648604003488
11,ARG,COL,0.07502799552071669,0.8177829723458707
12,ARG,CUB,0.0010427528675703858,0.7044971941709071
13,ARG,CZE,0.053208996160175534,0.7806771103441229
14,ARG,DEU,0.07142857142857142,0.8032248319667962
15,ARG,EGY,0.07744107744107744,0.7901264892878187
16,ARG,ETH,0.0005211047420531526,0.6778009120086523
17,ARG,FRA,0.0005211047420531526,0.6373424125760999
18,ARG,GBR,0.0010427528675703858,0.6097042812782552
19,ARG,GHA,0.061946902654867256,0.7952933817597094
20,ARG,GRC,0.0738255033557047,0.7893424245094076
21,ARG,HUN,0.048034934497816595,0.773892416021378
22,ARG,IDN,0.05843439911797133,0.8020875421585151
23,ARG,IRL,0.0005211047420531526,0.718983057226109
24,ARG,ISR,0.114335461404527,0.8738838630251768
25,ARG,IND,0.11888111888111888,0.8759450341269716
26,ARG,ITA,0.0798650168728909,0.8191314110353454
27,ARG,JPN,0.0026109660574412533,0.6567858211101503
28,ARG,KEN,0.06725958866036687,0.7909441317282891
29,ARG,KOR,0.02564102564102564,0.7608818207210891
30,ARG,LBN,0.0738255033557047,0.7841125976062394
31,ARG,LTU,0.04632152588555858,0.7550675966343297
32,ARG,LVA,0.054365733113673806,0.792800823808759
33,ARG,MAR,0.08413325804630152,0.8084190585519028
34,ARG,MEX,0.006289308176100629,0.7221579341630324
35,ARG,MYS,0.0457516339869281,0.7658260737650534
36,ARG,NAM,0.08108108108108109,0.8098871778793091
37,ARG,NGA,0.04632152588555858,0.7733224003172727
38,ARG,NLD,0.04689203925845147,0.7548457094993767
39,ARG,NOR,0.06018774157923799,0.789197057709662
40,ARG,PER,0.005235602094240838,0.6934833209408956
41,ARG,PHL,0.07202680067001675,0.8215218090821508
42,ARG,PAK,0.059602649006622516,0.7886027711479099
43,ARG,POL,0.0005211047420531526,0.6984926417453371
44,ARG,PRT,0.0020876826722338203,0.6113251295437901
45,ARG,ROU,0.0010427528675703858,0.7177796312793381
46,ARG,SRB,0.001564945226917058,0.6735705880000928
47,ARG,SWE,0.067853170189099,0.7732951945307323
48,ARG,SGP,0.03727714748784441,0.7349934048159151
49,ARG,SVN,0.04632152588555858,0.7486157135931428
50,ARG,SVK,0.0010427528675703858,0.5983095319816522
51,ARG,SEN,0.07202680067001675,0.7973441253987867
52,ARG,THA,0.07442641298265248,0.8192483602459097
53,ARG,TUR,0.001564945226917058,0.6924573199520434
54,ARG,TWN,0.022364217252396165,0.7342662023252683
55,ARG,TZA,0.014263074484944533,0.7265593916284737
56,ARG,UKR,0.0005211047420531526,0.5916387085247976
57,ARG,UGA,0.004709576138147566,0.6288713090469652
58,ARG,VEN,0.01856763925729443,0.7728531513278888
59,ARG,ZWE,0.04975396391470749,0.7825866325663265
60,AUT,AUS,0.18518518518518517,0.922642503964152
61,AUT,BGD,0.0020876826722338203,0.7085022980324415
62,AUT,BEL,0.0835214446952596,0.8088485254382084
63,AUT,BGR,0.04461371055495103,0.7589790785302638
64,AUT,BRA,0.0020876826722338203,0.6511069535659069
65,AUT,BWA,0.03839913466738778,0.7441529279358186
66,AUT,CAN,0.14353782013103036,0.8911769036101496
67,AUT,CHE,0.07865168539325842,0.8098254130789088
68,AUT,CHL,0.001564945226917058,0.5902563711838693
69,AUT,CHN,0.10599078341013825,0.8614511162972055
70,AUT,COL,0.03952355170546833,0.7600059899803381
71,AUT,CUB,0.001564945226917058,0.6652389850231494
72,AUT,CZE,0.05032822757111598,0.7820161138838146
73,AUT,DEU,0.0865874363327674,0.8458259896845434
74,AUT,EGY,0.06963788300835655,0.7842450566159258
75,AUT,ETH,0.0010427528675703858,0.6874445855689659
76,AUT,FRA,0.0010427528675703858,0.6308206851257961
77,AUT,GBR,0.0005211047420531526,0.6158791639273947
78,AUT,GHA,0.05090311986863711,0.7788737594364092
79,AUT,GRC,0.067853170189099,0.8067732925876371
80,AUT,HUN,0.055525013743815285,0.7949062706381075
81,AUT,IDN,0.04234527687296417,0.7640317764552202
82,AUT,IRL,0.0010427528675703858,0.7173103501154845
83,AUT,ISR,0.1136890951276102,0.8770473519333264
84,AUT,IND,0.09464082098061574,0.8594137279940086
85,AUT,ITA,0.08047270680922904,0.8365660275649807
86,AUT,JPN,0.0026109660574412533,0.6517367394820398
87,AUT,KEN,0.0457516339869281,0.7569169040128768
88,AUT,KOR,0.026189203634420097,0.7649545223386047
89,AUT,LBN,0.07083100948131622,0.7923678666338652
90,AUT,LTU,0.04860731840524304,0.7771013843812755
91,AUT,LVA,0.055525013743815285,0.7930002172638692
92,AUT,MAR,0.08047270680922904,0.8186255007816824
93,AUT,MEX,0.0041841004184100415,0.7015547937755761
94,AUT,MYS,0.03225806451612903,0.7359814261252027
95,AUT,NAM,0.06135986733001658,0.7979243649810391
96,AUT,NGA,0.03504043126684636,0.7334448859900364
97,AUT,NLD,0.041779706999457406,0.7486085162998696
