,c1,c2,jac,cos
0,ARG,AUT,0.003134796238244514,0.6778183961351949
1,ARG,AUS,0.0010427528675703858,0.7421167037367806
2,ARG,BGD,0.022364217252396165,0.7566323008272487
3,ARG,BEL,0.003134796238244514,0.6363329296456084
4,ARG,BGR,0.04121475054229935,0.7985172052923453
5,ARG,BRA,0.03559870550161812,0.7847985226256856
6,ARG,BWA,0.04121475054229935,0.8004636693889416
7,ARG,CAN,0.04121475054229935,0.7822429614036259
8,ARG,CHE,0.011591148577449948,0.672824915329557
9,ARG,CHL,0.03170338527673294,0.779324641641666
10,ARG,CHN,0.0026109660574412533,0.7450022004681542
11,ARG,COL,0.03783783783783784,0.7704376968470158
12,ARG,CUB,0.03170338527673294,0.7734456040229266
13,ARG,CZE,0.0026109660574412533,0.6998620739960792
14,ARG,DEU,0.0020876826722338203,0.6690720310643504
15,ARG,EGY,0.007874015748031496,0.6569987028150271
16,ARG,ETH,0.05785123966942149,0.841318712588902
17,ARG,FRA,0.0036591740721380033,0.7522962817997302
18,ARG,GBR,0.0020876826722338203,0.689826839415296
19,ARG,GHA,0.031149301825993556,0.7883742356335374
20,ARG,GRC,0.017488076311605722,0.7016335492102391
21,ARG,HUN,0.03839913466738778,0.807425697372939
22,ARG,IDN,0.0020876826722338203,0.6097159807177135
23,ARG,IRL,0.042911461162411735,0.7882352660125492
24,ARG,ISR,0.04632152588555858,0.809426692649175
25,ARG,IND,0.003134796238244514,0.6965965231851322
26,ARG,ITA,0.001564945226917058,0.7648537231604816
27,ARG,JPN,0.0036591740721380033,0.7075455504210009
28,ARG,KEN,0.054945054945054944,0.8321548807972876
29,ARG,KOR,0.013727560718057022,0.7168857245619631
30,ARG,LBN,0.02127659574468085,0.7543982734111443
31,ARG,LTU,0.07023411371237458,0.8672389585548257
32,ARG,LVA,0.005235602094240838,0.7357161902376369
33,ARG,MAR,0.020191285866099893,0.7560908841228132
34,ARG,MEX,0.03336921420882669,0.7889851088197531
35,ARG,MYS,0.05726872246696035,0.8155937141025064
36,ARG,NAM,0.04746317512274959,0.8219786597317054
37,ARG,NGA,0.055525013743815285,0.8349769530372475
38,ARG,NLD,0.018027571580063628,0.7229992691288102
39,ARG,NOR,0.027287319422150885,0.7603816130266465
40,ARG,NZL,0.0328133405056482,0.7767796988245703
41,ARG,PER,0.05032822757111598,0.8223725728081737
42,ARG,PHL,0.03952355170546833,0.7944478723463128
43,ARG,PAK,0.04065040650406504,0.8125336250678935
44,ARG,POL,0.02073365231259968,0.7342574168580038
45,ARG,PRT,0.011591148577449948,0.663781458344335
46,ARG,ROU,0.064891846921797,0.8367687452399273
47,ARG,SRB,0.029490616621983913,0.7896698209824958
48,ARG,RUS,0.001564945226917058,0.7371683739076332
49,ARG,SAU,0.031149301825993556,0.7812849546988727
50,ARG,SWE,0.008403361344537815,0.6602048089627337
51,ARG,SGP,0.04918032786885246,0.8219390638242524
52,ARG,SVN,0.06371191135734072,0.8467497535700126
53,ARG,SVK,0.043478260869565216,0.839390962050582
54,ARG,SEN,0.042911461162411735,0.802999318348721
55,ARG,THA,0.001564945226917058,0.7334831134331351
56,ARG,TUR,0.001564945226917058,0.7397671813861739
