,c1,c2,jac,cos
590,CHE,SWE,0.28342245989304815,0.9565399002319727
1295,IRL,MYS,0.14558472553699284,0.8769637031827411
1710,MYS,NAM,0.14421930870083433,0.8789163978456234
1598,LTU,ROU,0.1347517730496454,0.9152907110373066
1504,KEN,SEN,0.1340815121086828,0.8933912682554064
1817,NLD,VNM,0.13007651559741024,0.8215341350157825
1984,ROU,TZA,0.12941176470588237,0.8907386940968994
1547,KOR,VNM,0.12412177985948478,0.8500034441578028
618,CHL,IRL,0.12280701754385964,0.8577506727284906
2067,SVN,SVK,0.12215078901227353,0.899502423228056
2136,USA,VNM,0.11822947000582411,0.802103191481469
331,BGR,HUN,0.114335461404527,0.890162330662695
1172,GRC,NLD,0.1117544875506659,0.8214068964601502
1953,POL,ZAF,0.1111111111111111,0.8288539179388874
1004,ETH,SVN,0.10154905335628227,0.8786193914180486
543,CAN,UGA,0.09277177006260671,0.8302724369350339
738,COL,NAM,0.09277177006260671,0.8304880391810189
1748,NAM,ROU,0.09215017064846416,0.8535308078412317
2118,TZA,UGA,0.08967082860385925,0.8387647294100219
1781,NGA,SVN,0.08781869688385269,0.8480381168302423
1843,NOR,ZAF,0.0865874363327674,0.7986683122673576
393,BRA,ISR,0.0865874363327674,0.8624470165147142
1927,PAK,TZA,0.0829103214890017,0.8632828072364035
1335,ISR,MYS,0.08169014084507042,0.837978720924473
2142,VNM,ZAF,0.08169014084507042,0.7682866803270578
2124,UKR,UGA,0.08108108108108109,0.8165902560284642
2054,SGP,SVN,0.08047270680922904,0.8300730347047278
195,BGD,BWA,0.08047270680922904,0.8395905633766939
1699,MEX,SEN,0.0798650168728909,0.8516057071387719
1230,HUN,SVK,0.07865168539325842,0.8584972171130397
2092,SEN,TZA,0.07804604154969118,0.8435221014826725
1881,PER,SEN,0.07623318385650224,0.8603168885279102
1148,GHA,UKR,0.07623318385650224,0.8155465311638656
1650,MAR,MYS,0.07563025210084033,0.8253251287048489
434,BWA,CAN,0.07563025210084033,0.7967026453323743
798,CUB,POL,0.0738255033557047,0.8007069808052166
1900,PHL,SGP,0.07322526551145891,0.8250215333332668
924,EGY,GRC,0.07202680067001675,0.7825658962704429
31,ARG,LTU,0.07023411371237458,0.8672389585548257
1561,LBN,PHL,0.06607440310938367,0.8087442383190648
2049,SWE,USA,0.061946902654867256,0.7436386584967949
2029,SAU,SEN,0.06135986733001658,0.8248514819189855
1850,NZL,ROU,0.059602649006622516,0.8213984603417791
2134,UGA,ZWE,0.059018201875344733,0.7929444669581581
2082,SVK,TZA,0.059018201875344733,0.8429204960966289
1998,SRB,SEN,0.056105610561056105,0.7884326885699054
1959,PRT,SWE,0.04404567699836868,0.7380045143214993
2141,VEN,ZWE,0.042911461162411735,0.799015571249589
2144,ZAF,ZWE,0.027837259100642397,0.7412796989463423
276,BEL,ITA,0.026737967914438502,0.8958376404638283
873,DEU,GBR,0.021820117083555083,0.8388006240114767
2016,RUS,TUR,0.012124406958355299,0.9100988277648954
1641,LVA,TZA,0.012124406958355299,0.70567695850242
1095,GBR,SWE,0.012124406958355299,0.7405859177780044
67,AUT,BEL,0.011591148577449948,0.7937818436044459
1244,IDN,IND,0.011058451816745656,0.8014873537950177
145,AUS,GBR,0.010526315789473684,0.8589970376383991
662,CHN,CZE,0.008933263268523384,0.83607917382325
1432,ITA,THA,0.007874015748031496,0.8904957009303357
1024,FRA,IND,0.007874015748031496,0.8323749828383515
1387,IND,RUS,0.006289308176100629,0.8488393522971561
861,CZE,TUR,0.005762179151388162,0.8466660189710541
2101,THA,TZA,0.005235602094240838,0.7228317439136162
1447,JPN,MAR,0.005235602094240838,0.6916825979735983
2115,TUR,ZAF,0.004709576138147566,0.7051507123289956
