,c1,c2,jac,cos
0,ARG,AUT,0.0026109660574412533,0.6618909431742036
1,ARG,AUS,0.0010427528675703858,0.7370597367439145
2,ARG,BGD,0.017488076311605722,0.7654455490406423
3,ARG,BEL,0.0010427528675703858,0.6044516035018702
4,ARG,BGR,0.02127659574468085,0.769861301830774
5,ARG,BRA,0.020191285866099893,0.7427871591484336
6,ARG,BWA,0.06963788300835655,0.8471753321875767
7,ARG,CAN,0.0328133405056482,0.7965355361875059
8,ARG,CHE,0.005762179151388162,0.6462101448765225
9,ARG,CHL,0.022364217252396165,0.7243883437369182
10,ARG,CHN,0.0010427528675703858,0.7030908352548357
11,ARG,COL,0.029490616621983913,0.8220193117436242
12,ARG,CUB,0.020191285866099893,0.698929055815446
13,ARG,CZE,0.001564945226917058,0.6746417704615798
14,ARG,DEU,0.001564945226917058,0.6935273714950364
15,ARG,EGY,0.014263074484944533,0.6629781971754645
16,ARG,ETH,0.03727714748784441,0.8569091401324147
17,ARG,FRA,0.0005211047420531526,0.7238768427730701
18,ARG,GBR,0.0026109660574412533,0.6796674013455547
19,ARG,GHA,0.026737967914438502,0.7844244788564141
20,ARG,GRC,0.01910828025477707,0.7063212879325449
21,ARG,HUN,0.033925686591276254,0.8154756857235783
22,ARG,IDN,0.0010427528675703858,0.6048437583833137
23,ARG,IRL,0.03170338527673294,0.7438731451232966
24,ARG,ISR,0.01964949548592671,0.7560792315581915
25,ARG,IND,0.0005211047420531526,0.6857003077979649
26,ARG,ITA,0.0020876826722338203,0.7568731368247218
27,ARG,JPN,0.0010427528675703858,0.683172469064416
28,ARG,KEN,0.04689203925845147,0.8449096044341091
29,ARG,KOR,0.006289308176100629,0.6993744809087894
30,ARG,LBN,0.009994739610731194,0.6865275878548954
31,ARG,LTU,0.04121475054229935,0.8346698547625054
32,ARG,LVA,0.0036591740721380033,0.7526726483720546
33,ARG,MAR,0.020191285866099893,0.7241316125350663
34,ARG,MEX,0.031149301825993556,0.8144466101210766
35,ARG,MYS,0.03896103896103896,0.8211132964640138
36,ARG,NAM,0.04975396391470749,0.8452481748953071
37,ARG,NGA,0.0367170626349892,0.8280397773711387
38,ARG,NLD,0.010526315789473684,0.6650844522685143
39,ARG,NOR,0.01641079936474325,0.6962241017366315
40,ARG,NZL,0.02127659574468085,0.7297822520415719
41,ARG,PER,0.011591148577449948,0.7375916729087553
42,ARG,PHL,0.01964949548592671,0.7754062617451754
43,ARG,PAK,0.024,0.7608686116678989
44,ARG,POL,0.008403361344537815,0.674881991538593
45,ARG,PRT,0.008933263268523384,0.6527642430644964
46,ARG,ROU,0.03336921420882669,0.8003818779957196
47,ARG,SRB,0.025093432995194873,0.798407064226389
48,ARG,RUS,0.0005211047420531526,0.7136231345551031
49,ARG,SAU,0.009994739610731194,0.7396997540871116
50,ARG,SWE,0.0036591740721380033,0.636627246676442
51,ARG,SGP,0.0328133405056482,0.8014220847667993
52,ARG,SVN,0.04860731840524304,0.8382504400892276
53,ARG,SVK,0.03952355170546833,0.8503030006665001
54,ARG,SEN,0.026189203634420097,0.8102328748655425
55,ARG,THA,0.0010427528675703858,0.7164435085721854
56,ARG,TUR,0.0,0.7326557084209538
57,ARG,TZA,0.03615758229897464,0.7870795215468906
58,ARG,UKR,0.042911461162411735,0.8174995361567433
59,ARG,UGA,0.01910828025477707,0.7779572289810947
60,ARG,USA,0.007345225603357817,0.6496325370768251
61,ARG,VEN,0.03839913466738778,0.8305073681538239
62,ARG,VNM,0.00946372239747634,0.679816029163563
63,ARG,ZAF,0.01856763925729443,0.6927425743483738
64,ARG,ZWE,0.029490616621983913,0.7732347408380911
65,AUT,AUS,0.001564945226917058,0.8446557867523024
66,AUT,BGD,0.0020876826722338203,0.6684761109133771
67,AUT,BEL,0.0020876826722338203,0.7507935503688646
68,AUT,BGR,0.001564945226917058,0.6413874647169262
69,AUT,BRA,0.0005211047420531526,0.6447029356036509
70,AUT,BWA,0.0020876826722338203,0.7497493038233157
71,AUT,CAN,0.0005211047420531526,0.6236064579170054
72,AUT,CHE,0.0,0.5928759595959141
73,AUT,CHL,0.0010427528675703858,0.6594586675777031
74,AUT,CHN,0.0010427528675703858,0.7778132763050172
