,c1,c2,jac,cos
2067,SVN,SVK,0.10726643598615918,0.9332386010661085
590,CHE,SWE,0.10599078341013825,0.8722411252773093
2124,UKR,UGA,0.09839816933638444,0.8437573466302218
331,BGR,HUN,0.08597285067873303,0.878123054367001
1650,MAR,MYS,0.08413325804630152,0.8392213290489487
1228,HUN,SGP,0.08229988726042842,0.8752558227761604
1550,LBN,LTU,0.08169014084507042,0.8371664382326519
392,BRA,IRL,0.08169014084507042,0.8069874416260198
1843,NOR,ZAF,0.07865168539325842,0.8076285396862382
1197,GRC,ZAF,0.07142857142857142,0.7959368565171995
1609,LTU,TZA,0.07142857142857142,0.8737051668631047
1984,ROU,TZA,0.07083100948131622,0.8549199387859523
1731,MYS,TZA,0.07083100948131622,0.863359622918062
6,ARG,BWA,0.06963788300835655,0.8471753321875767
927,EGY,IRL,0.06844741235392321,0.7384270744841116
1953,POL,ZAF,0.06666666666666667,0.8146126737867188
2096,SEN,VEN,0.064891846921797,0.903395403831147
1487,KEN,NGA,0.06430155210643015,0.8696795916882879
1799,NLD,POL,0.06371191135734072,0.8027126783968194
1317,IRL,TZA,0.06253458771444383,0.7799071147872848
1748,NAM,ROU,0.06135986733001658,0.8501265536465564
1547,KOR,VNM,0.06135986733001658,0.7917068411652071
618,CHL,IRL,0.06018774157923799,0.7876598679687332
2117,TZA,UKR,0.059018201875344733,0.8083878501637398
1358,ISR,UKR,0.059018201875344733,0.8229070249368827
543,CAN,UGA,0.05785123966942149,0.845603109746553
777,CUB,IRL,0.05726872246696035,0.7626085420366221
1916,PAK,ROU,0.05726872246696035,0.8337499790929122
1113,GHA,IRL,0.056105610561056105,0.760944859393896
2142,VNM,ZAF,0.056105610561056105,0.7597010098424314
988,ETH,NAM,0.054365733113673806,0.8636356916041784
2137,USA,ZAF,0.053208996160175534,0.7562984328656915
738,COL,NAM,0.05032822757111598,0.8421881022808703
1699,MEX,SEN,0.05032822757111598,0.8521791724909475
463,BWA,NAM,0.04860731840524304,0.81579583981968
1783,NGA,SEN,0.04632152588555858,0.8433805912708218
2059,SGP,TZA,0.0457516339869281,0.8159871325704732
1972,PRT,ZAF,0.04404567699836868,0.7223230158937385
1996,SRB,SVN,0.04065040650406504,0.7982587941167382
2141,VEN,ZWE,0.03783783783783784,0.8137119476136535
2052,SWE,ZAF,0.03615758229897464,0.7230045056835088
2134,UGA,ZWE,0.03504043126684636,0.7808126130181409
2086,SVK,VEN,0.03225806451612903,0.8400862537797259
2029,SAU,SEN,0.030595813204508857,0.8014152550316671
196,BGD,CAN,0.030042918454935622,0.7817456719135082
1900,PHL,SGP,0.027837259100642397,0.7656165492754339
1888,PER,VEN,0.025093432995194873,0.8120805125971109
1861,NZL,TZA,0.025093432995194873,0.754638959753005
873,DEU,GBR,0.013192612137203167,0.8060351667705945
2016,RUS,TUR,0.008403361344537815,0.901754946977829
276,BEL,ITA,0.007345225603357817,0.866447555977301
1089,GBR,POL,0.0068169900367068695,0.692807980981454
2144,ZAF,ZWE,0.0068169900367068695,0.6548832401949256
1626,LVA,PHL,0.006289308176100629,0.7317505167551456
190,AUS,ZAF,0.005762179151388162,0.7195282010016103
1395,IND,TUR,0.005762179151388162,0.8542078540374677
86,AUT,IDN,0.005235602094240838,0.7658179910729587
1244,IDN,IND,0.004709576138147566,0.7913622440783671
697,CHN,RUS,0.0041841004184100415,0.827624389641179
834,CZE,KOR,0.0036591740721380033,0.673630106961183
1020,FRA,HUN,0.0036591740721380033,0.6724306977627525
1404,ITA,JPN,0.0036591740721380033,0.8468644064489036
2116,TUR,ZWE,0.003134796238244514,0.7021001016803251
1466,JPN,SVN,0.0026109660574412533,0.6647791125463609
2103,THA,UGA,0.0020876826722338203,0.6995848275618719
