,c1,c2,jac,cos
0,ARG,AUS,0.06253458771444383,0.8636542683446552
1,ARG,AUT,0.055525013743815285,0.8291713468951658
2,ARG,BGD,0.030595813204508857,0.8460901894663618
3,ARG,BEL,0.03559870550161812,0.8176339733003813
4,ARG,BWA,0.012124406958355299,0.773986336136592
5,ARG,BRA,0.11498257839721254,0.9149673493907914
6,ARG,BGR,0.06430155210643015,0.8615926595396997
7,ARG,CAN,0.05147864184008762,0.8564432765209973
8,ARG,CHL,0.0798650168728909,0.8900460670835402
9,ARG,CHN,0.0328133405056482,0.8425198559690585
10,ARG,COL,0.0798650168728909,0.8980516758003517
11,ARG,CUB,0.03504043126684636,0.8441157645268408
12,ARG,CZE,0.054945054945054944,0.8687544154388447
13,ARG,EGY,0.061946902654867256,0.8778703148449508
14,ARG,ETH,0.01964949548592671,0.7716530912065372
15,ARG,FRA,0.0865874363327674,0.897509761394781
16,ARG,DEU,0.07865168539325842,0.8899651961486776
17,ARG,GHA,0.027287319422150885,0.8086792113825944
18,ARG,GRC,0.06904231625835189,0.8819524120680322
19,ARG,HKG,0.03783783783783784,0.818682748981014
20,ARG,HUN,0.026189203634420097,0.7737814598338928
21,ARG,IND,0.027287319422150885,0.8338811564897338
22,ARG,IDN,0.07683679192372406,0.8782245553053126
23,ARG,IRL,0.03170338527673294,0.8174007473801078
24,ARG,ISR,0.0457516339869281,0.8378528619814545
25,ARG,ITA,0.09401709401709402,0.8805286543693402
26,ARG,JPN,0.04234527687296417,0.8445603540101659
27,ARG,LVA,0.030595813204508857,0.8201692011922656
28,ARG,LBN,0.043478260869565216,0.8337582865636946
29,ARG,LTU,0.028387787895018748,0.8029518181203534
30,ARG,MYS,0.043478260869565216,0.8305035472981247
31,ARG,MEX,0.06666666666666667,0.8750465324859578
32,ARG,MAR,0.056105610561056105,0.8303135975165664
33,ARG,NAM,0.020191285866099893,0.778069940807953
34,ARG,NLD,0.03839913466738778,0.8169827530167315
35,ARG,NZL,0.06963788300835655,0.8484200337854502
36,ARG,NGA,0.030595813204508857,0.7932155468419376
37,ARG,NOR,0.03839913466738778,0.8083744962908778
38,ARG,PAK,0.03559870550161812,0.8447032524829181
39,ARG,PER,0.054945054945054944,0.8598749968895284
40,ARG,PHL,0.0958904109589041,0.8853029173854188
41,ARG,POL,0.06430155210643015,0.8544659094873328
42,ARG,PRT,0.08108108108108109,0.871581981110326
43,ARG,KOR,0.005762179151388162,0.8351661043733029
44,ARG,ROU,0.05785123966942149,0.8523884620810481
45,ARG,RUS,0.05032822757111598,0.8476938210199124
46,ARG,SAU,0.04975396391470749,0.8400444201457495
47,ARG,SEN,0.0328133405056482,0.8076436742106363
48,ARG,SRB,0.06548279689234185,0.8614181273978826
49,ARG,SVK,0.03559870550161812,0.8244018266206327
50,ARG,SVN,0.030595813204508857,0.8071885454452827
51,ARG,ZAF,0.041779706999457406,0.8222851150315619
52,ARG,SWE,0.05726872246696035,0.8400656136827651
53,ARG,CHE,0.04121475054229935,0.8360883214812964
54,ARG,TWN,0.042911461162411735,0.8224234489334914
55,ARG,TZA,0.033925686591276254,0.8340705638271759
56,ARG,THA,0.061946902654867256,0.848891896129832
57,ARG,TUR,0.055525013743815285,0.8627891758331463
58,ARG,UGA,0.02564102564102564,0.7964603307370556
59,ARG,UKR,0.029490616621983913,0.8019683472333149
60,ARG,ARE,0.03336921420882669,0.8334935648868335
61,ARG,GBR,0.007345225603357817,0.8075586195278481
62,ARG,USA,0.0068169900367068695,0.7776892293667427
63,ARG,VEN,0.06844741235392321,0.8731367749010182
64,ARG,VNM,0.04404567699836868,0.8058424206880199
65,ARG,ZWE,0.05090311986863711,0.8498132276806124
66,AUS,AUT,0.04860731840524304,0.8413300389283632
67,AUS,BGD,0.034482758620689655,0.8624551475905582
68,AUS,BEL,0.02454642475987193,0.8009321931973531
69,AUS,BWA,0.008933263268523384,0.7838769458804948
70,AUS,BRA,0.06430155210643015,0.8796567009530452
71,AUS,BGR,0.0367170626349892,0.846540545082067
72,AUS,CAN,0.054365733113673806,0.8795873055178839
73,AUS,CHL,0.04008667388949079,0.8596236394672484
74,AUS,CHN,0.05843439911797133,0.89416030853976
75,AUS,COL,0.067853170189099,0.8975721158737379
76,AUS,CUB,0.03839913466738778,0.8533450241264788
77,AUS,CZE,0.03952355170546833,0.8550989507155361
78,AUS,EGY,0.06018774157923799,0.8892871152023262
79,AUS,ETH,0.011058451816745656,0.753217384079667
80,AUS,FRA,0.07804604154969118,0.894990587235644
81,AUS,DEU,0.0829103214890017,0.8954349667753352
82,AUS,GHA,0.015873015873015872,0.8162248791995946
83,AUS,GRC,0.052054794520547946,0.8716864144144378
84,AUS,HKG,0.041779706999457406,0.8414507184296972
85,AUS,HUN,0.013727560718057022,0.7670557089359219
86,AUS,IND,0.053208996160175534,0.8790872208583208
87,AUS,IDN,0.07262569832402235,0.894491682100521
88,AUS,IRL,0.041779706999457406,0.8374088609524578
89,AUS,ISR,0.04461371055495103,0.8529962609608193
90,AUS,ITA,0.05378704720087816,0.8550937936118783
91,AUS,JPN,0.04461371055495103,0.858087872740155
92,AUS,LVA,0.021820117083555083,0.8175576465517688
93,AUS,LBN,0.030042918454935622,0.8427723294312947
94,AUS,LTU,0.014263074484944533,0.7841540508057154
95,AUS,MYS,0.03727714748784441,0.8523259965494651
96,AUS,MEX,0.04632152588555858,0.8626239763815458
97,AUS,MAR,0.026737967914438502,0.8068705213788844
98,AUS,NAM,0.014799154334038054,0.7839016576855813
99,AUS,NLD,0.03615758229897464,0.8439115919501212
100,AUS,NZL,0.09090909090909091,0.884183243483048
101,AUS,NGA,0.02290889717634523,0.8074309340747065
102,AUS,NOR,0.03896103896103896,0.836655746855133
103,AUS,PAK,0.061946902654867256,0.8861799408715526
104,AUS,PER,0.03615758229897464,0.8470455058259247
105,AUS,PHL,0.06725958866036687,0.8890405266397401
106,AUS,POL,0.04975396391470749,0.8543816867590844
107,AUS,PRT,0.029490616621983913,0.8328335245517886
108,AUS,KOR,0.0041841004184100415,0.8546520134082519
109,AUS,ROU,0.03504043126684636,0.8402658900514883
110,AUS,RUS,0.06018774157923799,0.8693946121520997
111,AUS,SAU,0.06430155210643015,0.8679432627762127
112,AUS,SEN,0.014263074484944533,0.8041763314798867
113,AUS,SRB,0.06077348066298342,0.8735027831740126
114,AUS,SVK,0.018027571580063628,0.800846027734041
115,AUS,SVN,0.015335801163405606,0.7734478833411332
116,AUS,ZAF,0.054945054945054944,0.8525461248646661
117,AUS,SWE,0.056105610561056105,0.8574969247266317
118,AUS,CHE,0.03839913466738778,0.8518620879984363
119,AUS,TWN,0.06253458771444383,0.8614815036931176
120,AUS,TZA,0.02127659574468085,0.8345689296196381
121,AUS,THA,0.055525013743815285,0.8588038250876819
122,AUS,TUR,0.061946902654867256,0.8727143486508689
123,AUS,UGA,0.017488076311605722,0.7920705035686201
124,AUS,UKR,0.00946372239747634,0.7870432558181873
125,AUS,ARE,0.03839913466738778,0.8558500567166151
126,AUS,GBR,0.008933263268523384,0.8328820878308306
127,AUS,USA,0.008933263268523384,0.8187822290144858
128,AUS,VEN,0.023454157782515993,0.8315587575709485
129,AUS,VNM,0.026189203634420097,0.8102302858437147
130,AUS,ZWE,0.04860731840524304,0.8538862988227967
131,AUT,BGD,0.017488076311605722,0.8057134748157941
132,AUT,BEL,0.04632152588555858,0.7971627840086651
133,AUT,BWA,0.01641079936474325,0.7681357053343026
134,AUT,BRA,0.059602649006622516,0.8492452538665104
135,AUT,BGR,0.0738255033557047,0.841052015569245
136,AUT,CAN,0.03839913466738778,0.83883295026348
137,AUT,CHL,0.04234527687296417,0.8409017187751932
138,AUT,CHN,0.03170338527673294,0.8420863960411046
139,AUT,COL,0.059018201875344733,0.8578837192440943
140,AUT,CUB,0.04404567699836868,0.8138601931472115
141,AUT,CZE,0.04918032786885246,0.8414576220158314
142,AUT,EGY,0.056686846450192625,0.8537392717376423
143,AUT,ETH,0.02564102564102564,0.7548679847571241
144,AUT,FRA,0.04975396391470749,0.8544814714843748
145,AUT,DEU,0.0738255033557047,0.875854163607937
146,AUT,GHA,0.01964949548592671,0.7892005930934917
147,AUT,GRC,0.059602649006622516,0.8465550673488574
148,AUT,HKG,0.03615758229897464,0.8017206751526379
149,AUT,HUN,0.03559870550161812,0.766054372884192
150,AUT,IND,0.01964949548592671,0.8162215437373853
151,AUT,IDN,0.05378704720087816,0.8508649874405445
152,AUT,IRL,0.026189203634420097,0.7789103510025324
153,AUT,ISR,0.04121475054229935,0.8218837822503791
154,AUT,ITA,0.054945054945054944,0.8466492837738328
155,AUT,JPN,0.03952355170546833,0.8284986297529565
156,AUT,LVA,0.04404567699836868,0.7887236705882863
157,AUT,LBN,0.03952355170546833,0.8093036637898836
158,AUT,LTU,0.030042918454935622,0.7702015763158363
159,AUT,MYS,0.027287319422150885,0.808189152468283
160,AUT,MEX,0.053208996160175534,0.8307878301837418
161,AUT,MAR,0.04632152588555858,0.7914636005375745
162,AUT,NAM,0.020191285866099893,0.7515240106682057
163,AUT,NLD,0.03615758229897464,0.796320449719455
164,AUT,NZL,0.03504043126684636,0.7942226662861748
165,AUT,NGA,0.03559870550161812,0.7947178167337966
166,AUT,NOR,0.054365733113673806,0.8151166557537534
167,AUT,PAK,0.030042918454935622,0.8298790005012884
168,AUT,PER,0.052054794520547946,0.8381978662678731
169,AUT,PHL,0.05263157894736842,0.8382451090970133
170,AUT,POL,0.07563025210084033,0.8363551310876961
171,AUT,PRT,0.03615758229897464,0.8152374492280222
172,AUT,KOR,0.006289308176100629,0.8314386428425459
173,AUT,ROU,0.059602649006622516,0.846163156017114
174,AUT,RUS,0.06018774157923799,0.8632395425045211
175,AUT,SAU,0.03559870550161812,0.8169482873396298
176,AUT,SEN,0.02564102564102564,0.7661923882903098
177,AUT,SRB,0.0847457627118644,0.8715328384798389
178,AUT,SVK,0.053208996160175534,0.8193970054314664
179,AUT,SVN,0.045182362547632006,0.7987942481964515
180,AUT,ZAF,0.031149301825993556,0.7964742121704735
181,AUT,SWE,0.07563025210084033,0.8423722901840321
182,AUT,CHE,0.04461371055495103,0.8302421116671509
183,AUT,TWN,0.0457516339869281,0.8255682830445593
184,AUT,TZA,0.03559870550161812,0.818828991082357
185,AUT,THA,0.04234527687296417,0.8228642159143945
186,AUT,TUR,0.052054794520547946,0.853480499662596
187,AUT,UGA,0.021820117083555083,0.7613061269926167
188,AUT,UKR,0.045182362547632006,0.8061718682904071
189,AUT,ARE,0.026189203634420097,0.793856501715831
190,AUT,GBR,0.008403361344537815,0.7777134165659897
191,AUT,USA,0.0068169900367068695,0.7745620154511492
192,AUT,VEN,0.0367170626349892,0.8108562211091986
193,AUT,VNM,0.03896103896103896,0.8050163463065236
194,AUT,ZWE,0.03783783783783784,0.8068472494334318
195,BGD,BEL,0.008403361344537815,0.7986841859669052
196,BGD,BWA,0.0068169900367068695,0.804735338502317
197,BGD,BRA,0.0457516339869281,0.8901233154187214
198,BGD,BGR,0.020191285866099893,0.8347224748189632
199,BGD,CAN,0.02564102564102564,0.8577633259173965
200,BGD,CHL,0.024,0.8562900609160579
201,BGD,CHN,0.03952355170546833,0.894825870268154
202,BGD,COL,0.02454642475987193,0.8699565831183279
203,BGD,CUB,0.01856763925729443,0.8516244661926002
204,BGD,CZE,0.02073365231259968,0.8435254019386753
205,BGD,EGY,0.0457516339869281,0.8924031357012662
206,BGD,ETH,0.0068169900367068695,0.7652147196985565
207,BGD,FRA,0.03896103896103896,0.8741871211106353
208,BGD,DEU,0.0457516339869281,0.870217069963756
209,BGD,GHA,0.018027571580063628,0.8505323373364635
210,BGD,GRC,0.0367170626349892,0.8710722792225006
211,BGD,HKG,0.03896103896103896,0.8598463174321749
212,BGD,HUN,0.015335801163405606,0.7952759957740426
213,BGD,IND,0.05785123966942149,0.9102508290918432
214,BGD,IDN,0.045182362547632006,0.8849950543041663
215,BGD,IRL,0.01964949548592671,0.8169976076130125
216,BGD,ISR,0.028938906752411574,0.8597315652439268
217,BGD,ITA,0.025093432995194873,0.8448655447759568
218,BGD,JPN,0.056686846450192625,0.8949865722045799
219,BGD,LVA,0.008933263268523384,0.7960542845388883
220,BGD,LBN,0.025093432995194873,0.8438942391172422
221,BGD,LTU,0.004709576138147566,0.7822326144678052
222,BGD,MYS,0.03336921420882669,0.867555916845586
223,BGD,MEX,0.023454157782515993,0.8512734209177113
224,BGD,MAR,0.02454642475987193,0.8260370775594531
225,BGD,NAM,0.010526315789473684,0.8149760013269141
226,BGD,NLD,0.01641079936474325,0.8153899588379411
227,BGD,NZL,0.03170338527673294,0.8442454235583474
228,BGD,NGA,0.013192612137203167,0.8269815722267672
229,BGD,NOR,0.024,0.8322877777256402
230,BGD,PAK,0.07744107744107744,0.9267124858284492
231,BGD,PER,0.027837259100642397,0.8681233623908501
232,BGD,PHL,0.041779706999457406,0.8665654848628817
233,BGD,POL,0.033925686591276254,0.8465069272167586
234,BGD,PRT,0.02290889717634523,0.8345541937500156
235,BGD,KOR,0.005235602094240838,0.8670462825811575
236,BGD,ROU,0.01694915254237288,0.836944889254904
237,BGD,RUS,0.027287319422150885,0.8350737951873782
238,BGD,SAU,0.04234527687296417,0.8789140800473902
239,BGD,SEN,0.011591148577449948,0.8045331659943091
240,BGD,SRB,0.030042918454935622,0.837639844433629
241,BGD,SVK,0.0068169900367068695,0.7847342460744763
242,BGD,SVN,0.005235602094240838,0.7541164029559114
243,BGD,ZAF,0.026189203634420097,0.8427209060634081
244,BGD,SWE,0.030042918454935622,0.8428606112932375
245,BGD,CHE,0.024,0.8344883779254053
246,BGD,TWN,0.0328133405056482,0.8577655519123242
247,BGD,TZA,0.024,0.8690806241063715
248,BGD,THA,0.043478260869565216,0.8800787718631292
249,BGD,TUR,0.03559870550161812,0.8792352498094416
250,BGD,UGA,0.00946372239747634,0.8060155445553722
251,BGD,UKR,0.006289308176100629,0.7646604219528443
252,BGD,ARE,0.03225806451612903,0.8752143242912944
253,BGD,GBR,0.007345225603357817,0.8293926998435098
254,BGD,USA,0.0068169900367068695,0.815079938190437
255,BGD,VEN,0.015873015873015872,0.8197615510116896
256,BGD,VNM,0.026737967914438502,0.8289543653730167
257,BGD,ZWE,0.030595813204508857,0.8546074285687051
258,BEL,BWA,0.008403361344537815,0.7589230137421478
259,BEL,BRA,0.04404567699836868,0.8509449794903821
260,BEL,BGR,0.054365733113673806,0.8382973611977776
261,BEL,CAN,0.030595813204508857,0.8232832201276444
262,BEL,CHL,0.030042918454935622,0.8286450960445984
263,BEL,CHN,0.01910828025477707,0.81500914581279
264,BEL,COL,0.03615758229897464,0.8355542290438751
265,BEL,CUB,0.018027571580063628,0.8050550940610707
266,BEL,CZE,0.034482758620689655,0.8314142688908879
267,BEL,EGY,0.024,0.822784873884187
268,BEL,ETH,0.01856763925729443,0.7327274199652015
269,BEL,FRA,0.03727714748784441,0.8398290349840035
270,BEL,DEU,0.056686846450192625,0.8690189022592366
271,BEL,GHA,0.008403361344537815,0.772218374333036
272,BEL,GRC,0.033925686591276254,0.8357383536556482
273,BEL,HKG,0.02073365231259968,0.7816890831620532
274,BEL,HUN,0.02564102564102564,0.7653087492107226
275,BEL,IND,0.012124406958355299,0.7871589812424228
276,BEL,IDN,0.030042918454935622,0.818447729454417
277,BEL,IRL,0.026737967914438502,0.7866489484050304
278,BEL,ISR,0.01694915254237288,0.7906672251104148
279,BEL,ITA,0.04632152588555858,0.8390438931625653
280,BEL,JPN,0.02073365231259968,0.814163521655273
281,BEL,LVA,0.027837259100642397,0.7901132253804503
282,BEL,LBN,0.04404567699836868,0.8275122822074189
283,BEL,LTU,0.033925686591276254,0.7913716556288906
284,BEL,MYS,0.01856763925729443,0.7929147431162141
285,BEL,MEX,0.021820117083555083,0.8087410738286391
286,BEL,MAR,0.04008667388949079,0.804757882058026
287,BEL,NAM,0.01641079936474325,0.7647637387169155
288,BEL,NLD,0.027837259100642397,0.8058219658909942
289,BEL,NZL,0.022364217252396165,0.7831064341654367
290,BEL,NGA,0.02454642475987193,0.7841605087762878
291,BEL,NOR,0.03896103896103896,0.8159366967823247
292,BEL,PAK,0.014263074484944533,0.7892376470304421
293,BEL,PER,0.028387787895018748,0.8144823210856263
294,BEL,PHL,0.03615758229897464,0.8226246152652591
295,BEL,POL,0.05785123966942149,0.8383788106789227
296,BEL,PRT,0.03839913466738778,0.8276994672754148
297,BEL,KOR,0.0036591740721380033,0.8264752894248368
298,BEL,ROU,0.0367170626349892,0.8195844841420241
299,BEL,RUS,0.02564102564102564,0.8015836243058524
300,BEL,SAU,0.024,0.7958026747556356
301,BEL,SEN,0.02127659574468085,0.7721992762583696
302,BEL,SRB,0.03839913466738778,0.8210461207278007
303,BEL,SVK,0.03615758229897464,0.8059076884527785
304,BEL,SVN,0.03896103896103896,0.790193681723397
