,c1,c2,jac,cos
2075,SVK,SVN,0.25984251968503935,0.9003907774445409
66,AUS,AUT,0.2549019607843137,0.9038874941093813
1337,IRL,CHE,0.12018669778296383,0.8575804180386587
1733,NLD,CHE,0.1047180667433832,0.826498994249844
2135,CHE,THA,0.04746317512274959,0.7133851589199149
2014,RUS,UKR,0.04632152588555858,0.8308058521586386
1763,NZL,CHE,0.0457516339869281,0.7712271905739104
1272,IDN,MYS,0.045182362547632006,0.7493250013642225
1925,POL,THA,0.03504043126684636,0.6552959599016527
2034,SAU,ARE,0.033925686591276254,0.7244480440686362
558,CHL,CHN,0.030595813204508857,0.6868912364567896
1595,MYS,RUS,0.030595813204508857,0.720265908832758
1506,LVA,VNM,0.028938906752411574,0.7507246617732451
995,DEU,JPN,0.028938906752411574,0.6980111348481756
1939,PRT,SEN,0.028387787895018748,0.7302860445458002
659,CHN,TWN,0.027287319422150885,0.7706291521132299
1385,ISR,ARE,0.027287319422150885,0.7307237972591136
470,BGR,NGA,0.027287319422150885,0.6154933062298682
1697,NAM,SRB,0.026189203634420097,0.6388758353709463
1980,ROU,RUS,0.02564102564102564,0.6831477040275051
749,CUB,NZL,0.02454642475987193,0.648054648352861
1559,LTU,ROU,0.024,0.6537115484526633
865,EGY,SAU,0.023454157782515993,0.6875282036367245
177,AUT,SRB,0.021820117083555083,0.6578714546945261
2147,TWN,TUR,0.021820117083555083,0.6903988138229474
960,FRA,PHL,0.02073365231259968,0.690386529354231
899,ETH,LTU,0.020191285866099893,0.6591665425570189
2208,VEN,VNM,0.01964949548592671,0.6545481717978119
1616,MEX,MAR,0.01964949548592671,0.6515234431266176
1851,PAK,TUR,0.01856763925729443,0.6892331038138949
260,BEL,BGR,0.01856763925729443,0.6507947009375875
2103,SVN,VEN,0.017488076311605722,0.6314905773557304
1518,LBN,PER,0.017488076311605722,0.6461967687231281
1130,HKG,HUN,0.01694915254237288,0.6337782374420673
1821,NOR,TWN,0.01694915254237288,0.7344583080194463
1417,ITA,SWE,0.015873015873015872,0.6639434641408322
1793,NGA,TWN,0.015873015873015872,0.6570733858732221
708,COL,SRB,0.015873015873015872,0.644798049725341
1899,PHL,TWN,0.015335801163405606,0.6195316483249892
1444,JPN,PHL,0.015335801163405606,0.6401652474273517
213,BGD,IND,0.014799154334038054,0.7357758289887985
1872,PER,SWE,0.014799154334038054,0.6736393802509564
528,CAN,NGA,0.014799154334038054,0.6037227280877489
1674,MAR,TUR,0.014263074484944533,0.6572783393582444
2120,SWE,CHE,0.014263074484944533,0.7011693720373178
2058,SRB,SVK,0.013727560718057022,0.6260447091291017
1223,IND,ISR,0.013727560718057022,0.6812554005842338
798,CZE,MEX,0.013727560718057022,0.6121036638255827
400,BRA,ITA,0.013192612137203167,0.6667619187259874
2113,ZAF,UKR,0.012658227848101266,0.6287828441312998
1045,GHA,LBN,0.012658227848101266,0.6409668882098212
1121,GRC,TUR,0.012124406958355299,0.7455931773524284
6,ARG,BGR,0.011591148577449948,0.5621319873687275
2177,TUR,ARE,0.011591148577449948,0.6415888021914019
2055,SEN,VEN,0.010526315789473684,0.6366653195517282
1187,HUN,MAR,0.009994739610731194,0.6396874405203195
342,BWA,LVA,0.008933263268523384,0.6741824942367951
2201,GBR,USA,0.007874015748031496,0.7141029666436133
2160,TZA,ARE,0.007345225603357817,0.5858122720621057
2183,UGA,UKR,0.0068169900367068695,0.5821855696891414
2173,THA,VNM,0.006289308176100629,0.5795226943049586
2193,UKR,VEN,0.005235602094240838,0.5705096434678449
2199,ARE,VNM,0.005235602094240838,0.5944126471646715
2210,VNM,ZWE,0.0041841004184100415,0.6424944135879908
2205,USA,VEN,0.0020876826722338203,0.63044300158364
1965,KOR,ZAF,0.0,0.0
