,c1,c2,jac,cos
0,ARG,AUS,0.014263074484944533,0.7483715206911454
1,ARG,AUT,0.014799154334038054,0.7384790561235935
2,ARG,BGD,0.006289308176100629,0.6904687734766844
3,ARG,BEL,0.008933263268523384,0.7114520837588152
4,ARG,BWA,0.008403361344537815,0.693466441624271
5,ARG,BRA,0.031149301825993556,0.7566834828057962
6,ARG,BGR,0.014263074484944533,0.7590718702047331
7,ARG,CAN,0.014799154334038054,0.731938929882605
8,ARG,CHL,0.02073365231259968,0.7688325275368562
9,ARG,CHN,0.007874015748031496,0.755028634975193
10,ARG,COL,0.02290889717634523,0.7451732456637506
11,ARG,CUB,0.02073365231259968,0.7770456365181855
12,ARG,CZE,0.00946372239747634,0.7157823106117179
13,ARG,EGY,0.026189203634420097,0.7902652713076338
14,ARG,ETH,0.014263074484944533,0.7162405046792316
15,ARG,FRA,0.013727560718057022,0.775159322466845
16,ARG,DEU,0.012124406958355299,0.7657339544329591
17,ARG,GHA,0.007874015748031496,0.7121673372840458
18,ARG,GRC,0.00946372239747634,0.7989503721183645
19,ARG,HKG,0.005762179151388162,0.6770111964129
20,ARG,HUN,0.011591148577449948,0.7291837544192677
21,ARG,IND,0.013727560718057022,0.7490127002704864
22,ARG,IDN,0.014263074484944533,0.7517106053302595
23,ARG,IRL,0.009994739610731194,0.7174779332114045
24,ARG,ISR,0.00946372239747634,0.7080830447809395
25,ARG,ITA,0.01856763925729443,0.7949035017314449
26,ARG,JPN,0.008933263268523384,0.7141333554026388
27,ARG,LVA,0.01910828025477707,0.7428757202893201
28,ARG,LBN,0.012658227848101266,0.7533894760241472
29,ARG,LTU,0.007345225603357817,0.6827206525884897
30,ARG,MYS,0.003134796238244514,0.7032232855034918
31,ARG,MEX,0.01910828025477707,0.7223817169941228
32,ARG,MAR,0.005762179151388162,0.706705707937407
33,ARG,NAM,0.007345225603357817,0.6925985255654089
34,ARG,NLD,0.014799154334038054,0.7287575557949412
35,ARG,NZL,0.012658227848101266,0.696702400977466
36,ARG,NGA,0.0036591740721380033,0.6537785755067537
