,c1,c2,jac,cos
865,EGY,SAU,0.18445404071560764,0.951268572448644
2014,RUS,UKR,0.18226600985221675,0.9609645452024426
2075,SVK,SVN,0.158021712907117,0.9407546676472869
1490,LVA,SRB,0.14695340501792115,0.926772526782964
659,CHN,TWN,0.14558472553699284,0.9529221160503633
1623,MEX,PER,0.14421930870083433,0.9331440930450028
1525,LBN,SAU,0.14285714285714285,0.9335360631612631
816,CZE,SVK,0.13744075829383887,0.9354385860367118
181,AUT,SWE,0.13609467455621302,0.9382166390515594
1353,ISR,LBN,0.1347517730496454,0.9421664611730076
1282,IDN,PHL,0.1314083677077195,0.938058673119633
414,BRA,PER,0.13074204946996468,0.9286027275497608
475,BGR,POL,0.13074204946996468,0.9284157396117606
230,BGD,PAK,0.1267605633802817,0.9339008851714483
699,COL,PER,0.1267605633802817,0.9340902249157402
1819,NOR,SWE,0.1267605633802817,0.9259389208130728
2061,SRB,SWE,0.12215078901227353,0.9095155970858511
1921,POL,SWE,0.12084063047285463,0.9213934463053199
1182,HUN,LVA,0.12018669778296383,0.9123695607322693
1105,GRC,POL,0.11888111888111888,0.9142720375721745
2173,THA,VNM,0.1169284467713787,0.9123326729210466
1010,DEU,POL,0.11627906976744186,0.927312708732876
2165,TZA,ZWE,0.1136890951276102,0.9351610437287391
1883,PER,VEN,0.11046847888953153,0.9239293361090747
580,CHL,MEX,0.11046847888953153,0.9121400991224319
1664,MAR,SEN,0.10790536641661858,0.9041086932514281
380,BWA,ZWE,0.10790536641661858,0.9195737918395658
1848,PAK,TWN,0.10599078341013825,0.9123207981356283
1901,PHL,THA,0.10535405872193437,0.9123126637631885
1082,GHA,ZWE,0.10535405872193437,0.9157006227439014
1564,LTU,SVK,0.10028653295128939,0.9136227077880458
2147,TWN,TUR,0.09839816933638444,0.9081194249298669
8,ARG,CHL,0.09777015437392796,0.9031232016973155
777,CUB,VEN,0.09714285714285714,0.9212045083604903
2047,SEN,TZA,0.09401709401709402,0.9165828261253829
2189,UGA,ZWE,0.09339407744874716,0.9006767654208697
1732,NLD,SWE,0.09152927799886298,0.9107910326633097
1460,JPN,THA,0.0890527509926262,0.8986734693679002
2022,SAU,SRB,0.0890527509926262,0.889769809935511
2121,SWE,TWN,0.0865874363327674,0.8932314044209612
1762,NZL,SWE,0.08535895986433013,0.8887000390982148
117,AUS,SWE,0.08413325804630152,0.8943567390430783
270,BEL,DEU,0.0829103214890017,0.9181667107573184
1417,ITA,SWE,0.08108108108108109,0.9001149996175206
916,ETH,SAU,0.08047270680922904,0.8980541698054341
1804,NGA,ZWE,0.07865168539325842,0.894065014573749
1237,IND,PAK,0.07865168539325842,0.9102437451460336
1696,NAM,SEN,0.07865168539325842,0.8794750291093643
2092,SVN,SWE,0.07865168539325842,0.887503928452638
1984,ROU,SVK,0.07683679192372406,0.8942439085413728
2119,ZAF,ZWE,0.07322526551145891,0.8866537264958236
945,FRA,ITA,0.07083100948131622,0.912224289333329
1164,HKG,TWN,0.06904231625835189,0.87706598474182
1336,IRL,SWE,0.064891846921797,0.8947196624696739
2209,VEN,ZWE,0.06135986733001658,0.8790014973565966
2135,CHE,THA,0.05726872246696035,0.8827000440891981
2181,TUR,VNM,0.05090311986863711,0.8560253868120729
1942,PRT,SVN,0.05090311986863711,0.8656510531317287
1590,MYS,PHL,0.05032822757111598,0.8909160002420858
2210,VNM,ZWE,0.04746317512274959,0.8562234093967104
527,CAN,NZL,0.03952355170546833,0.8655398320785153
2193,UKR,VEN,0.03727714748784441,0.8729701522066916
2200,ARE,ZWE,0.034482758620689655,0.8302742372362558
1968,KOR,TWN,0.015873015873015872,0.8601578526890975
2205,USA,VEN,0.012124406958355299,0.8352170112785203
2201,GBR,USA,0.005762179151388162,0.8081806995572385
