,c1,c2,jac,cos
2014,RUS,UKR,0.16717325227963525,0.9663409467030426
2075,SVK,SVN,0.15384615384615385,0.9403727795992363
380,BWA,ZWE,0.10854503464203233,0.9239214584273686
230,BGD,PAK,0.10344827586206896,0.9252980035263124
482,BGR,SRB,0.09902690326273612,0.9119497720396177
843,EGY,ISR,0.09651627641347801,0.92337784599696
723,COL,VEN,0.09526525955504848,0.935163625049111
8,ARG,CHL,0.09526525955504848,0.9164829967428318
145,AUT,DEU,0.09526525955504848,0.9343423678803855
1917,POL,SRB,0.09339407744874716,0.898849823167809
1819,NOR,SWE,0.08843537414965986,0.9114619324295348
1121,GRC,TUR,0.08781869688385269,0.9262053432355565
1471,LVA,LTU,0.08720271800679502,0.8944632074481006
1196,HUN,POL,0.08535895986433013,0.9003515837858062
1353,ISR,LBN,0.08413325804630152,0.9175477615667377
808,CZE,POL,0.08229988726042842,0.9071010039339186
1010,DEU,POL,0.08229988726042842,0.9192633100423112
1082,GHA,ZWE,0.07865168539325842,0.9014812541350101
1647,MEX,VEN,0.07744107744107744,0.9168255118922799
414,BRA,PER,0.0738255033557047,0.8976329300828895
659,CHN,TWN,0.07202680067001675,0.919812750710255
580,CHL,MEX,0.07142857142857142,0.8985273505108688
2068,SRB,UKR,0.06725958866036687,0.8966043121221252
1525,LBN,SAU,0.06666666666666667,0.8900134570658949
1883,PER,VEN,0.06607440310938367,0.8916254521053024
1664,MAR,SEN,0.06430155210643015,0.8658082323909938
2119,ZAF,ZWE,0.06312292358803986,0.8844050146023985
777,CUB,VEN,0.06018774157923799,0.8982867956771495
2124,SWE,TUR,0.059018201875344733,0.8865535677024275
2165,TZA,ZWE,0.059018201875344733,0.8998798992326218
66,AUS,AUT,0.059018201875344733,0.8837548474953173
1282,IDN,PHL,0.05726872246696035,0.8947062806144779
270,BEL,DEU,0.056686846450192625,0.9010884080215147
1406,ITA,POL,0.056105610561056105,0.8812305386845092
2034,SAU,ARE,0.05378704720087816,0.87247406117558
1237,IND,PAK,0.05263157894736842,0.8840620685877661
1130,HKG,HUN,0.05263157894736842,0.8554557327358918
1556,LTU,POL,0.052054794520547946,0.8763537581083553
1910,PHL,ZWE,0.052054794520547946,0.8786946379173208
1839,PAK,RUS,0.05090311986863711,0.8774103606285629
1944,PRT,SWE,0.05032822757111598,0.8581996068969845
1468,JPN,VNM,0.05032822757111598,0.8603745168215986
961,FRA,POL,0.05032822757111598,0.8874445156270104
2189,UGA,ZWE,0.04918032786885246,0.8458912888915624
2047,SEN,TZA,0.04860731840524304,0.8534623258838073
1983,ROU,SRB,0.048034934497816595,0.8557925080514945
2154,TWN,VNM,0.042911461162411735,0.8526533497513299
1786,NGA,SEN,0.04065040650406504,0.8384035930719564
2173,THA,VNM,0.03896103896103896,0.8402144028458723
2181,TUR,VNM,0.0367170626349892,0.8382612820238171
1775,NZL,ZWE,0.03615758229897464,0.8332371607232721
898,ETH,LBN,0.03559870550161812,0.8405325007397377
1321,IRL,NOR,0.03504043126684636,0.8616336764806485
1704,NAM,TZA,0.034482758620689655,0.8243186185131838
2209,VEN,ZWE,0.03336921420882669,0.864611113569039
2210,VNM,ZWE,0.031149301825993556,0.8345460268991283
2092,SVN,SWE,0.029490616621983913,0.8284405241186618
1732,NLD,SWE,0.026737967914438502,0.8256814055562298
2193,UKR,VEN,0.026189203634420097,0.8597716368496658
1606,MYS,THA,0.02454642475987193,0.8003024209695357
545,CAN,CHE,0.02454642475987193,0.8609038857413505
2198,ARE,VEN,0.022364217252396165,0.831958543768353
2136,CHE,TUR,0.02073365231259968,0.8471730292847364
2204,GBR,ZWE,0.006289308176100629,0.7757656822352418
1978,KOR,VNM,0.005762179151388162,0.8455463358479659
2205,USA,VEN,0.0041841004184100415,0.80055125450235
