,c1,c2,jac,cos
0,ARG,AUS,0.0068169900367068695,0.6664220371234645
1,ARG,AUT,0.008403361344537815,0.6222404903480383
2,ARG,BGD,0.005235602094240838,0.6299298609026327
3,ARG,BEL,0.0068169900367068695,0.6085337083485458
4,ARG,BWA,0.0020876826722338203,0.5869504832144198
5,ARG,BRA,0.014263074484944533,0.683960187355731
6,ARG,BGR,0.008403361344537815,0.6455676987839327
7,ARG,CAN,0.007874015748031496,0.6475500944398078
8,ARG,CHL,0.005762179151388162,0.6175553443933663
9,ARG,CHN,0.003134796238244514,0.6379743027889025
10,ARG,COL,0.009994739610731194,0.6367094165064556
11,ARG,CUB,0.008403361344537815,0.6316455589474756
12,ARG,CZE,0.0026109660574412533,0.5941881000783612
13,ARG,EGY,0.0068169900367068695,0.6587015907554711
14,ARG,ETH,0.007874015748031496,0.6230109709638485
15,ARG,FRA,0.010526315789473684,0.6601018595102549
16,ARG,DEU,0.014263074484944533,0.6680854280523667
17,ARG,GHA,0.005762179151388162,0.6498657315089003
18,ARG,GRC,0.008403361344537815,0.6634223547985008
19,ARG,HKG,0.007874015748031496,0.5973225234963595
20,ARG,HUN,0.00946372239747634,0.6722210724379133
21,ARG,IND,0.006289308176100629,0.6309164023066506
22,ARG,IDN,0.013192612137203167,0.6492904341477179
23,ARG,IRL,0.013192612137203167,0.6741443169407355
24,ARG,ISR,0.008933263268523384,0.6814472995412618
25,ARG,ITA,0.014799154334038054,0.6735434333497895
26,ARG,JPN,0.006289308176100629,0.621470137517833
27,ARG,LVA,0.011591148577449948,0.685725344842955
28,ARG,LBN,0.01694915254237288,0.6521039156519548
29,ARG,LTU,0.011591148577449948,0.6282607843988816
30,ARG,MYS,0.007874015748031496,0.6440337696151661
31,ARG,MEX,0.010526315789473684,0.5931512837589044
32,ARG,MAR,0.0068169900367068695,0.5820892120557349
33,ARG,NAM,0.006289308176100629,0.5811587072588098
34,ARG,NLD,0.007345225603357817,0.6551728108963358
35,ARG,NZL,0.011058451816745656,0.6673145295323557
36,ARG,NGA,0.008403361344537815,0.6067466632375139
37,ARG,NOR,0.008403361344537815,0.6416316559100848
38,ARG,PAK,0.0020876826722338203,0.5984435957654504
39,ARG,PER,0.008933263268523384,0.640848093561406
40,ARG,PHL,0.009994739610731194,0.634299604716857
41,ARG,POL,0.00946372239747634,0.6244466634588063
42,ARG,PRT,0.005762179151388162,0.6277273954541196
43,ARG,KOR,0.0,0.0
44,ARG,ROU,0.008403361344537815,0.6408129683321944
45,ARG,RUS,0.007874015748031496,0.643227936198387
46,ARG,SAU,0.011058451816745656,0.6433624853630395
47,ARG,SEN,0.004709576138147566,0.6515917406714424
48,ARG,SRB,0.013727560718057022,0.6787218525005502
49,ARG,SVK,0.011058451816745656,0.6161794644118851
50,ARG,SVN,0.009994739610731194,0.6290268980221789
51,ARG,ZAF,0.007345225603357817,0.5991550583159118
52,ARG,SWE,0.008933263268523384,0.6751324343038366
53,ARG,CHE,0.010526315789473684,0.6394739078652516
54,ARG,TWN,0.006289308176100629,0.6132273327232042
55,ARG,TZA,0.010526315789473684,0.6241308400600288
56,ARG,THA,0.006289308176100629,0.5921498263351
57,ARG,TUR,0.005235602094240838,0.6420229478229631
58,ARG,UGA,0.012658227848101266,0.6327584869889463
59,ARG,UKR,0.006289308176100629,0.5848677674093201
60,ARG,ARE,0.012124406958355299,0.6187062056533217
61,ARG,GBR,0.0010427528675703858,0.6062380350153164
62,ARG,USA,0.0020876826722338203,0.65213449995803
63,ARG,VEN,0.018027571580063628,0.6643878250319486
64,ARG,VNM,0.008403361344537815,0.6283732749630985
65,ARG,ZWE,0.008403361344537815,0.6185343290219935
66,AUS,AUT,0.26816380449141347,0.9341945821627016
67,AUS,BGD,0.0041841004184100415,0.6297257859751785
68,AUS,BEL,0.0026109660574412533,0.6268271672761957
69,AUS,BWA,0.003134796238244514,0.589033168182267
70,AUS,BRA,0.0026109660574412533,0.6378104145478928
71,AUS,BGR,0.008933263268523384,0.6535296442941865
72,AUS,CAN,0.0068169900367068695,0.6636588567246204
73,AUS,CHL,0.001564945226917058,0.6147832734820823
74,AUS,CHN,0.0036591740721380033,0.673655898357832
75,AUS,COL,0.007874015748031496,0.6536934866126938
76,AUS,CUB,0.003134796238244514,0.6162007013105977
77,AUS,CZE,0.0026109660574412533,0.6019506476308663
78,AUS,EGY,0.004709576138147566,0.656870598088029
79,AUS,ETH,0.007345225603357817,0.6145298811809062
80,AUS,FRA,0.0010427528675703858,0.6532466167249095
81,AUS,DEU,0.004709576138147566,0.6663979518342201
82,AUS,GHA,0.0010427528675703858,0.6416908769849611
83,AUS,GRC,0.0041841004184100415,0.6601949387790426
84,AUS,HKG,0.006289308176100629,0.5804498151086244
85,AUS,HUN,0.0036591740721380033,0.6644167226430009
86,AUS,IND,0.0026109660574412533,0.6428769460086113
87,AUS,IDN,0.014263074484944533,0.680153963569929
88,AUS,IRL,0.011591148577449948,0.668582167706856
89,AUS,ISR,0.005235602094240838,0.6681000060885761
90,AUS,ITA,0.010526315789473684,0.6716136271886914
91,AUS,JPN,0.0005211047420531526,0.6041809126699772
92,AUS,LVA,0.010526315789473684,0.6969036992813509
93,AUS,LBN,0.004709576138147566,0.6263136399592499
94,AUS,LTU,0.005762179151388162,0.6218539274227726
95,AUS,MYS,0.0041841004184100415,0.6365050711379057
96,AUS,MEX,0.0020876826722338203,0.5803561590198798
97,AUS,MAR,0.0020876826722338203,0.5801245064985261
98,AUS,NAM,0.005235602094240838,0.5726577997074778
99,AUS,NLD,0.005762179151388162,0.6619240896786988
100,AUS,NZL,0.0068169900367068695,0.6661364243890299
101,AUS,NGA,0.006289308176100629,0.5903417189253203
102,AUS,NOR,0.005235602094240838,0.662357146359366
103,AUS,PAK,0.0036591740721380033,0.6087138839101351
104,AUS,PER,0.0,0.6083734075032178
105,AUS,PHL,0.012124406958355299,0.6477506606607082
106,AUS,POL,0.004709576138147566,0.6339754432067051
107,AUS,PRT,0.0026109660574412533,0.6123679242650191
108,AUS,KOR,0.0,0.0
109,AUS,ROU,0.008403361344537815,0.639052146716103
110,AUS,RUS,0.0068169900367068695,0.6651557664328783
111,AUS,SAU,0.004709576138147566,0.6214760976802012
112,AUS,SEN,0.004709576138147566,0.6499599216673935
113,AUS,SRB,0.01641079936474325,0.7016669656383514
114,AUS,SVK,0.007345225603357817,0.6397195099924065
115,AUS,SVN,0.007345225603357817,0.6440024788445381
116,AUS,ZAF,0.008403361344537815,0.6202560241459102
117,AUS,SWE,0.0036591740721380033,0.6654366593293488
