,c1,c2,jac,cos
0,ARG,AUS,0.005762179151388162,0.7775406882530383
1,ARG,AUT,0.008403361344537815,0.7680965732957192
2,ARG,BGD,0.0068169900367068695,0.7203457632519173
3,ARG,BEL,0.005235602094240838,0.7390446892223802
4,ARG,BWA,0.008933263268523384,0.7355276267260681
5,ARG,BRA,0.005235602094240838,0.6916375446710784
6,ARG,BGR,0.011591148577449948,0.7805210528610762
7,ARG,CAN,0.010526315789473684,0.7759198651718942
8,ARG,CHL,0.008933263268523384,0.759571142551502
9,ARG,CHN,0.0036591740721380033,0.74781384128405
10,ARG,COL,0.011058451816745656,0.7190082646387393
11,ARG,CUB,0.0036591740721380033,0.7168691228267017
12,ARG,CZE,0.005235602094240838,0.719740361056187
13,ARG,EGY,0.006289308176100629,0.7615502033158765
14,ARG,ETH,0.06725958866036687,0.8194930552846013
15,ARG,FRA,0.003134796238244514,0.7150690324010296
16,ARG,DEU,0.00946372239747634,0.7593537482900767
17,ARG,GHA,0.0068169900367068695,0.794991048096656
18,ARG,GRC,0.007345225603357817,0.7582654926453086
19,ARG,HKG,0.0068169900367068695,0.722597701499488
20,ARG,HUN,0.025093432995194873,0.7592480753579616
21,ARG,IND,0.004709576138147566,0.782860735867836
22,ARG,IDN,0.009994739610731194,0.731263418386468
23,ARG,IRL,0.03504043126684636,0.8018657145918515
24,ARG,ISR,0.007874015748031496,0.7513623609859014
25,ARG,ITA,0.008933263268523384,0.7422765669215106
26,ARG,JPN,0.004709576138147566,0.7241274905655029
27,ARG,LVA,0.014263074484944533,0.7844527539616135
28,ARG,LBN,0.005235602094240838,0.7506835209195625
29,ARG,LTU,0.011058451816745656,0.7232654256386036
30,ARG,MYS,0.003134796238244514,0.7692347218628817
31,ARG,MEX,0.0041841004184100415,0.7040401045888806
32,ARG,MAR,0.005762179151388162,0.7106710150533594
33,ARG,NAM,0.011591148577449948,0.7548207969134796
34,ARG,NLD,0.004709576138147566,0.7107399511196444
35,ARG,NZL,0.003134796238244514,0.7219306039734688
36,ARG,NGA,0.007345225603357817,0.7193315363147712
37,ARG,NOR,0.024,0.7563440644911521
38,ARG,PAK,0.008403361344537815,0.7169754008424155
39,ARG,PER,0.008403361344537815,0.7468520475442786
40,ARG,PHL,0.005235602094240838,0.7501090062892035
41,ARG,POL,0.005762179151388162,0.714769689077568
42,ARG,PRT,0.014263074484944533,0.7261211876560908
43,ARG,KOR,0.0,0.0
44,ARG,ROU,0.011058451816745656,0.7798870446635009
45,ARG,RUS,0.00946372239747634,0.7583256229056664
46,ARG,SAU,0.007345225603357817,0.7397283947278107
47,ARG,SEN,0.008933263268523384,0.7107961576320371
48,ARG,SRB,0.030595813204508857,0.7990624210610139
49,ARG,SVK,0.007874015748031496,0.7403705304618114
50,ARG,SVN,0.012658227848101266,0.7363500342633987
51,ARG,ZAF,0.008933263268523384,0.715784670813664
52,ARG,SWE,0.00946372239747634,0.7393415309925162
53,ARG,CHE,0.003134796238244514,0.7610231905295174
54,ARG,TWN,0.0041841004184100415,0.7663663603713305
55,ARG,TZA,0.014263074484944533,0.7771556830655459
56,ARG,THA,0.004709576138147566,0.7435446681603015
57,ARG,TUR,0.0068169900367068695,0.7125632960360436
58,ARG,UGA,0.0010427528675703858,0.7707263928170655
59,ARG,UKR,0.00946372239747634,0.7176235261634712
60,ARG,ARE,0.024,0.7807122984136886
61,ARG,GBR,0.0026109660574412533,0.6941603857438657
62,ARG,USA,0.0020876826722338203,0.7350176922674415
63,ARG,VEN,0.008403361344537815,0.7124563236046964
64,ARG,VNM,0.004709576138147566,0.7436594964062246
65,ARG,ZWE,0.005762179151388162,0.7382425447480694
66,AUS,AUT,0.005762179151388162,0.8167205106996459
67,AUS,BGD,0.0041841004184100415,0.7569483019671233
68,AUS,BEL,0.0026109660574412533,0.7931398651119933
69,AUS,BWA,0.001564945226917058,0.7582301279382031
70,AUS,BRA,0.0,0.7324956516055883
71,AUS,BGR,0.007345225603357817,0.8004282897793404
72,AUS,CAN,0.0068169900367068695,0.8168949934794434
73,AUS,CHL,0.0041841004184100415,0.7883733637435523
74,AUS,CHN,0.03170338527673294,0.8637702506460805
75,AUS,COL,0.005235602094240838,0.7861326642814189
76,AUS,CUB,0.005235602094240838,0.7867800754189411
77,AUS,CZE,0.006289308176100629,0.7702640210908516
78,AUS,EGY,0.007874015748031496,0.8224701368831179
79,AUS,ETH,0.004709576138147566,0.7596204646582806
80,AUS,FRA,0.0026109660574412533,0.7786089335424949
81,AUS,DEU,0.003134796238244514,0.7923163933786084
82,AUS,GHA,0.007345225603357817,0.8287631869921982
83,AUS,GRC,0.0010427528675703858,0.8042087324381838
84,AUS,HKG,0.003134796238244514,0.7795935847010546
85,AUS,HUN,0.008403361344537815,0.7800360701100438
86,AUS,IND,0.003134796238244514,0.8138356036800828
87,AUS,IDN,0.003134796238244514,0.7689544859250858
88,AUS,IRL,0.0010427528675703858,0.8001767308717298
89,AUS,ISR,0.0036591740721380033,0.7955146511469621
90,AUS,ITA,0.0026109660574412533,0.7771822018171336
91,AUS,JPN,0.005235602094240838,0.7782329986444839
92,AUS,LVA,0.008933263268523384,0.8286280527166066
93,AUS,LBN,0.007874015748031496,0.8009184315739359
94,AUS,LTU,0.00946372239747634,0.7672167734999341
95,AUS,MYS,0.0041841004184100415,0.8007292333996278
96,AUS,MEX,0.0041841004184100415,0.7443392028231492
97,AUS,MAR,0.001564945226917058,0.7577286902110982
98,AUS,NAM,0.004709576138147566,0.7940718932068682
99,AUS,NLD,0.004709576138147566,0.7677464140990065
100,AUS,NZL,0.0020876826722338203,0.7809279486805031
101,AUS,NGA,0.001564945226917058,0.7654373609241686
102,AUS,NOR,0.0036591740721380033,0.7348710914120136
103,AUS,PAK,0.003134796238244514,0.7766131221611493
104,AUS,PER,0.0010427528675703858,0.7557542954923785
105,AUS,PHL,0.00946372239747634,0.8330707446214382
106,AUS,POL,0.004709576138147566,0.7741885424596707
107,AUS,PRT,0.007345225603357817,0.7511362800949103
108,AUS,KOR,0.0,0.0
109,AUS,ROU,0.0041841004184100415,0.788025204061319
110,AUS,RUS,0.005762179151388162,0.7802121279641824
111,AUS,SAU,0.007345225603357817,0.7695308842654545
112,AUS,SEN,0.001564945226917058,0.7404196092038715
113,AUS,SRB,0.008403361344537815,0.7932398960699824
114,AUS,SVK,0.0041841004184100415,0.7749691337142739
115,AUS,SVN,0.0041841004184100415,0.7642625946647058
116,AUS,ZAF,0.006289308176100629,0.7462304728468573
117,AUS,SWE,0.0041841004184100415,0.772295664209758
118,AUS,CHE,0.006289308176100629,0.8421636446290417
119,AUS,TWN,0.031149301825993556,0.8603871328395781
120,AUS,TZA,0.009994739610731194,0.828242121504315
121,AUS,THA,0.020191285866099893,0.8267093818363068
122,AUS,TUR,0.0020876826722338203,0.7561634890033854
123,AUS,UGA,0.008933263268523384,0.8271984156877048
124,AUS,UKR,0.0068169900367068695,0.7347766973954947
125,AUS,ARE,0.0041841004184100415,0.7891156809362054
126,AUS,GBR,0.0036591740721380033,0.7448980404488039
127,AUS,USA,0.005235602094240838,0.7842578275757507
128,AUS,VEN,0.0026109660574412533,0.7479716710048611
129,AUS,VNM,0.006289308176100629,0.7948226769240361
130,AUS,ZWE,0.003134796238244514,0.7829926682713377
131,AUT,BGD,0.0041841004184100415,0.7301064632790094
132,AUT,BEL,0.00946372239747634,0.773881855849622
133,AUT,BWA,0.007874015748031496,0.7449231182816598
134,AUT,BRA,0.003134796238244514,0.7209661893403103
135,AUT,BGR,0.03783783783783784,0.8252230616070071
136,AUT,CAN,0.0041841004184100415,0.7598790291514352
137,AUT,CHL,0.008933263268523384,0.7743749256873735
138,AUT,CHN,0.007874015748031496,0.7708890368912412
139,AUT,COL,0.014799154334038054,0.7643412493126535
140,AUT,CUB,0.0036591740721380033,0.7453496100287035
141,AUT,CZE,0.004709576138147566,0.7511840414151721
142,AUT,EGY,0.014799154334038054,0.8053614042071728
143,AUT,ETH,0.028387787895018748,0.785774109586782
144,AUT,FRA,0.013727560718057022,0.7662802632861008
145,AUT,DEU,0.008403361344537815,0.7853770912756829
146,AUT,GHA,0.0026109660574412533,0.7851671504543293
147,AUT,GRC,0.02290889717634523,0.8155688124239556
148,AUT,HKG,0.003134796238244514,0.7427260844213355
149,AUT,HUN,0.011058451816745656,0.7505701919952327
150,AUT,IND,0.007345225603357817,0.7925304325642203
151,AUT,IDN,0.024,0.7741399642591167
152,AUT,IRL,0.007345225603357817,0.7935238479076349
153,AUT,ISR,0.02290889717634523,0.799287965045687
154,AUT,ITA,0.03896103896103896,0.8040626874827616
155,AUT,JPN,0.005235602094240838,0.7543696774944297
156,AUT,LVA,0.045182362547632006,0.8412528808923249
