,c1,c2,jac,cos
2014,RUS,UKR,0.1743119266055046,0.9322036789262291
66,AUS,AUT,0.1314083677077195,0.8668361371359773
2120,SWE,CHE,0.12609970674486803,0.9303817933403399
1218,HUN,VEN,0.10599078341013825,0.8579781093011798
1471,LVA,LTU,0.10154905335628227,0.8841975929978919
1036,GHA,HKG,0.09277177006260671,0.8969967200681036
561,CHL,CZE,0.0890527509926262,0.8548961022133084
1083,GRC,HKG,0.07683679192372406,0.8608943891651528
659,CHN,TWN,0.07442641298265248,0.885483758902056
2075,SVK,SVN,0.07262569832402235,0.8354165354039352
987,DEU,GRC,0.06844741235392321,0.8800789524421047
1914,POL,RUS,0.067853170189099,0.8552850656029453
965,FRA,RUS,0.061946902654867256,0.823520518172078
198,BGD,BGR,0.061946902654867256,0.8249000522224681
381,BRA,BGR,0.06077348066298342,0.8267403255680633
479,BGR,RUS,0.06018774157923799,0.8456863332296668
1309,IRL,ITA,0.05726872246696035,0.8416751735629033
1222,IND,IRL,0.056686846450192625,0.818293324212958
2147,TWN,TUR,0.053208996160175534,0.8624921759157258
1980,ROU,RUS,0.052054794520547946,0.8707385142539172
2040,SEN,SRB,0.04860731840524304,0.836121073112852
0,ARG,AUS,0.04746317512274959,0.8009990023953079
1861,PER,POL,0.04689203925845147,0.8243721357276627
321,BWA,BGR,0.045182362547632006,0.7998229191024967
2166,THA,TUR,0.043478260869565216,0.8353426379585881
2157,TZA,TUR,0.043478260869565216,0.8651802195797709
1350,ISR,ITA,0.042911461162411735,0.8110983315357552
2022,SAU,SRB,0.041779706999457406,0.8121441946689101
1265,IDN,IRL,0.041779706999457406,0.8286251942416646
859,EGY,PHL,0.04065040650406504,0.8365098546100624
910,ETH,PHL,0.04008667388949079,0.8166465844039166
671,COL,CUB,0.03839913466738778,0.8404337428300926
2063,SRB,TWN,0.0367170626349892,0.8048713730715504
2208,VEN,VNM,0.03559870550161812,0.8273853209292181
1736,NLD,THA,0.03504043126684636,0.8133404473462136
259,BEL,BRA,0.03504043126684636,0.7804692313252454
1569,LTU,TWN,0.033925686591276254,0.8475124990403873
1533,LBN,TWN,0.0328133405056482,0.8780677714129903
1596,MYS,SAU,0.03225806451612903,0.8306079174375397
1686,NAM,NOR,0.031149301825993556,0.7922006738263166
1819,NOR,SWE,0.031149301825993556,0.8243305664851381
175,AUT,SAU,0.030595813204508857,0.7937749135745206
2183,UGA,UKR,0.030042918454935622,0.7892614521578288
1616,MEX,MAR,0.029490616621983913,0.7880991597980427
1939,PRT,SEN,0.028938906752411574,0.8078825377678748
1842,PAK,SRB,0.027837259100642397,0.803694367530704
503,CAN,CUB,0.027837259100642397,0.858361168060503
1392,ITA,LVA,0.027287319422150885,0.8025982123932436
1910,PHL,ZWE,0.02564102564102564,0.7855604668999839
2176,TUR,UKR,0.02290889717634523,0.7877093933777831
1449,JPN,RUS,0.02290889717634523,0.8016888610429879
1138,HKG,LBN,0.021820117083555083,0.8573980110277685
771,CUB,TUR,0.021820117083555083,0.8284672893101725
1654,MAR,NOR,0.021820117083555083,0.7643406114248416
1766,NZL,THA,0.020191285866099893,0.7821271176934717
2112,ZAF,UGA,0.01964949548592671,0.7770832362886821
785,CZE,GRC,0.01910828025477707,0.7972797419788499
2134,CHE,TZA,0.01856763925729443,0.8502147448993858
2197,ARE,USA,0.017488076311605722,0.78263660809622
2103,SVN,VEN,0.015873015873015872,0.792508303833679
1786,NGA,SEN,0.012658227848101266,0.7834746496610314
2210,VNM,ZWE,0.012658227848101266,0.8066592152407434
2193,UKR,VEN,0.011591148577449948,0.7314977507110929
1959,KOR,RUS,0.009994739610731194,0.8109979153677752
2203,GBR,VNM,0.005762179151388162,0.7206652601739088
2207,USA,ZWE,0.0041841004184100415,0.763826111922667
