,c1,c2,jac,cos
865,EGY,SAU,0.1771919068056407,0.951766999042992
2014,RUS,UKR,0.17503059975520197,0.9568386883384673
1490,LVA,SRB,0.1678832116788321,0.9374090506544631
483,BGR,SVK,0.1643420254699818,0.9473086510411479
816,CZE,SVK,0.16293155663234404,0.9554511583503511
1918,POL,SVK,0.16152450090744103,0.9455349037056542
1371,ISR,SAU,0.1587205793602897,0.9413494986894305
1182,HUN,LVA,0.15176964607078583,0.9242588425332573
181,AUT,SWE,0.1510791366906475,0.9279038092990383
2075,SVK,SVN,0.14285714285714285,0.9462795564558587
2158,TZA,UGA,0.14285714285714285,0.9405169193676185
1525,LBN,SAU,0.14285714285714285,0.938074848862573
1623,MEX,PER,0.1408199643493761,0.9347794427921531
348,BWA,NAM,0.1408199643493761,0.93228544178085
723,COL,VEN,0.1347517730496454,0.9449067511278815
588,CHL,PER,0.12941176470588237,0.9237819499976705
8,ARG,CHL,0.12941176470588237,0.9209315562102813
1819,NOR,SWE,0.12874779541446207,0.9164555631093937
1010,DEU,POL,0.12874779541446207,0.925235192975677
2034,SAU,ARE,0.12808460634547592,0.9393965331365661
918,ETH,SRB,0.12742219612448621,0.9023730432684177
1282,IDN,PHL,0.1267605633802817,0.938175939697863
2058,SRB,SVK,0.1267605633802817,0.9345554752999091
2189,UGA,ZWE,0.12609970674486803,0.9215217151197425
2047,SEN,TZA,0.12478031634446397,0.9301918798030497
1984,ROU,SVK,0.12280701754385964,0.93253591249776
1840,PAK,SAU,0.12280701754385964,0.9322488610753357
1704,NAM,TZA,0.12149532710280374,0.9358425396899279
1883,PER,VEN,0.12018669778296383,0.9187798808863878
1121,GRC,TUR,0.1169284467713787,0.9341460364661645
2173,THA,VNM,0.11563044741429401,0.9148604242859275
1564,LTU,SVK,0.11563044741429401,0.9296330610625266
414,BRA,PER,0.114335461404527,0.9219239704041957
1654,MAR,NOR,0.11239860950173812,0.8899652950598453
1909,PHL,VNM,0.10726643598615918,0.9080459086864704
1732,NLD,SWE,0.10599078341013825,0.917769078977004
945,FRA,ITA,0.10535405872193437,0.9325181308975529
288,BEL,NLD,0.10281447443997703,0.9289815330211896
777,CUB,VEN,0.10028653295128939,0.9197441899590973
2119,ZAF,ZWE,0.09902690326273612,0.9073227979713525
1082,GHA,ZWE,0.09777015437392796,0.9152534736819803
248,BGD,THA,0.09714285714285714,0.9189136970694692
1406,ITA,POL,0.09339407744874716,0.9068423676950761
105,AUS,PHL,0.0890527509926262,0.8982451484723253
1804,NGA,ZWE,0.0890527509926262,0.9081879859011703
659,CHN,TWN,0.08843537414965986,0.9264659142010805
2124,SWE,TUR,0.08781869688385269,0.9066804138196997
2092,SVN,SWE,0.07804604154969118,0.8930331365994699
527,CAN,NZL,0.07744107744107744,0.8833204005799895
1164,HKG,TWN,0.07623318385650224,0.8923517140103314
1762,NZL,SWE,0.07623318385650224,0.8650077865382145
1336,IRL,SWE,0.07502799552071669,0.8979615210845889
1936,PRT,ROU,0.07442641298265248,0.8852376783762382
2209,VEN,ZWE,0.07442641298265248,0.8941760553890142
2180,TUR,VEN,0.07322526551145891,0.8975292109979777
1468,JPN,VNM,0.07142857142857142,0.8754682316419098
1237,IND,PAK,0.067853170189099,0.8966535352173625
1590,MYS,PHL,0.06725958866036687,0.899941973829985
2153,TWN,VEN,0.06666666666666667,0.8741114545795394
2198,ARE,VEN,0.059602649006622516,0.8936755674736016
2193,UKR,VEN,0.05726872246696035,0.8877286395077642
2135,CHE,THA,0.053208996160175534,0.8875276602864638
2210,VNM,ZWE,0.04860731840524304,0.8451019577490595
2205,USA,VEN,0.013192612137203167,0.8305367803062648
1968,KOR,TWN,0.008403361344537815,0.848410088730535
2203,GBR,VNM,0.006289308176100629,0.7727922343877526
