,c1,c2,jac,cos
0,ARG,AUS,0.011591148577449948,0.7630166106103079
1,ARG,AUT,0.020191285866099893,0.7926582508102036
2,ARG,BGD,0.014263074484944533,0.7565514112087757
3,ARG,BEL,0.018027571580063628,0.7836983548961938
4,ARG,BWA,0.011591148577449948,0.7413918647531947
5,ARG,BRA,0.03336921420882669,0.8350160591828361
6,ARG,BGR,0.014263074484944533,0.768116658522484
7,ARG,CAN,0.00946372239747634,0.7982738167116846
8,ARG,CHL,0.04008667388949079,0.8046535576039926
9,ARG,CHN,0.0020876826722338203,0.7759144785501596
10,ARG,COL,0.015335801163405606,0.7850280029790551
11,ARG,CUB,0.01641079936474325,0.7844374630138152
12,ARG,CZE,0.015873015873015872,0.7481490429338932
13,ARG,EGY,0.022364217252396165,0.8230868452534388
14,ARG,ETH,0.012124406958355299,0.7518850903252593
15,ARG,FRA,0.011591148577449948,0.8214736574006791
16,ARG,DEU,0.011591148577449948,0.7981158797077007
17,ARG,GHA,0.01641079936474325,0.7721145730821821
18,ARG,GRC,0.015873015873015872,0.7967130838485524
19,ARG,HKG,0.0041841004184100415,0.7527427354648873
20,ARG,HUN,0.015335801163405606,0.7953920452674066
21,ARG,IND,0.0068169900367068695,0.7716304967873644
22,ARG,IDN,0.020191285866099893,0.8118042851737345
23,ARG,IRL,0.008933263268523384,0.7414170384562991
24,ARG,ISR,0.013192612137203167,0.8092084607619014
25,ARG,ITA,0.01964949548592671,0.8319708402275109
26,ARG,JPN,0.006289308176100629,0.7550376195614042
27,ARG,LVA,0.012124406958355299,0.7603056684604124
28,ARG,LBN,0.007874015748031496,0.7456000870165399
29,ARG,LTU,0.007874015748031496,0.7255840339679449
30,ARG,MYS,0.007874015748031496,0.7448198607263635
31,ARG,MEX,0.023454157782515993,0.835982119754881
32,ARG,MAR,0.008933263268523384,0.7331469593922104
33,ARG,NAM,0.006289308176100629,0.735695519934888
34,ARG,NLD,0.012658227848101266,0.7747628486510465
35,ARG,NZL,0.012124406958355299,0.7141046475574866
36,ARG,NGA,0.006289308176100629,0.7387653588138127
37,ARG,NOR,0.0068169900367068695,0.6979951170301204
38,ARG,PAK,0.01856763925729443,0.775373166286971
39,ARG,PER,0.029490616621983913,0.7857362331863817
40,ARG,PHL,0.025093432995194873,0.8030539496657746
41,ARG,POL,0.013192612137203167,0.7690513092026271
42,ARG,PRT,0.026189203634420097,0.808388795127808
43,ARG,KOR,0.0005211047420531526,0.8101635213122342
44,ARG,ROU,0.014799154334038054,0.7709855168123091
45,ARG,RUS,0.018027571580063628,0.7917906270540067
46,ARG,SAU,0.01694915254237288,0.7707421168238572
47,ARG,SEN,0.0068169900367068695,0.7470339219758331
48,ARG,SRB,0.012658227848101266,0.7685515334417031
49,ARG,SVK,0.011058451816745656,0.7733546750293679
50,ARG,SVN,0.011591148577449948,0.7414049089536369
51,ARG,ZAF,0.012658227848101266,0.7322416530041554
52,ARG,SWE,0.01641079936474325,0.8018680697817366
53,ARG,CHE,0.011591148577449948,0.8184056338010848
54,ARG,TWN,0.007874015748031496,0.7694054989714573
55,ARG,TZA,0.014799154334038054,0.7883309241752785
56,ARG,THA,0.017488076311605722,0.7701641020073322
57,ARG,TUR,0.011591148577449948,0.8077127822905809
58,ARG,UGA,0.007345225603357817,0.7348460424996215
59,ARG,UKR,0.008933263268523384,0.7473473317957009
60,ARG,ARE,0.01856763925729443,0.8236402351939562
61,ARG,GBR,0.0020876826722338203,0.744297822826838
62,ARG,USA,0.0036591740721380033,0.729623033558856
63,ARG,VEN,0.025093432995194873,0.8139444196897672
64,ARG,VNM,0.014263074484944533,0.7760167716495223
65,ARG,ZWE,0.009994739610731194,0.7691420932260636
66,AUS,AUT,0.020191285866099893,0.8118399121767349
67,AUS,BGD,0.006289308176100629,0.7335379410243158
68,AUS,BEL,0.022364217252396165,0.7953437218147351
69,AUS,BWA,0.005762179151388162,0.7259578723331588
70,AUS,BRA,0.020191285866099893,0.8118005301263179
71,AUS,BGR,0.008403361344537815,0.7490786947286331
72,AUS,CAN,0.026189203634420097,0.8512062307252888
73,AUS,CHL,0.013192612137203167,0.756541904802065
74,AUS,CHN,0.025093432995194873,0.8479922732600687
75,AUS,COL,0.010526315789473684,0.7761158295092505
76,AUS,CUB,0.006289308176100629,0.7521699013446468
77,AUS,CZE,0.011058451816745656,0.7543790053989751
78,AUS,EGY,0.023454157782515993,0.8318392764190455
