,c1,c2,jac,cos
0,ARG,AUT,0.017488076311605722,0.8020450411181246
1,ARG,AUS,0.008403361344537815,0.7387901385588943
2,ARG,BGD,0.010526315789473684,0.8266650076779845
3,ARG,BEL,0.025093432995194873,0.8154762413437758
4,ARG,BGR,0.01910828025477707,0.8162890033991124
5,ARG,BRA,0.05843439911797133,0.8773520103627148
6,ARG,BWA,0.001564945226917058,0.6323582056535545
7,ARG,CAN,0.01856763925729443,0.8231254671092579
8,ARG,CHE,0.008933263268523384,0.7607120543161756
9,ARG,CHL,0.0020876826722338203,0.7830596571086135
10,ARG,CHN,0.0036591740721380033,0.6179469800467874
11,ARG,COL,0.043478260869565216,0.8611845144432699
12,ARG,CUB,0.006289308176100629,0.7672319812528999
13,ARG,DEU,0.034482758620689655,0.8726125733017662
14,ARG,EGY,0.012124406958355299,0.8233433166349001
15,ARG,ETH,0.0068169900367068695,0.7492836102142272
16,ARG,FRA,0.03559870550161812,0.8645573930783524
17,ARG,GBR,0.012124406958355299,0.8062090680820191
18,ARG,GHA,0.01694915254237288,0.8173283349631141
19,ARG,GRC,0.011591148577449948,0.8063867664432186
20,ARG,HKG,0.008403361344537815,0.7784635619542509
21,ARG,HUN,0.01910828025477707,0.8041230197002226
22,ARG,IDN,0.009994739610731194,0.7524276590958713
23,ARG,IRL,0.0041841004184100415,0.6876333184866976
24,ARG,ISR,0.009994739610731194,0.7653682530610744
25,ARG,IND,0.00946372239747634,0.7969147452237433
26,ARG,ITA,0.02290889717634523,0.8242471539386271
27,ARG,JPN,0.011058451816745656,0.8188207448671392
28,ARG,KEN,0.001564945226917058,0.7300384209507027
29,ARG,LBN,0.01641079936474325,0.7925851092155611
30,ARG,LTU,0.00946372239747634,0.7021478386743532
31,ARG,LVA,0.0026109660574412533,0.6020716734855126
32,ARG,MAR,0.0036591740721380033,0.6775286190751338
33,ARG,MEX,0.026737967914438502,0.8258166195750177
34,ARG,MYS,0.005235602094240838,0.7250104151509748
35,ARG,NAM,0.001564945226917058,0.7479921535578127
36,ARG,NGA,0.011058451816745656,0.798957781749807
37,ARG,NLD,0.021820117083555083,0.802115708122862
38,ARG,NOR,0.01641079936474325,0.810145160877525
39,ARG,NZL,0.010526315789473684,0.7887921084163834
40,ARG,PER,0.003134796238244514,0.7844586258993534
41,ARG,PHL,0.025093432995194873,0.8257522754665696
42,ARG,PAK,0.003134796238244514,0.7758298627484869
43,ARG,POL,0.023454157782515993,0.8158109091147568
44,ARG,PRT,0.07083100948131622,0.8570854030842554
45,ARG,ROU,0.006289308176100629,0.7378674651092585
46,ARG,SRB,0.03504043126684636,0.8443319086430271
47,ARG,RUS,0.010526315789473684,0.8154298560292481
48,ARG,SWE,0.008403361344537815,0.784841170057334
49,ARG,SGP,0.0068169900367068695,0.7688035562479298
50,ARG,SVN,0.010526315789473684,0.7571518706419051
51,ARG,SVK,0.017488076311605722,0.8109779384139191
52,ARG,SEN,0.008933263268523384,0.7727892687370855
53,ARG,THA,0.008403361344537815,0.722287978917337
54,ARG,TUR,0.02564102564102564,0.8353475392183473
55,ARG,TWN,0.0026109660574412533,0.7021759137059176
56,ARG,TZA,0.007874015748031496,0.7465400483103162
57,ARG,UKR,0.011591148577449948,0.7739170954047735
58,ARG,UGA,0.014263074484944533,0.78130629921374
59,ARG,VEN,0.03504043126684636,0.8322090095403041
60,ARG,VNM,0.010526315789473684,0.7651909529705999
61,ARG,ZWE,0.014263074484944533,0.7693106684589568
62,AUT,AUS,0.056686846450192625,0.9087789225984517
63,AUT,BGD,0.006289308176100629,0.8403206098137364
64,AUT,BEL,0.015873015873015872,0.8149507969976874
65,AUT,BGR,0.024,0.8546153970429926
66,AUT,BRA,0.0367170626349892,0.8704631111973605
67,AUT,BWA,0.0010427528675703858,0.675051657437189
68,AUT,CAN,0.013727560718057022,0.7870735115636368
69,AUT,CHE,0.024,0.8189231324926913
70,AUT,CHL,0.0041841004184100415,0.8160181016220862
71,AUT,CHN,0.0036591740721380033,0.645181024306535
72,AUT,COL,0.01694915254237288,0.8336404340903241
73,AUT,CUB,0.001564945226917058,0.7805428483728557
74,AUT,DEU,0.031149301825993556,0.8918919614881081
75,AUT,EGY,0.0036591740721380033,0.8037833048027696
76,AUT,ETH,0.006289308176100629,0.74786684642102
77,AUT,FRA,0.01856763925729443,0.8733063284906162
78,AUT,GBR,0.008933263268523384,0.810428000982654
79,AUT,GHA,0.023454157782515993,0.8417126831707176
80,AUT,GRC,0.007345225603357817,0.8133964662634716
81,AUT,HKG,0.027837259100642397,0.8413138294528894
82,AUT,HUN,0.013727560718057022,0.8144292752146106
83,AUT,IDN,0.021820117083555083,0.7945475705278309
84,AUT,IRL,0.008403361344537815,0.7280348835078888
85,AUT,ISR,0.0068169900367068695,0.7556260696465783
86,AUT,IND,0.014799154334038054,0.8650786212633605
87,AUT,ITA,0.006289308176100629,0.7607665963515648
88,AUT,JPN,0.007874015748031496,0.8387943372425815
89,AUT,KEN,0.003134796238244514,0.7685215487016176
90,AUT,LBN,0.005762179151388162,0.7815173122234838
91,AUT,LTU,0.009994739610731194,0.7230040018525296
92,AUT,LVA,0.001564945226917058,0.6202317203344673
93,AUT,MAR,0.003134796238244514,0.6590070549542147
94,AUT,MEX,0.010526315789473684,0.8047755193482481
95,AUT,MYS,0.0068169900367068695,0.7477185561743819
96,AUT,NAM,0.003134796238244514,0.7054881689808647
97,AUT,NGA,0.00946372239747634,0.8139832525640585
98,AUT,NLD,0.0457516339869281,0.8587328997527769
99,AUT,NOR,0.013727560718057022,0.8428841828289503
100,AUT,NZL,0.04918032786885246,0.8905817349742144
101,AUT,PER,0.010526315789473684,0.8542458466158249
102,AUT,PHL,0.014263074484944533,0.8200413988345127
103,AUT,PAK,0.013192612137203167,0.8468437539140458
104,AUT,POL,0.024,0.8377313825848809
105,AUT,PRT,0.02454642475987193,0.8219703184491411
106,AUT,ROU,0.009994739610731194,0.7669865421832267
107,AUT,SRB,0.012658227848101266,0.8123319789154404
108,AUT,RUS,0.003134796238244514,0.8052499180595275
109,AUT,SWE,0.027837259100642397,0.8525564927782858
110,AUT,SGP,0.013192612137203167,0.8150865423427617
111,AUT,SVN,0.025093432995194873,0.826289523423521
112,AUT,SVK,0.01641079936474325,0.8223408187619249
113,AUT,SEN,0.011058451816745656,0.8120222255383229
114,AUT,THA,0.013192612137203167,0.7868842791255828
115,AUT,TUR,0.010526315789473684,0.8353717838504978
116,AUT,TWN,0.001564945226917058,0.7376510881242749
117,AUT,TZA,0.006289308176100629,0.7636738170320011
118,AUT,UKR,0.023454157782515993,0.7926263884531113
119,AUT,UGA,0.012124406958355299,0.794977410424884
120,AUT,VEN,0.011058451816745656,0.7919081078148871
121,AUT,VNM,0.012124406958355299,0.7750183482811719
122,AUT,ZWE,0.03783783783783784,0.8555133494101556
123,AUS,BGD,0.007874015748031496,0.8478919812672954
124,AUS,BEL,0.011058451816745656,0.7699591665454754
125,AUS,BGR,0.009994739610731194,0.8068915079567448
126,AUS,BRA,0.05090311986863711,0.867140337104394
127,AUS,BWA,0.001564945226917058,0.6769915587632006
128,AUS,CAN,0.007874015748031496,0.7650649547045516
129,AUS,CHE,0.012658227848101266,0.7958608102517806
130,AUS,CHL,0.005762179151388162,0.800977291431348
131,AUS,CHN,0.005235602094240838,0.6624670265341841
132,AUS,COL,0.010526315789473684,0.7983752781324266
133,AUS,CUB,0.005235602094240838,0.7829980479694383
134,AUS,DEU,0.025093432995194873,0.8556841702651365
135,AUS,EGY,0.006289308176100629,0.7963472454872059
136,AUS,ETH,0.003134796238244514,0.7288067281822398
137,AUS,FRA,0.012124406958355299,0.8126424988995385
138,AUS,GBR,0.017488076311605722,0.8345159108253438
139,AUS,GHA,0.024,0.8464015669577635
140,AUS,GRC,0.003134796238244514,0.7977328567129569
141,AUS,HKG,0.03559870550161812,0.8609001969542904
142,AUS,HUN,0.0036591740721380033,0.7688365033018383
143,AUS,IDN,0.03170338527673294,0.804070802052639
144,AUS,IRL,0.004709576138147566,0.7483610536518583
145,AUS,ISR,0.007345225603357817,0.7692854869834509
146,AUS,IND,0.05032822757111598,0.9181405299035181
147,AUS,ITA,0.007874015748031496,0.8024564228239516
148,AUS,JPN,0.015335801163405606,0.8504351592227237
149,AUS,KEN,0.007874015748031496,0.7912590575906299
150,AUS,LBN,0.005235602094240838,0.7641480616959941
151,AUS,LTU,0.0041841004184100415,0.6921680220487887
152,AUS,LVA,0.0010427528675703858,0.6235042133421649
153,AUS,MAR,0.001564945226917058,0.6434114606976317
154,AUS,MEX,0.015335801163405606,0.801493316395708
155,AUS,MYS,0.009994739610731194,0.7575834640485855
156,AUS,NAM,0.0005211047420531526,0.6806547483339287
157,AUS,NGA,0.008403361344537815,0.7973465159426972
158,AUS,NLD,0.034482758620689655,0.8378309740452015
159,AUS,NOR,0.0068169900367068695,0.8075581151008965
160,AUS,NZL,0.12018669778296383,0.9411549471222055
161,AUS,PER,0.007345225603357817,0.8300540662468746
162,AUS,PHL,0.012124406958355299,0.801434363383389
163,AUS,PAK,0.04234527687296417,0.8959354265518189
164,AUS,POL,0.007874015748031496,0.8005058658714039
165,AUS,PRT,0.020191285866099893,0.7922890608326004
166,AUS,ROU,0.007345225603357817,0.7367774960666027
167,AUS,SRB,0.0010427528675703858,0.7179655034020364
168,AUS,RUS,0.0036591740721380033,0.793583289300263
169,AUS,SWE,0.012658227848101266,0.8097303633106586
170,AUS,SGP,0.013727560718057022,0.8137506428470912
171,AUS,SVN,0.005762179151388162,0.7668343197540031
172,AUS,SVK,0.007345225603357817,0.7752503628311809
173,AUS,SEN,0.005235602094240838,0.7823910957062687
174,AUS,THA,0.010526315789473684,0.790776685505474
175,AUS,TUR,0.008933263268523384,0.8138713255904323
176,AUS,TWN,0.001564945226917058,0.7404391239855175
177,AUS,TZA,0.0041841004184100415,0.7453217558925432
178,AUS,UKR,0.003134796238244514,0.7570688146244341
179,AUS,UGA,0.012658227848101266,0.7823426961659941
180,AUS,VEN,0.0068169900367068695,0.7798615994674482
181,AUS,VNM,0.009994739610731194,0.7817012236461472
182,AUS,ZWE,0.07563025210084033,0.8980012785001259
183,BGD,BEL,0.0026109660574412533,0.7999827841667297
184,BGD,BGR,0.0020876826722338203,0.7678135429065168
185,BGD,BRA,0.0068169900367068695,0.8251945365948671
186,BGD,BWA,0.005235602094240838,0.7022019073206826
187,BGD,CAN,0.013727560718057022,0.8775994868338258
