,c1,c2,jac,cos
1887,SVN,SVK,0.1524609843937575,0.9349300020751509
561,CHE,SWE,0.12280701754385964,0.910790716266755
160,AUS,NZL,0.12018669778296383,0.9411549471222055
1721,NZL,ZWE,0.12018669778296383,0.9253468156114828
412,BRA,ZWE,0.10028653295128939,0.8918835646611268
438,BWA,MAR,0.07683679192372406,0.7787255868277637
1457,LTU,LVA,0.07623318385650224,0.775036858380515
1184,IDN,MYS,0.07502799552071669,0.9083524339161346
1092,HKG,HUN,0.07322526551145891,0.848798623565127
44,ARG,PRT,0.07083100948131622,0.8570854030842554
1654,NLD,NZL,0.07023411371237458,0.8949199890346753
648,CHN,MAR,0.06666666666666667,0.7531419966775316
806,DEU,POL,0.06312292358803986,0.9017905097193363
1795,POL,UKR,0.061946902654867256,0.888774891502829
1488,LVA,MAR,0.06077348066298342,0.7425935621382869
62,AUT,AUS,0.056686846450192625,0.9087789225984517
1027,GHA,NZL,0.056105610561056105,0.8829574640058709
1857,RUS,UKR,0.054945054945054944,0.914909055643431
1781,PAK,ZWE,0.05147864184008762,0.8725141489143091
1587,MYS,RUS,0.05032822757111598,0.8784413343238223
1303,IND,PAK,0.04918032786885246,0.92378017601841
945,FRA,PRT,0.048034934497816595,0.8723489017793544
725,COL,VEN,0.042911461162411735,0.9106393771642988
251,BEL,DEU,0.041779706999457406,0.872465118582422
1836,SRB,SVN,0.03952355170546833,0.8311627761385545
1878,SGP,THA,0.03783783783783784,0.8503987598668312
1817,ROU,SRB,0.03783783783783784,0.8772520896464756
338,BGR,POL,0.03783783783783784,0.8458506007380789
505,CAN,ROU,0.03727714748784441,0.8721743867106746
1340,ITA,PRT,0.03504043126684636,0.8026716360699065
1454,LBN,VEN,0.033925686591276254,0.8269243096172735
1816,PRT,ZWE,0.03336921420882669,0.8118880933081443
1754,PHL,THA,0.03336921420882669,0.8364027862201956
1254,ISR,LBN,0.03336921420882669,0.8511801932850941
1681,NOR,POL,0.03336921420882669,0.8478835419166001
1863,SWE,SVN,0.0328133405056482,0.8520782233241501
1154,HUN,POL,0.03225806451612903,0.814469324760084
1554,MEX,PHL,0.03225806451612903,0.8359031461434044
839,EGY,LBN,0.027287319422150885,0.8726851913495468
1634,NGA,POL,0.026737967914438502,0.835292459407283
1927,TUR,UKR,0.02564102564102564,0.8540915743126418
1923,THA,VNM,0.02454642475987193,0.8301813411616773
988,GBR,POL,0.024,0.849937044739335
1950,VEN,VNM,0.023454157782515993,0.804889283787774
207,BGD,JPN,0.02290889717634523,0.88983759458918
1218,IRL,LTU,0.022364217252396165,0.6824766568866052
1397,KEN,MYS,0.022364217252396165,0.8317292145035191
886,ETH,LTU,0.021820117083555083,0.7277580544318278
1369,JPN,NZL,0.02073365231259968,0.8477080388279475
1611,NAM,ROU,0.020191285866099893,0.8250834992735331
1056,GRC,ITA,0.01964949548592671,0.8185685637108139
1949,UGA,ZWE,0.01694915254237288,0.7754560352189961
1905,SVK,VEN,0.01641079936474325,0.8196431449778776
1914,SEN,VEN,0.015335801163405606,0.8110491840571435
585,CHL,HKG,0.013192612137203167,0.8291351751631304
1940,TZA,VEN,0.013192612137203167,0.7780378613322521
1944,UKR,VEN,0.011591148577449948,0.7659721705368109
1952,VNM,ZWE,0.011058451816745656,0.7410570669220754
1742,PER,ZWE,0.010526315789473684,0.8170972091874484
772,CUB,UKR,0.008933263268523384,0.7588294734301276
1518,MAR,MEX,0.008403361344537815,0.7102928182914973
1936,TWN,VNM,0.007345225603357817,0.7153374898849222
