,c1,c2,jac,cos
0,ARG,AUT,0.001564945226917058,0.6506889474436794
1,ARG,AUS,0.0005211047420531526,0.5964265403177754
2,ARG,BGD,0.0020876826722338203,0.6909922872264284
3,ARG,BEL,0.00946372239747634,0.6945400572910447
4,ARG,BGR,0.0041841004184100415,0.6729379836152565
5,ARG,BRA,0.014799154334038054,0.7974921373740582
6,ARG,BWA,0.0005211047420531526,0.5652336190509742
7,ARG,CAN,0.0036591740721380033,0.7007994130330082
8,ARG,CHE,0.0036591740721380033,0.6664929258630857
9,ARG,CHL,0.0010427528675703858,0.6426550148079724
10,ARG,CHN,0.001564945226917058,0.5732137816098608
11,ARG,COL,0.008933263268523384,0.7208773511925793
12,ARG,CUB,0.0010427528675703858,0.6718033401746075
13,ARG,DEU,0.00946372239747634,0.7222970358852442
14,ARG,EGY,0.0026109660574412533,0.6928902725014187
15,ARG,ETH,0.0026109660574412533,0.6758249174799924
16,ARG,FRA,0.008933263268523384,0.6954630222733043
17,ARG,GBR,0.0036591740721380033,0.7110266553600149
18,ARG,GHA,0.005762179151388162,0.7247962074576597
19,ARG,GRC,0.003134796238244514,0.6877665775502424
20,ARG,HKG,0.001564945226917058,0.6532000181609422
21,ARG,HUN,0.003134796238244514,0.6703526253404993
22,ARG,IDN,0.0026109660574412533,0.6614703579181566
23,ARG,IRL,0.001564945226917058,0.6400123853379502
24,ARG,ISR,0.0041841004184100415,0.6839416074760577
25,ARG,IND,0.0,0.6767608519917014
26,ARG,ITA,0.005762179151388162,0.7042479699806377
27,ARG,JPN,0.004709576138147566,0.7059290212393966
28,ARG,KEN,0.0005211047420531526,0.6641651173456738
29,ARG,LBN,0.0020876826722338203,0.6683327479388201
30,ARG,LTU,0.0010427528675703858,0.5929564438361604
31,ARG,LVA,0.0005211047420531526,0.5740256478807043
32,ARG,MAR,0.0026109660574412533,0.6105022364758692
33,ARG,MEX,0.0036591740721380033,0.7015698598121097
34,ARG,MYS,0.0,0.6546867381043024
35,ARG,NAM,0.0010427528675703858,0.6465533292470326
36,ARG,NGA,0.0041841004184100415,0.7341300010629124
37,ARG,NLD,0.0020876826722338203,0.6856723790876551
38,ARG,NOR,0.0041841004184100415,0.730580575188117
39,ARG,NZL,0.0010427528675703858,0.6821510641116849
40,ARG,PER,0.0010427528675703858,0.7381548140611125
41,ARG,PHL,0.003134796238244514,0.6873246799774246
42,ARG,PAK,0.0020876826722338203,0.6409294138893065
43,ARG,POL,0.0041841004184100415,0.687960832471342
44,ARG,PRT,0.007874015748031496,0.6933281158364998
45,ARG,ROU,0.0005211047420531526,0.6178536067094844
46,ARG,SRB,0.00946372239747634,0.7014496963579004
47,ARG,RUS,0.001564945226917058,0.6931920670942421
48,ARG,SWE,0.001564945226917058,0.6649214876588702
49,ARG,SGP,0.0026109660574412533,0.649627798346334
50,ARG,SVN,0.0026109660574412533,0.6588932295322985
51,ARG,SVK,0.0026109660574412533,0.7021236987475382
52,ARG,SEN,0.0005211047420531526,0.6859156405352668
53,ARG,THA,0.0010427528675703858,0.5965915228570053
54,ARG,TUR,0.001564945226917058,0.6740062964644986
55,ARG,TWN,0.0026109660574412533,0.6199830653564086
56,ARG,TZA,0.0020876826722338203,0.698709168130168
57,ARG,UKR,0.0041841004184100415,0.7120863748157793
58,ARG,UGA,0.004709576138147566,0.6952048907569784
59,ARG,VEN,0.008403361344537815,0.7285153248385363
60,ARG,VNM,0.0010427528675703858,0.6706772645071046
61,ARG,ZWE,0.001564945226917058,0.6781078993421892
62,AUT,AUS,0.245136186770428,0.972252026212974
63,AUT,BGD,0.0005211047420531526,0.7052318710589413
64,AUT,BEL,0.003134796238244514,0.6894592217109745
65,AUT,BGR,0.006289308176100629,0.7180844026479604
66,AUT,BRA,0.006289308176100629,0.7216260369613996
67,AUT,BWA,0.003134796238244514,0.6183497673348115
68,AUT,CAN,0.0005211047420531526,0.6559636320142103
69,AUT,CHE,0.003134796238244514,0.6996140980777468
70,AUT,CHL,0.004709576138147566,0.7087331836534794
71,AUT,CHN,0.0,0.5825887151684211
72,AUT,COL,0.004709576138147566,0.7123545613796816
73,AUT,CUB,0.0020876826722338203,0.6779579877091997
74,AUT,DEU,0.0036591740721380033,0.7565459679619794
75,AUT,EGY,0.0020876826722338203,0.7057335921696164
76,AUT,ETH,0.0020876826722338203,0.6961393883772874
77,AUT,FRA,0.011058451816745656,0.7633771511315682
78,AUT,GBR,0.001564945226917058,0.7042985827561897
79,AUT,GHA,0.005762179151388162,0.7378853580718354
80,AUT,GRC,0.0026109660574412533,0.7367655889707871
81,AUT,HKG,0.007874015748031496,0.7022993545066357
82,AUT,HUN,0.0026109660574412533,0.7272751875373017
83,AUT,IDN,0.005762179151388162,0.7176917589523083
84,AUT,IRL,0.003134796238244514,0.671848403698244
85,AUT,ISR,0.001564945226917058,0.6907711235432197
86,AUT,IND,0.005235602094240838,0.7591794780074407
87,AUT,ITA,0.0010427528675703858,0.6503969764258437
88,AUT,JPN,0.003134796238244514,0.7220749449853114
89,AUT,KEN,0.001564945226917058,0.7390076844820072
90,AUT,LBN,0.0010427528675703858,0.6609730456593198
91,AUT,LTU,0.0010427528675703858,0.6052210885732953
92,AUT,LVA,0.0010427528675703858,0.6062207634501959
93,AUT,MAR,0.0010427528675703858,0.5955296241370135
94,AUT,MEX,0.0005211047420531526,0.6720538995807509
95,AUT,MYS,0.0036591740721380033,0.690884572924812
96,AUT,NAM,0.0010427528675703858,0.6220474374696933
97,AUT,NGA,0.004709576138147566,0.7584393017282159
98,AUT,NLD,0.005762179151388162,0.7220782879367778
99,AUT,NOR,0.0020876826722338203,0.7299613993701092
100,AUT,NZL,0.0068169900367068695,0.7948339031283264
101,AUT,PER,0.0041841004184100415,0.7484972639367832
102,AUT,PHL,0.0010427528675703858,0.7036872925758546
103,AUT,PAK,0.003134796238244514,0.6930930694748135
104,AUT,POL,0.0041841004184100415,0.7368054553050827
105,AUT,PRT,0.003134796238244514,0.701597694248162
106,AUT,ROU,0.001564945226917058,0.6793902879862012
107,AUT,SRB,0.0010427528675703858,0.6440824132967218
108,AUT,RUS,0.0010427528675703858,0.7285879352389741
109,AUT,SWE,0.0026109660574412533,0.7146950970917411
110,AUT,SGP,0.001564945226917058,0.6985176852765862
111,AUT,SVN,0.0068169900367068695,0.7448320888145187
112,AUT,SVK,0.004709576138147566,0.7337477950735305
113,AUT,SEN,0.0026109660574412533,0.7307723300760365
114,AUT,THA,0.001564945226917058,0.6803813043772093
115,AUT,TUR,0.0041841004184100415,0.7125162252679808
116,AUT,TWN,0.0010427528675703858,0.6494911775286241
117,AUT,TZA,0.0026109660574412533,0.6946025632771194
118,AUT,UKR,0.00946372239747634,0.7416437575542233
119,AUT,UGA,0.0020876826722338203,0.6941717110314659
120,AUT,VEN,0.0010427528675703858,0.6974871361832833
121,AUT,VNM,0.0026109660574412533,0.7097099594448624
122,AUT,ZWE,0.005762179151388162,0.7631864087972142
123,AUS,BGD,0.0005211047420531526,0.6955730885262499
124,AUS,BEL,0.003134796238244514,0.6593117057601955
125,AUS,BGR,0.005762179151388162,0.670479158731472
126,AUS,BRA,0.005762179151388162,0.6853384886865331
127,AUS,BWA,0.003134796238244514,0.5919882682141224
128,AUS,CAN,0.0005211047420531526,0.614056652283808
129,AUS,CHE,0.0026109660574412533,0.6591332885096299
130,AUS,CHL,0.003134796238244514,0.6745675609484157
131,AUS,CHN,0.001564945226917058,0.5652503249355267
