,c1,c2,jac,cos
62,AUT,AUS,0.245136186770428,0.972252026212974
1887,SVN,SVK,0.12941176470588237,0.92669936227865
550,CHE,NLD,0.0865874363327674,0.8618850468078361
1457,LTU,LVA,0.06607440310938367,0.7438595198629333
369,BRA,GHA,0.055525013743815285,0.8825155474019989
1668,NLD,THA,0.048034934497816595,0.7907575125384704
1184,IDN,MYS,0.04461371055495103,0.8230942849961193
438,BWA,MAR,0.043478260869565216,0.6902581735697925
1225,IRL,NLD,0.043478260869565216,0.7963353588160773
600,CHL,NAM,0.03504043126684636,0.7602358727562074
1713,NZL,THA,0.03504043126684636,0.7734083880383313
1488,LVA,MAR,0.03336921420882669,0.6745129183448975
1587,MYS,RUS,0.03336921420882669,0.8195106695827324
646,CHN,LTU,0.03225806451612903,0.6510463362591561
1791,POL,THA,0.02454642475987193,0.7747343122188775
1160,HUN,SGP,0.023454157782515993,0.7437959938914114
790,DEU,JPN,0.022364217252396165,0.7406200982209472
331,BGR,NGA,0.01964949548592671,0.7773951450794626
1303,IND,PAK,0.01641079936474325,0.796991350152429
297,BEL,VEN,0.015873015873015872,0.7485289067650728
1647,NGA,TZA,0.015873015873015872,0.7760097911461962
1410,KEN,RUS,0.015335801163405606,0.7956821482005054
754,CUB,NZL,0.015335801163405606,0.6820370740671134
5,ARG,BRA,0.014799154334038054,0.7974921373740582
1807,PRT,SEN,0.014799154334038054,0.7806810055905631
834,EGY,ISR,0.014263074484944533,0.7305394826132571
1857,RUS,UKR,0.014263074484944533,0.8526649390763654
518,CAN,UGA,0.014263074484944533,0.7007176453163754
1371,JPN,PHL,0.013727560718057022,0.7474410881055424
1951,VEN,ZWE,0.013727560718057022,0.7388906133286903
1032,GHA,PRT,0.013727560718057022,0.7964920938251286
886,ETH,LTU,0.012658227848101266,0.7118702892799788
725,COL,VEN,0.012658227848101266,0.8624043920629118
160,AUS,NZL,0.011591148577449948,0.776545986059167
1132,HKG,ZWE,0.011058451816745656,0.704941041078295
1340,ITA,PRT,0.011058451816745656,0.7092359100920616
940,FRA,NZL,0.010526315789473684,0.6925316682457777
1611,NAM,ROU,0.010526315789473684,0.7375272526297314
1279,ISR,TUR,0.009994739610731194,0.7488609245772747
973,GBR,KEN,0.00946372239747634,0.8203222817013784
1761,PHL,VNM,0.00946372239747634,0.7156366488976912
206,BGD,ITA,0.008403361344537815,0.7828779679362914
1818,ROU,RUS,0.008403361344537815,0.7626547026010158
1440,LBN,ROU,0.007874015748031496,0.6957948096453184
1940,TZA,VEN,0.007874015748031496,0.7250454223015371
1914,SEN,VEN,0.007874015748031496,0.7557042585506013
1927,TUR,UKR,0.007345225603357817,0.7520120483893974
1863,SWE,SVN,0.007345225603357817,0.774302980794745
1518,MAR,MEX,0.007345225603357817,0.6674310813260053
1835,SRB,SGP,0.0068169900367068695,0.6754905073841055
1781,PAK,ZWE,0.0068169900367068695,0.6788841716287752
1572,MEX,VEN,0.0068169900367068695,0.7089577003246591
1902,SVK,TZA,0.0068169900367068695,0.705537305891958
1742,PER,ZWE,0.005762179151388162,0.7462862578180446
1081,GRC,SVK,0.005762179151388162,0.7614814768545209
1685,NOR,RUS,0.005762179151388162,0.7963736238152375
1919,THA,TZA,0.005235602094240838,0.6899488345662844
1877,SGP,SEN,0.0041841004184100415,0.7100739847675887
1934,TWN,UGA,0.003134796238244514,0.6543067809454601
1947,UGA,VEN,0.003134796238244514,0.6893538764617553
1944,UKR,VEN,0.0020876826722338203,0.6759482126570122
1952,VNM,ZWE,0.0020876826722338203,0.68126032695426
