,c1,c2,jac,cos
0,ARE,ARG,0.0,0.0
1,ARE,AUT,0.0,0.0
2,ARE,AUS,0.0036591740721380033,0.7814468520266343
3,ARE,BGD,0.005762179151388162,0.7770200084206079
4,ARE,BEL,0.0036591740721380033,0.7055891172406037
5,ARE,BGR,0.0,0.0
6,ARE,BRA,0.0026109660574412533,0.6717868591326717
7,ARE,BWA,0.006289308176100629,0.6917608183966849
8,ARE,CAN,0.0026109660574412533,0.6720182408159866
9,ARE,CHE,0.0026109660574412533,0.665860016252955
10,ARE,CHL,0.0026109660574412533,0.675648138273104
11,ARE,CHN,0.001564945226917058,0.6730879639074707
12,ARE,COL,0.0,0.0
13,ARE,CUB,0.001564945226917058,0.7694945137919015
14,ARE,CZE,0.003134796238244514,0.760185807451238
15,ARE,DEU,0.003134796238244514,0.6636159914706812
16,ARE,EGY,0.0041841004184100415,0.7535390278514935
17,ARE,ETH,0.0036591740721380033,0.7320338248396366
18,ARE,FRA,0.0026109660574412533,0.6699731944347629
19,ARE,GBR,0.0,0.0
20,ARE,GHA,0.004709576138147566,0.6657509882618108
21,ARE,GRC,0.0026109660574412533,0.7481118942066649
22,ARE,HKG,0.0020876826722338203,0.6653002595987716
23,ARE,HUN,0.0,0.0
24,ARE,IDN,0.0036591740721380033,0.6549615990444922
25,ARE,IRL,0.0,0.0
26,ARE,ISR,0.0,0.0
27,ARE,IND,0.0,0.0
28,ARE,ITA,0.003134796238244514,0.6832890901054082
29,ARE,JPN,0.0026109660574412533,0.7509798090647705
30,ARE,KEN,0.003134796238244514,0.6695644034819682
31,ARE,KOR,0.0010427528675703858,0.7006957334799444
32,ARE,LBN,0.0,0.0
33,ARE,LTU,0.003134796238244514,0.6789443577229659
34,ARE,LVA,0.0041841004184100415,0.6771495009892877
35,ARE,MAR,0.0,0.0
36,ARE,MEX,0.0,0.0
37,ARE,MYS,0.0,0.0
38,ARE,NAM,0.0,0.0
39,ARE,NGA,0.005762179151388162,0.7967266660892537
40,ARE,NLD,0.0010427528675703858,0.7803750746710425
41,ARE,NOR,0.0010427528675703858,0.7185555569815025
42,ARE,NZL,0.005762179151388162,0.6960946926988602
43,ARE,PER,0.0,0.0
44,ARE,PHL,0.0036591740721380033,0.8230762058621882
45,ARE,PAK,0.001564945226917058,0.6816206987388265
46,ARE,POL,0.0036591740721380033,0.829192001138055
47,ARE,PRT,0.0026109660574412533,0.7440505830924957
48,ARE,ROU,0.0041841004184100415,0.6753348180119337
49,ARE,SRB,0.001564945226917058,0.6683835550410001
50,ARE,RUS,0.0020876826722338203,0.6852518046745323
51,ARE,SAU,0.005235602094240838,0.8171079168490971
52,ARE,SWE,0.0026109660574412533,0.6752808688977967
53,ARE,SGP,0.003134796238244514,0.8112203417581263
54,ARE,SVN,0.0026109660574412533,0.6686118008541669
55,ARE,SVK,0.0,0.0
56,ARE,SEN,0.001564945226917058,0.7799031031141543
57,ARE,THA,0.0,0.0
58,ARE,TUR,0.0036591740721380033,0.6879500644162841
59,ARE,TWN,0.0005211047420531526,0.6953111105860319
60,ARE,TZA,0.0,0.70179561093589
61,ARE,UKR,0.0020876826722338203,0.7720398465348988
62,ARE,UGA,0.0026109660574412533,0.7821111823127254
63,ARE,USA,0.0068169900367068695,0.7552922380127403
64,ARE,VEN,0.0,0.0
65,ARE,VNM,0.0068169900367068695,0.8143074234304245
66,ARE,ZAF,0.0026109660574412533,0.6653194329557499
67,ARE,ZWE,0.0041841004184100415,0.7201804482742674
68,ARG,AUT,0.0,0.0
69,ARG,AUS,0.0,0.0
70,ARG,BGD,0.0,0.0
71,ARG,BEL,0.0,0.0
72,ARG,BGR,0.0,0.0
73,ARG,BRA,0.0,0.0
74,ARG,BWA,0.0,0.0
75,ARG,CAN,0.0,0.0
76,ARG,CHE,0.0,0.0
77,ARG,CHL,0.0,0.0
78,ARG,CHN,0.0,0.0
79,ARG,COL,0.0,0.0
80,ARG,CUB,0.0,0.0
81,ARG,CZE,0.0,0.0
82,ARG,DEU,0.0,0.0
83,ARG,EGY,0.0,0.0
84,ARG,ETH,0.0,0.0
85,ARG,FRA,0.0,0.0
86,ARG,GBR,0.0,0.0
87,ARG,GHA,0.0,0.0
88,ARG,GRC,0.0,0.0
89,ARG,HKG,0.0,0.0
90,ARG,HUN,0.0,0.0
91,ARG,IDN,0.0,0.0
92,ARG,IRL,0.0,0.0
93,ARG,ISR,0.0,0.0
94,ARG,IND,0.0,0.0
95,ARG,ITA,0.0,0.0
96,ARG,JPN,0.0,0.0
97,ARG,KEN,0.0,0.0
98,ARG,KOR,0.0,0.0
99,ARG,LBN,0.0,0.0
100,ARG,LTU,0.0,0.0
101,ARG,LVA,0.0,0.0
102,ARG,MAR,0.0,0.0
103,ARG,MEX,0.0,0.0
104,ARG,MYS,0.0,0.0
105,ARG,NAM,0.0,0.0
106,ARG,NGA,0.0,0.0
107,ARG,NLD,0.0,0.0
108,ARG,NOR,0.0,0.0
109,ARG,NZL,0.0,0.0
110,ARG,PER,0.0,0.0
111,ARG,PHL,0.0,0.0
112,ARG,PAK,0.0,0.0
113,ARG,POL,0.0,0.0
114,ARG,PRT,0.0,0.0
115,ARG,ROU,0.0,0.0
116,ARG,SRB,0.0,0.0
117,ARG,RUS,0.0,0.0
118,ARG,SAU,0.0,0.0
119,ARG,SWE,0.0,0.0
120,ARG,SGP,0.0,0.0
121,ARG,SVN,0.0,0.0
122,ARG,SVK,0.0,0.0
123,ARG,SEN,0.0,0.0
124,ARG,THA,0.0,0.0
125,ARG,TUR,0.0,0.0
126,ARG,TWN,0.0,0.0
127,ARG,TZA,0.0,0.0
128,ARG,UKR,0.0,0.0
129,ARG,UGA,0.0,0.0
130,ARG,USA,0.0,0.0
131,ARG,VEN,0.0,0.0
132,ARG,VNM,0.0,0.0
133,ARG,ZAF,0.0,0.0
134,ARG,ZWE,0.0,0.0
135,AUT,AUS,0.0,0.0
136,AUT,BGD,0.0,0.0
137,AUT,BEL,0.0,0.0
138,AUT,BGR,0.0,0.0
139,AUT,BRA,0.0,0.0
140,AUT,BWA,0.0,0.0
141,AUT,CAN,0.0,0.0
142,AUT,CHE,0.0,0.0
143,AUT,CHL,0.0,0.0
144,AUT,CHN,0.0,0.0
145,AUT,COL,0.0,0.0
146,AUT,CUB,0.0,0.0
147,AUT,CZE,0.0,0.0
148,AUT,DEU,0.0,0.0
149,AUT,EGY,0.0,0.0
150,AUT,ETH,0.0,0.0
151,AUT,FRA,0.0,0.0
152,AUT,GBR,0.0,0.0
153,AUT,GHA,0.0,0.0
154,AUT,GRC,0.0,0.0
155,AUT,HKG,0.0,0.0
156,AUT,HUN,0.0,0.0
157,AUT,IDN,0.0,0.0
158,AUT,IRL,0.0,0.0
159,AUT,ISR,0.0,0.0
160,AUT,IND,0.0,0.0
161,AUT,ITA,0.0,0.0
162,AUT,JPN,0.0,0.0
163,AUT,KEN,0.0,0.0
164,AUT,KOR,0.0,0.0
165,AUT,LBN,0.0,0.0
166,AUT,LTU,0.0,0.0
167,AUT,LVA,0.0,0.0
168,AUT,MAR,0.0,0.0
169,AUT,MEX,0.0,0.0
170,AUT,MYS,0.0,0.0
171,AUT,NAM,0.0,0.0
172,AUT,NGA,0.0,0.0
173,AUT,NLD,0.0,0.0
174,AUT,NOR,0.0,0.0
175,AUT,NZL,0.0,0.0
176,AUT,PER,0.0,0.0
177,AUT,PHL,0.0,0.0
178,AUT,PAK,0.0,0.0
179,AUT,POL,0.0,0.0
180,AUT,PRT,0.0,0.0
181,AUT,ROU,0.0,0.0
182,AUT,SRB,0.0,0.0
183,AUT,RUS,0.0,0.0
184,AUT,SAU,0.0,0.0
185,AUT,SWE,0.0,0.0
186,AUT,SGP,0.0,0.0
187,AUT,SVN,0.0,0.0
188,AUT,SVK,0.0,0.0
189,AUT,SEN,0.0,0.0
190,AUT,THA,0.0,0.0
191,AUT,TUR,0.0,0.0
192,AUT,TWN,0.0,0.0
193,AUT,TZA,0.0,0.0
194,AUT,UKR,0.0,0.0
195,AUT,UGA,0.0,0.0
196,AUT,USA,0.0,0.0
197,AUT,VEN,0.0,0.0
198,AUT,VNM,0.0,0.0
199,AUT,ZAF,0.0,0.0
200,AUT,ZWE,0.0,0.0
201,AUS,BGD,0.005235602094240838,0.7406206474960182
202,AUS,BEL,0.0026109660574412533,0.6800014513986127
203,AUS,BGR,0.0,0.0
204,AUS,BRA,0.0041841004184100415,0.6335743694450946
205,AUS,BWA,0.0041841004184100415,0.6519653090625664
206,AUS,CAN,0.0041841004184100415,0.6611722683936667
207,AUS,CHE,0.001564945226917058,0.6301236201452567
208,AUS,CHL,0.003134796238244514,0.6385010805867196
209,AUS,CHN,0.0036591740721380033,0.6454171421670187
210,AUS,COL,0.0,0.0
211,AUS,CUB,0.0068169900367068695,0.7721779629834713
212,AUS,CZE,0.003134796238244514,0.7639718038485063
213,AUS,DEU,0.004709576138147566,0.6361993520024185
214,AUS,EGY,0.0036591740721380033,0.666457124986998
215,AUS,ETH,0.0020876826722338203,0.7190136643254103
216,AUS,FRA,0.003134796238244514,0.6402723477315229
217,AUS,GBR,0.0,0.0
218,AUS,GHA,0.003134796238244514,0.6353341776835224
219,AUS,GRC,0.0020876826722338203,0.7136544598476601
220,AUS,HKG,0.003134796238244514,0.6329727926964362
221,AUS,HUN,0.0,0.0
222,AUS,IDN,0.004709576138147566,0.6584436703877895
223,AUS,IRL,0.0,0.0
224,AUS,ISR,0.0,0.0
225,AUS,IND,0.0,0.0
226,AUS,ITA,0.001564945226917058,0.6499212502202554
227,AUS,JPN,0.007345225603357817,0.7275078466063154
228,AUS,KEN,0.0020876826722338203,0.6251877368021984
229,AUS,KOR,0.0036591740721380033,0.6740112109482661
230,AUS,LBN,0.0,0.0
231,AUS,LTU,0.001564945226917058,0.6409683399095767
232,AUS,LVA,0.0020876826722338203,0.6381474375387542
233,AUS,MAR,0.0,0.0
234,AUS,MEX,0.0,0.0
235,AUS,MYS,0.0,0.0
236,AUS,NAM,0.0,0.0
237,AUS,NGA,0.0020876826722338203,0.7467321530170428
238,AUS,NLD,0.0041841004184100415,0.7864492484298466
239,AUS,NOR,0.0041841004184100415,0.7374298240202801
240,AUS,NZL,0.009994739610731194,0.6824420619476368
241,AUS,PER,0.0,0.0
242,AUS,PHL,0.0068169900367068695,0.8086157241990153
243,AUS,PAK,0.0041841004184100415,0.6405052876070882
244,AUS,POL,0.0005211047420531526,0.794513003043857
245,AUS,PRT,0.0026109660574412533,0.6652738101046466
246,AUS,ROU,0.003134796238244514,0.6394425691723692
247,AUS,SRB,0.003134796238244514,0.6379856117147494
248,AUS,RUS,0.0041841004184100415,0.6605889833978033
249,AUS,SAU,0.0026109660574412533,0.740902672387372
250,AUS,SWE,0.0036591740721380033,0.6497605452568067
251,AUS,SGP,0.008933263268523384,0.7617105257675917
252,AUS,SVN,0.0036591740721380033,0.6286041990084045
253,AUS,SVK,0.0,0.0
254,AUS,SEN,0.0020876826722338203,0.7047979323658898
255,AUS,THA,0.0,0.0
256,AUS,TUR,0.003134796238244514,0.6449865831045821
257,AUS,TWN,0.0026109660574412533,0.6640601486187098
258,AUS,TZA,0.003134796238244514,0.7100417209883804
259,AUS,UKR,0.0005211047420531526,0.7542986513916973
260,AUS,UGA,0.0026109660574412533,0.728099944664364
261,AUS,USA,0.0036591740721380033,0.6859460890699344
262,AUS,VEN,0.0,0.0
263,AUS,VNM,0.0041841004184100415,0.7726519746492134
264,AUS,ZAF,0.003134796238244514,0.6426803046756445
265,AUS,ZWE,0.003134796238244514,0.6697236729062113
266,BGD,BEL,0.001564945226917058,0.6574377889293712
267,BGD,BGR,0.0,0.0
268,BGD,BRA,0.0036591740721380033,0.6330734890161738
269,BGD,BWA,0.0026109660574412533,0.6399048253954026
270,BGD,CAN,0.001564945226917058,0.6346464135294668
271,BGD,CHE,0.003134796238244514,0.6127331550044205
272,BGD,CHL,0.003134796238244514,0.6305794091485832
273,BGD,CHN,0.001564945226917058,0.6141199709026387
274,BGD,COL,0.0,0.0
275,BGD,CUB,0.006289308176100629,0.7576634029260984
276,BGD,CZE,0.0041841004184100415,0.7092291300069233
277,BGD,DEU,0.001564945226917058,0.6053625290256441
278,BGD,EGY,0.0026109660574412533,0.6566191520762039
279,BGD,ETH,0.004709576138147566,0.6876517034654627
280,BGD,FRA,0.001564945226917058,0.6115913812150372
281,BGD,GBR,0.0,0.0
282,BGD,GHA,0.0020876826722338203,0.6097475009027903
283,BGD,GRC,0.0026109660574412533,0.7387023992357867
284,BGD,HKG,0.001564945226917058,0.6017802164233682
285,BGD,HUN,0.0,0.0
286,BGD,IDN,0.0026109660574412533,0.6074955488473268
287,BGD,IRL,0.0,0.0
288,BGD,ISR,0.0,0.0
289,BGD,IND,0.0,0.0
290,BGD,ITA,0.0036591740721380033,0.6402510083923315
291,BGD,JPN,0.0005211047420531526,0.6638146656052141
292,BGD,KEN,0.0020876826722338203,0.6203477658920533
293,BGD,KOR,0.005235602094240838,0.6732966357963568
294,BGD,LBN,0.0,0.0
295,BGD,LTU,0.0036591740721380033,0.638140894878628
296,BGD,LVA,0.001564945226917058,0.629353035246668
297,BGD,MAR,0.0,0.0
298,BGD,MEX,0.0,0.0
299,BGD,MYS,0.0,0.0
300,BGD,NAM,0.0,0.0
301,BGD,NGA,0.004709576138147566,0.727576355547009
302,BGD,NLD,0.0041841004184100415,0.7514820314655869
303,BGD,NOR,0.0026109660574412533,0.6900115796200625
304,BGD,NZL,0.0020876826722338203,0.6239357956142269
305,BGD,PER,0.0,0.0
306,BGD,PHL,0.0036591740721380033,0.7904455237221147
307,BGD,PAK,0.003134796238244514,0.6459533734261205
308,BGD,POL,0.0041841004184100415,0.8047300377644441
309,BGD,PRT,0.0020876826722338203,0.6561340831976911
310,BGD,ROU,0.0010427528675703858,0.6353542048887045
311,BGD,SRB,0.0026109660574412533,0.6516391023226843
312,BGD,RUS,0.004709576138147566,0.65097035740617
