,c1,c2,jac,cos
970,DEU,FRA,0.28256513026052105,0.9552990414821079
1130,FRA,ITA,0.25572269457161545,0.9546854295645074
683,CHE,TUR,0.2516297262059974,0.9415308828931143
797,CHN,TWN,0.23234916559691912,0.9530931550808558
476,BRA,ITA,0.22840690978886757,0.9442204368654669
1347,HKG,TWN,0.2260536398467433,0.9439611308615526
2231,SWE,TUR,0.21595946801773275,0.9361078464818792
2200,RUS,TUR,0.20451693851944794,0.9304124679743133
1587,ITA,RUS,0.20376175548589343,0.9345629697915764
1660,KEN,ROU,0.18153846153846154,0.8923485274685771
626,CAN,TWN,0.16152450090744103,0.9087173678333982
2161,ROU,SVN,0.14149821640903687,0.8611440131858769
748,CHL,ZAF,0.13676731793960922,0.8487258378722581
2301,TUR,TWN,0.1354228267297457,0.8892034467006628
2316,TWN,ZAF,0.10535405872193437,0.8609479723840173
2113,PAK,ZAF,0.1047180667433832,0.8111578211140376
1783,LTU,ZAF,0.10154905335628227,0.8235940006806125
1799,LVA,SRB,0.08229988726042842,0.81269522105271
2179,SRB,SVN,0.08108108108108109,0.795933113771631
538,BWA,KEN,0.07502799552071669,0.7938783861305326
2266,SVN,ZAF,0.07083100948131622,0.7816842563600277
931,CZE,KOR,0.008403361344537815,0.763539390320991
1115,ETH,UGA,0.0068169900367068695,0.7675922954805514
211,AUS,CUB,0.004709576138147566,0.8019756051268037
1404,IDN,JPN,0.004709576138147566,0.6417606190601818
2249,SGP,UGA,0.004709576138147566,0.7562679275996806
318,BGD,SEN,0.004709576138147566,0.7927148994740164
1690,KOR,NZL,0.0041841004184100415,0.6135644812119941
1966,NGA,ZAF,0.0041841004184100415,0.6449376940108129
2328,UKR,VNM,0.0041841004184100415,0.8059317013672461
2138,PRT,RUS,0.0036591740721380033,0.6163279052724298
900,CUB,SGP,0.0036591740721380033,0.7692313400759876
2335,UGA,ZWE,0.0036591740721380033,0.7155859545250484
2285,SEN,UGA,0.0036591740721380033,0.8270974730891043
6,ARE,BRA,0.0036591740721380033,0.6841524881289304
1263,GHA,ZAF,0.003134796238244514,0.5953894191996862
2073,PHL,ROU,0.003134796238244514,0.7081224898188124
356,BEL,KOR,0.003134796238244514,0.6739477163720919
1623,JPN,ROU,0.003134796238244514,0.6139167303734544
2022,NZL,PHL,0.003134796238244514,0.7976834225011395
1301,GRC,TUR,0.003134796238244514,0.5907713381748342
2345,ZAF,ZWE,0.0026109660574412533,0.5771211893698305
2344,VNM,ZWE,0.0020876826722338203,0.6920051993565863
2065,PER,USA,0.0,0.0
2318,TZA,UKR,0.0,0.0
2275,SVK,USA,0.0,0.0
2017,NOR,VEN,0.0,0.0
2294,THA,UKR,0.0,0.0
2122,POL,SVN,0.0,0.0
1531,IND,LTU,0.0,0.0
1525,ISR,ZWE,0.0,0.0
1484,IRL,ZWE,0.0,0.0
2336,USA,VEN,0.0,0.0
2342,VEN,ZWE,0.0,0.0
1742,LBN,TWN,0.0,0.0
1895,MYS,SWE,0.0,0.0
1916,NAM,PHL,0.0,0.0
1989,NLD,UGA,0.0,0.0
1852,MEX,NGA,0.0,0.0
1849,MAR,ZWE,0.0,0.0
2224,SAU,ZAF,0.0,0.0
437,BGR,RUS,0.0,0.0
110,ARG,PER,0.0,0.0
148,AUT,DEU,0.0,0.0
1217,GBR,ZWE,0.0,0.0
1375,HUN,PER,0.0,0.0
860,COL,ZWE,0.0,0.0
1070,EGY,ZWE,0.0,0.0
