,c1,c2,jac,cos
1611,KEN,ZWE,0.3034623217922607,0.9503314016411343
2187,SVN,SVK,0.2631578947368421,0.9620237646861013
1266,GRC,POL,0.13676731793960922,0.8387614419717357
1293,HUN,JPN,0.1314083677077195,0.8215300642752468
2052,POL,SWE,0.12084063047285463,0.8353188143717457
1760,MAR,POL,0.114335461404527,0.8325336009505897
388,BGR,BWA,0.10918544194107452,0.8228049432755263
534,BWA,MAR,0.10854503464203233,0.8329066965949907
1543,JPN,MEX,0.10790536641661858,0.8141815121614401
843,COL,VEN,0.09839816933638444,0.9237600393002066
1812,MEX,ZWE,0.09714285714285714,0.803624845624376
2276,VNM,ZWE,0.09215017064846416,0.7939543604605748
683,CHL,COL,0.08413325804630152,0.9085688303422804
1063,ETH,JPN,0.0835214446952596,0.7610744589715817
1650,LBN,MAR,0.07804604154969118,0.7913833089331767
2157,SAU,ZWE,0.0738255033557047,0.7736009236797685
896,CUB,VEN,0.07142857142857142,0.8991028032048278
185,AUT,SVK,0.06963788300835655,0.8754952497939977
451,BRA,CHL,0.06607440310938367,0.897685560117915
1334,IDN,IND,0.06548279689234185,0.8691452550786875
2163,SWE,TUR,0.06371191135734072,0.7589409747315801
1889,NGA,THA,0.061946902654867256,0.829012801828534
219,AUS,IRL,0.06077348066298342,0.8922259448997013
2094,ROU,SVK,0.059018201875344733,0.8413745028749371
996,DEU,UKR,0.055525013743815285,0.8838483280119128
72,ARG,BRA,0.05378704720087816,0.8897019878948731
2205,SVK,UKR,0.053208996160175534,0.8660451588888853
1940,NOR,SVK,0.05147864184008762,0.8632524799614417
1435,ISR,PAK,0.05147864184008762,0.8785817528382781
1390,IRL,NOR,0.05090311986863711,0.8737963068870118
2241,TUR,ZWE,0.04860731840524304,0.6962865086419895
1110,FRA,ITA,0.04860731840524304,0.8954366200817052
1637,KOR,THA,0.048034934497816595,0.8151529923723114
2036,PAK,THA,0.048034934497816595,0.8441282975965124
1737,LVA,SVK,0.04689203925845147,0.8192581128805495
756,CHN,KOR,0.045182362547632006,0.8743617721532143
2247,TWN,VNM,0.04461371055495103,0.7744527112216584
2112,SRB,SVK,0.04008667388949079,0.8325940783521858
2176,SGP,THA,0.03896103896103896,0.8126689101769947
1710,LTU,UKR,0.03783783783783784,0.8452349860596168
582,CAN,IRL,0.03504043126684636,0.8425067550241907
945,CZE,UKR,0.03336921420882669,0.8711845898097225
281,BGD,IDN,0.03336921420882669,0.8192804505028617
44,ARE,PAK,0.031149301825993556,0.825087904845152
1832,MYS,THA,0.030042918454935622,0.8254804323350257
1475,IND,PAK,0.030042918454935622,0.8643694036213108
2268,USA,VEN,0.028938906752411574,0.8837590718904407
1843,NAM,NGA,0.028938906752411574,0.8163893319974358
2227,THA,UGA,0.028387787895018748,0.798177049594007
1530,ITA,UKR,0.028387787895018748,0.8465980424052828
2005,PHL,ROU,0.027287319422150885,0.7841974635723901
2217,SEN,UGA,0.02564102564102564,0.8244594084509285
2135,RUS,UKR,0.02290889717634523,0.8627293958641986
2259,UKR,VEN,0.02290889717634523,0.8337622571403063
642,CHE,ITA,0.02073365231259968,0.8443951696043771
1154,GBR,IRL,0.01856763925729443,0.8351512884297945
1998,PER,VEN,0.01856763925729443,0.8343046052697705
2084,PRT,VEN,0.015335801163405606,0.8102730148269525
1922,NLD,USA,0.014263074484944533,0.8683136620638392
373,BEL,SVN,0.012658227848101266,0.8652673613460954
2251,TZA,UGA,0.012124406958355299,0.7923365979468492
1047,EGY,UGA,0.009994739610731194,0.7311421864735743
1229,GHA,SVN,0.007874015748031496,0.8238229034056255
2264,UGA,VEN,0.007874015748031496,0.8049694236379082
2272,VEN,VNM,0.007345225603357817,0.6800888956836058
1960,NZL,RUS,0.004709576138147566,0.8385488203948439
2277,ZAF,ZWE,0.0026109660574412533,0.6773104088247367
