,c1,c2,jac,cos
5,ARG,BRA,0.33611691022964507,0.9488368703292763
124,AUS,CAN,0.28772635814889336,0.9411336332536177
1581,NGA,PAK,0.2698412698412698,0.9508360506319196
1139,IDN,MYS,0.24675324675324675,0.938248619292863
1244,IND,MYS,0.245136186770428,0.9327615032325202
1536,MYS,PAK,0.24191461836998707,0.9392528293434912
346,BRA,CAN,0.24031007751937986,0.9046470775559594
1217,ISR,PAK,0.23314065510597304,0.9203793518133098
1693,PAK,ZWE,0.22919334186939821,0.9115388849287994
542,CHE,SWE,0.22448979591836735,0.9142555713806654
481,CAN,NGA,0.21595946801773275,0.8987330476206516
629,CHN,MYS,0.2144212523719165,0.9222233118744066
679,COL,NGA,0.18299445471349354,0.8906097173253456
79,AUT,GRC,0.18299445471349354,0.847042556765775
1027,GHA,NGA,0.16012084592145015,0.8392677106787835
268,BEL,NLD,0.1587205793602897,0.8327183280172398
1081,GRC,THA,0.158021712907117,0.8547549709599391
1632,NOR,THA,0.15315315315315314,0.8405046689395145
1599,NLD,NOR,0.15315315315315314,0.845611433430711
1119,HUN,THA,0.15315315315315314,0.8476894417363809
1669,PHL,THA,0.1510791366906475,0.861485216664782
1490,MAR,ROU,0.14626865671641792,0.8717171383387052
819,DEU,NOR,0.1421772754312909,0.8339668545271197
1794,SEN,THA,0.13274336283185842,0.8259971684541514
843,EGY,GHA,0.12808460634547592,0.8432031843700866
411,BWA,GHA,0.12412177985948478,0.8444886997809468
1569,NAM,THA,0.12084063047285463,0.8266632901494695
1281,ITA,NOR,0.119533527696793,0.81094437004697
1731,ROU,THA,0.11757857974388825,0.8350826331929235
1808,THA,ZWE,0.114335461404527,0.7880375266058127
334,BGR,SVN,0.1117544875506659,0.8280178377693391
1464,LVA,ROU,0.10918544194107452,0.8165917432454625
1767,SGP,THA,0.10344827586206896,0.822136894887104
1415,LBN,SEN,0.10154905335628227,0.7882879101049389
1777,SVN,THA,0.09526525955504848,0.7851583986409966
1441,LTU,SVN,0.09401709401709402,0.7996291672010442
1756,SWE,THA,0.09215017064846416,0.8054301713018506
784,CZE,SVN,0.08108108108108109,0.787309525550045
1390,KOR,TZA,0.07865168539325842,0.8635656935531771
1822,TZA,VEN,0.04689203925845147,0.8222597006694496
1818,TWN,VEN,0.041779706999457406,0.7962861514840155
1183,IRL,POL,0.033925686591276254,0.9625264369836698
1642,PER,POL,0.022364217252396165,0.9382187587968699
1829,VEN,ZWE,0.022364217252396165,0.7557499944422456
732,CUB,POL,0.01641079936474325,0.9291583398805905
1522,MEX,THA,0.014263074484944533,0.7342885475263903
220,BGD,SRB,0.012658227848101266,0.9133117438782741
1790,SVK,UKR,0.012658227848101266,0.758554404016439
949,FRA,PER,0.011591148577449948,0.8269887875625327
1308,JPN,MEX,0.009994739610731194,0.8258371625041517
576,CHL,LTU,0.009994739610731194,0.6556515479441013
890,ETH,IRL,0.009994739610731194,0.9018730340881472
1341,KEN,NAM,0.009994739610731194,0.7406740652825292
1741,SRB,SVN,0.007874015748031496,0.7347049804889739
1810,TUR,TZA,0.007345225603357817,0.7398450101520555
1705,POL,TZA,0.007345225603357817,0.7579113124326176
994,GBR,PRT,0.0068169900367068695,0.8007393275627599
1825,UKR,VEN,0.0041841004184100415,0.682393744333059
1712,PRT,SWE,0.0041841004184100415,0.6118931345814993
1827,UGA,VEN,0.0036591740721380033,0.6989895835251139
