,c1,c2,jac,cos
0,ARG,AUT,0.18153846153846154,0.916893460879382
1,ARG,AUS,0.2175015852885225,0.9378685778748825
2,ARG,BGD,0.0020876826722338203,0.7263249041571338
3,ARG,BEL,0.07023411371237458,0.7996586167759876
4,ARG,BGR,0.042911461162411735,0.741425213201021
5,ARG,BRA,0.10599078341013825,0.856046309407774
6,ARG,BWA,0.04975396391470749,0.7690856904605232
7,ARG,CAN,0.17791411042944785,0.9126504367735159
8,ARG,CHE,0.06018774157923799,0.7864223249394529
9,ARG,CHL,0.0036591740721380033,0.6155697693576935
10,ARG,CHN,0.12346401404330018,0.8623390361423456
11,ARG,COL,0.07083100948131622,0.803949810308455
12,ARG,CUB,0.0020876826722338203,0.6873361696598432
13,ARG,CZE,0.04746317512274959,0.7733569279366924
14,ARG,DEU,0.07322526551145891,0.8024744320170851
15,ARG,EGY,0.07202680067001675,0.770533395053558
16,ARG,ETH,0.0005211047420531526,0.6799395902597517
17,ARG,FRA,0.0041841004184100415,0.6347520054218002
18,ARG,GBR,0.001564945226917058,0.6344435422398179
19,ARG,GHA,0.064891846921797,0.7857483340621861
20,ARG,GRC,0.08047270680922904,0.7972961553020305
21,ARG,HUN,0.059018201875344733,0.7868521700189729
22,ARG,IDN,0.06312292358803986,0.795842457048464
23,ARG,IRL,0.003134796238244514,0.7105094066461949
24,ARG,ISR,0.1169284467713787,0.8706108995984546
25,ARG,IND,0.1334120425029516,0.8736976012734433
26,ARG,ITA,0.08967082860385925,0.8276242741808294
27,ARG,JPN,0.0026109660574412533,0.6486853862651969
28,ARG,KEN,0.0,0.6507369152540964
29,ARG,KOR,0.030595813204508857,0.7598946827582406
30,ARG,LBN,0.07623318385650224,0.7815599950349741
31,ARG,LTU,0.05032822757111598,0.771516982360159
32,ARG,LVA,0.054365733113673806,0.7811661483647279
33,ARG,MAR,0.07744107744107744,0.8106449926639228
34,ARG,MEX,0.003134796238244514,0.7077204716276778
35,ARG,MYS,0.043478260869565216,0.7500899120800759
36,ARG,NAM,0.06430155210643015,0.7920110554109001
37,ARG,NGA,0.033925686591276254,0.7515600162025887
38,ARG,NLD,0.04234527687296417,0.7563247346168025
39,ARG,NOR,0.06904231625835189,0.7839656941528615
40,ARG,PER,0.007874015748031496,0.7118771203615827
41,ARG,PHL,0.08047270680922904,0.8235224919973662
42,ARG,PAK,0.067853170189099,0.788179127991865
43,ARG,POL,0.0026109660574412533,0.7001935262801469
44,ARG,PRT,0.001564945226917058,0.6234672955334822
45,ARG,ROU,0.07804604154969118,0.8130090995984697
46,ARG,SRB,0.0020876826722338203,0.6679778816573446
47,ARG,SWE,0.05843439911797133,0.7586409915952645
48,ARG,SGP,0.03615758229897464,0.7323529635966864
49,ARG,SVN,0.04860731840524304,0.7646866343618237
50,ARG,SVK,0.0020876826722338203,0.6079408070229001
51,ARG,SEN,0.059018201875344733,0.7799100681847427
52,ARG,THA,0.0847457627118644,0.8151015699081384
53,ARG,TUR,0.0005211047420531526,0.6794525771717526
54,ARG,TWN,0.01910828025477707,0.7332294708080362
55,ARG,TZA,0.01694915254237288,0.7244017832123618
56,ARG,UKR,0.0010427528675703858,0.593724344971018
57,ARG,UGA,0.0026109660574412533,0.607123321118528
58,ARG,VEN,0.014263074484944533,0.7537187778499495
59,ARG,ZWE,0.054945054945054944,0.7878848273860918
60,AUT,AUS,0.18591723285979,0.9272744885267679
61,AUT,BGD,0.0026109660574412533,0.7135257219007344
62,AUT,BEL,0.0865874363327674,0.8181968679209781
63,AUT,BGR,0.04632152588555858,0.746410099533443
64,AUT,BRA,0.07744107744107744,0.814960944721791
65,AUT,BWA,0.03896103896103896,0.7531819654927572
66,AUT,CAN,0.1421772754312909,0.8951511636354769
67,AUT,CHE,0.067853170189099,0.8156549522152181
68,AUT,CHL,0.0005211047420531526,0.593580206493656
69,AUT,CHN,0.09965635738831616,0.8557918211407674
70,AUT,COL,0.03839913466738778,0.7532561667794802
71,AUT,CUB,0.0010427528675703858,0.6577031732648461
72,AUT,CZE,0.05032822757111598,0.7887150705822723
73,AUT,DEU,0.09090909090909091,0.8441793740950324
74,AUT,EGY,0.0798650168728909,0.782784450573941
75,AUT,ETH,0.0010427528675703858,0.687876158136112
76,AUT,FRA,0.0041841004184100415,0.6448618075512269
77,AUT,GBR,0.003134796238244514,0.6306839312142342
78,AUT,GHA,0.05263157894736842,0.7651289771845878
79,AUT,GRC,0.0798650168728909,0.8190708653954112
80,AUT,HUN,0.061946902654867256,0.8060330347301108
81,AUT,IDN,0.04975396391470749,0.7691408753006812
82,AUT,IRL,0.0005211047420531526,0.7130931040786368
83,AUT,ISR,0.10918544194107452,0.8705397607060213
84,AUT,IND,0.10408280621046578,0.8566054367199261
85,AUT,ITA,0.09651627641347801,0.8419854109619492
86,AUT,JPN,0.003134796238244514,0.6348220320025227
87,AUT,KEN,0.0010427528675703858,0.6533707833373831
88,AUT,KOR,0.024,0.7538093634251295
89,AUT,LBN,0.07442641298265248,0.79576576517278
90,AUT,LTU,0.05147864184008762,0.7828274452172358
91,AUT,LVA,0.05263157894736842,0.7848643731255959
92,AUT,MAR,0.0865874363327674,0.8209903636545693
93,AUT,MEX,0.0036591740721380033,0.7009566224532483
94,AUT,MYS,0.03559870550161812,0.7229849932241484
95,AUT,NAM,0.06430155210643015,0.7890973170463953
96,AUT,NGA,0.034482758620689655,0.7344292510941669
97,AUT,NLD,0.043478260869565216,0.7664438295131786
98,AUT,NOR,0.06666666666666667,0.7962225631537597
99,AUT,PER,0.0005211047420531526,0.6768439169991243
100,AUT,PHL,0.06548279689234185,0.7956677517139474
101,AUT,PAK,0.059602649006622516,0.7675143594351268
102,AUT,POL,0.003134796238244514,0.6958808710084718
103,AUT,PRT,0.003134796238244514,0.6273203025252433
104,AUT,ROU,0.06607440310938367,0.8123276357469029
105,AUT,SRB,0.0005211047420531526,0.6817240911956589
106,AUT,SWE,0.06253458771444383,0.774285609179399
107,AUT,SGP,0.027837259100642397,0.7251410483906691
108,AUT,SVN,0.05090311986863711,0.7666552246506717
109,AUT,SVK,0.0036591740721380033,0.6289283853637971
110,AUT,SEN,0.05785123966942149,0.7653287048684142
111,AUT,THA,0.0738255033557047,0.8122487789070384
112,AUT,TUR,0.0010427528675703858,0.674274625669082
113,AUT,TWN,0.01910828025477707,0.7439030470037792
114,AUT,TZA,0.011591148577449948,0.7109633654767478
115,AUT,UKR,0.0010427528675703858,0.6037325511246958
116,AUT,UGA,0.003134796238244514,0.6112483706258857
117,AUT,VEN,0.008403361344537815,0.7288025247587824
118,AUT,ZWE,0.053208996160175534,0.7794717583686531
119,AUS,BGD,0.001564945226917058,0.731342652209621
120,AUS,BEL,0.0829103214890017,0.8064213683870788
121,AUS,BGR,0.04918032786885246,0.7451062161706384
122,AUS,BRA,0.08413325804630152,0.8238718677709423
123,AUS,BWA,0.06077348066298342,0.7848707335349595
124,AUS,CAN,0.22762148337595908,0.9476083558963705
125,AUS,CHE,0.07322526551145891,0.808190326953539
126,AUS,CHL,0.0010427528675703858,0.5949379016350252
127,AUS,CHN,0.14558472553699284,0.8872228985460934
128,AUS,COL,0.04404567699836868,0.7691887514380866
129,AUS,CUB,0.0010427528675703858,0.6580521931874155
130,AUS,CZE,0.04632152588555858,0.7653489491396603
131,AUS,DEU,0.0847457627118644,0.8182120715807966
132,AUS,EGY,0.08535895986433013,0.7988261264560085
133,AUS,ETH,0.0005211047420531526,0.6950110391371802
134,AUS,FRA,0.0026109660574412533,0.6117643314339746
135,AUS,GBR,0.0005211047420531526,0.6325548058492138
136,AUS,GHA,0.06312292358803986,0.7872275150176522
137,AUS,GRC,0.08967082860385925,0.807630777362613
138,AUS,HUN,0.06135986733001658,0.7971005158125101
139,AUS,IDN,0.064891846921797,0.7939812142165296
140,AUS,IRL,0.0005211047420531526,0.7196956344298393
141,AUS,ISR,0.11627906976744186,0.8741286818788433
142,AUS,IND,0.17575015309246786,0.914343303365428
143,AUS,ITA,0.0847457627118644,0.8211619045647037
144,AUS,JPN,0.0036591740721380033,0.6516955938479739
145,AUS,KEN,0.0,0.6697903971766488
146,AUS,KOR,0.0328133405056482,0.7812107439310516
147,AUS,LBN,0.0865874363327674,0.7942105088938407
148,AUS,LTU,0.05032822757111598,0.7821417253151508
149,AUS,LVA,0.06077348066298342,0.7858376257494901
150,AUS,MAR,0.0958904109589041,0.8175880859721
151,AUS,MEX,0.0026109660574412533,0.703545950963912
152,AUS,MYS,0.03839913466738778,0.7471370912848126
153,AUS,NAM,0.07865168539325842,0.8189058873637959
154,AUS,NGA,0.043478260869565216,0.7721574094187064
155,AUS,NLD,0.05147864184008762,0.7723652724005089
156,AUS,NOR,0.07683679192372406,0.7984773895521414
157,AUS,PER,0.0010427528675703858,0.6764311096078472
158,AUS,PHL,0.09401709401709402,0.8335853084015455
159,AUS,PAK,0.07202680067001675,0.7978881705173995
160,AUS,POL,0.0020876826722338203,0.7009417676772642
161,AUS,PRT,0.0,0.6037125817101086
162,AUS,ROU,0.07202680067001675,0.8053580024843083
163,AUS,SRB,0.0010427528675703858,0.6762657161006859
164,AUS,SWE,0.0738255033557047,0.7826083218120037
165,AUS,SGP,0.042911461162411735,0.7670118377123261
166,AUS,SVN,0.04860731840524304,0.7532250756381481
167,AUS,SVK,0.0010427528675703858,0.6021453481388435
168,AUS,SEN,0.06135986733001658,0.7813478658568296
169,AUS,THA,0.10662824207492795,0.8429196238005777
170,AUS,TUR,0.0010427528675703858,0.6747427058393851
171,AUS,TWN,0.02127659574468085,0.7501535243817503
172,AUS,TZA,0.01856763925729443,0.7336801445066595
173,AUS,UKR,0.003134796238244514,0.590158384933707
174,AUS,UGA,0.0026109660574412533,0.6285135020169605
175,AUS,VEN,0.013727560718057022,0.7345425877192944
176,AUS,ZWE,0.07202680067001675,0.8022397813167381
177,BGD,BEL,0.0026109660574412533,0.7049155583880393
178,BGD,BGR,0.001564945226917058,0.7618534695276358
179,BGD,BRA,0.0036591740721380033,0.7388552151728984
180,BGD,BWA,0.0041841004184100415,0.7759829356498387
181,BGD,CAN,0.0020876826722338203,0.7263725450821168
182,BGD,CHE,0.001564945226917058,0.735880878023094
183,BGD,CHL,0.0020876826722338203,0.7870459954454091
184,BGD,CHN,0.003134796238244514,0.7420327112982351
185,BGD,COL,0.001564945226917058,0.7412819141342276
186,BGD,CUB,0.0026109660574412533,0.8862946182831827
187,BGD,CZE,0.001564945226917058,0.7365459687989544
188,BGD,DEU,0.0020876826722338203,0.7146049968724735
189,BGD,EGY,0.0020876826722338203,0.7509220858464672
190,BGD,ETH,0.008403361344537815,0.9125935836673695
191,BGD,FRA,0.003134796238244514,0.8117349141815474
192,BGD,GBR,0.001564945226917058,0.8210506393226794
193,BGD,GHA,0.0041841004184100415,0.7374765569526132
194,BGD,GRC,0.0036591740721380033,0.7256101456641182
195,BGD,HUN,0.0036591740721380033,0.7091044490509272
196,BGD,IDN,0.0041841004184100415,0.7428462651773446
197,BGD,IRL,0.003134796238244514,0.9060700361486519
198,BGD,ISR,0.001564945226917058,0.7045021794706392
199,BGD,IND,0.0036591740721380033,0.7575488969021457
200,BGD,ITA,0.0026109660574412533,0.7361874412507823
201,BGD,JPN,0.0020876826722338203,0.8508978799809382
202,BGD,KEN,0.0020876826722338203,0.8403075363964827
203,BGD,KOR,0.0026109660574412533,0.760385717212647
204,BGD,LBN,0.001564945226917058,0.7082011633201938
205,BGD,LTU,0.0010427528675703858,0.7307686513361139
206,BGD,LVA,0.004709576138147566,0.7295035359347212
207,BGD,MAR,0.0020876826722338203,0.7383058014354154
208,BGD,MEX,0.0020876826722338203,0.8796658100289175
209,BGD,MYS,0.001564945226917058,0.7402474235385192
210,BGD,NAM,0.003134796238244514,0.743107737853435
211,BGD,NGA,0.0036591740721380033,0.7665471717858907
212,BGD,NLD,0.0041841004184100415,0.7304685934381118
213,BGD,NOR,0.0026109660574412533,0.7332226395022421
214,BGD,PER,0.0026109660574412533,0.8909925345273886
215,BGD,PHL,0.001564945226917058,0.7181372639669541
216,BGD,PAK,0.003134796238244514,0.7453104567304857
217,BGD,POL,0.004709576138147566,0.9012750477688298
218,BGD,PRT,0.0005211047420531526,0.7577870656676816
219,BGD,ROU,0.001564945226917058,0.7363478019135024
220,BGD,SRB,0.004709576138147566,0.9048099516436979
221,BGD,SWE,0.0020876826722338203,0.716235403489397
222,BGD,SGP,0.0026109660574412533,0.7695019443360763
223,BGD,SVN,0.0026109660574412533,0.7318546345617553
224,BGD,SVK,0.001564945226917058,0.7748594665021226
225,BGD,SEN,0.0036591740721380033,0.7390469823465056
226,BGD,THA,0.0026109660574412533,0.7371280996758433
227,BGD,TUR,0.0041841004184100415,0.8592575110115994
228,BGD,TWN,0.001564945226917058,0.7777253578194506
